Date,iShares US Broker DealersEtf_Open_average,iShares US Broker DealersEtf_Open_max,iShares US Broker DealersEtf_Open_min,iShares US Broker DealersEtf_Open_volatility,iShares US Broker DealersEtf_Open_change,iShares US Broker DealersEtf_High_average,iShares US Broker DealersEtf_High_max,iShares US Broker DealersEtf_High_min,iShares US Broker DealersEtf_High_volatility,iShares US Broker DealersEtf_High_change,iShares US Broker DealersEtf_Low_average,iShares US Broker DealersEtf_Low_max,iShares US Broker DealersEtf_Low_min,iShares US Broker DealersEtf_Low_volatility,iShares US Broker DealersEtf_Low_change,iShares US Broker DealersEtf_Close_average,iShares US Broker DealersEtf_Close_max,iShares US Broker DealersEtf_Close_min,iShares US Broker DealersEtf_Close_volatility,iShares US Broker DealersEtf_Close_change
2018-01-14,65.79,65.79,65.79,0.0,0.0,66.61,66.61,66.61,0.0,0.0,65.79,65.79,65.79,0.0,0.0,66.58,66.58,66.58,0.0,0.0
2018-01-21,66.77,66.77,66.77,0.0,0.0,67.05,67.05,67.05,0.0,0.0,66.54,66.54,66.54,0.0,0.0,66.99,66.99,66.99,0.0,0.0
2018-01-28,67.28,67.28,67.28,0.0,0.0,67.68,67.68,67.68,0.0,0.0,65.94,65.94,65.94,0.0,0.0,66.0,66.0,66.0,0.0,0.0
2018-02-04,62.92,62.92,62.92,0.0,0.0,63.3,63.3,63.3,0.0,0.0,60.87,60.87,60.87,0.0,0.0,62.87,62.87,62.87,0.0,0.0
2018-02-11,65.99,65.99,65.99,0.0,0.0,66.12,66.12,66.12,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.9,65.9,65.9,0.0,0.0
2018-02-18,65.2,65.2,65.2,0.0,0.0,65.85,65.85,65.85,0.0,0.0,65.2,65.2,65.2,0.0,0.0,65.85,65.85,65.85,0.0,0.0
2018-02-25,64.91,64.91,64.91,0.0,0.0,65.92,65.92,65.92,0.0,0.0,64.42,64.42,64.42,0.0,0.0,65.79,65.79,65.79,0.0,0.0
2018-03-04,69.01,69.01,69.01,0.0,0.0,70.23,70.23,70.23,0.0,0.0,69.01,69.01,69.01,0.0,0.0,70.19,70.19,70.19,0.0,0.0
2018-03-11,68.45,68.45,68.45,0.0,0.0,69.17,69.17,69.17,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.81,68.81,68.81,0.0,0.0
2018-03-18,65.69,65.69,65.69,0.0,0.0,65.84,65.84,65.84,0.0,0.0,63.53,63.53,63.53,0.0,0.0,63.55,63.55,63.55,0.0,0.0
2018-03-25,64.54,64.54,64.54,0.0,0.0,65.66,65.66,65.66,0.0,0.0,64.3,64.3,64.3,0.0,0.0,65.43,65.43,65.43,0.0,0.0
2018-04-01,65.39,65.39,65.39,0.0,0.0,65.64,65.64,65.64,0.0,0.0,63.78,63.78,63.78,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2018-04-08,66.69,66.69,66.69,0.0,0.0,66.71,66.71,66.71,0.0,0.0,65.17,65.17,65.17,0.0,0.0,65.45,65.45,65.45,0.0,0.0
2018-04-15,66.89,66.89,66.89,0.0,0.0,67.52,67.52,67.52,0.0,0.0,66.8,66.8,66.8,0.0,0.0,67.09,67.09,67.09,0.0,0.0
2018-04-22,66.03,66.03,66.03,0.0,0.0,66.3,66.3,66.3,0.0,0.0,65.67,65.67,65.67,0.0,0.0,66.07,66.07,66.07,0.0,0.0
2018-04-29,64.73,64.73,64.73,0.0,0.0,66.08,66.08,66.08,0.0,0.0,64.61,64.61,64.61,0.0,0.0,65.65,65.65,65.65,0.0,0.0
2018-05-06,68.15,68.15,68.15,0.0,0.0,68.5,68.5,68.5,0.0,0.0,67.96,67.96,67.96,0.0,0.0,68.22,68.22,68.22,0.0,0.0
2018-05-13,68.65,68.65,68.65,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.22,68.22,68.22,0.0,0.0,68.22,68.22,68.22,0.0,0.0
2018-05-20,68.02,68.02,68.02,0.0,0.0,68.08,68.08,68.08,0.0,0.0,67.64,67.64,67.64,0.0,0.0,67.98,67.98,67.98,0.0,0.0
2018-05-27,67.08,67.08,67.08,0.0,0.0,67.4,67.4,67.4,0.0,0.0,67.07,67.07,67.07,0.0,0.0,67.21,67.21,67.21,0.0,0.0
2018-06-03,68.61,68.61,68.61,0.0,0.0,68.95,68.95,68.95,0.0,0.0,68.43,68.43,68.43,0.0,0.0,68.91,68.91,68.91,0.0,0.0
2018-06-10,68.01,68.01,68.01,0.0,0.0,68.42,68.42,68.42,0.0,0.0,67.56,67.56,67.56,0.0,0.0,68.19,68.19,68.19,0.0,0.0
2018-06-17,67.7,67.7,67.7,0.0,0.0,67.89,67.89,67.89,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2018-06-24,65.09,65.09,65.09,0.0,0.0,65.14,65.14,65.14,0.0,0.0,64.11,64.11,64.11,0.0,0.0,64.11,64.11,64.11,0.0,0.0
2018-07-01,63.43,63.43,63.43,0.0,0.0,64.23,64.23,64.23,0.0,0.0,63.34,63.34,63.34,0.0,0.0,63.99,63.99,63.99,0.0,0.0
2018-07-08,64.86,64.86,64.86,0.0,0.0,65.03,65.03,65.03,0.0,0.0,64.26,64.26,64.26,0.0,0.0,64.76,64.76,64.76,0.0,0.0
2018-07-15,66.05,66.05,66.05,0.0,0.0,66.32,66.32,66.32,0.0,0.0,65.81,65.81,65.81,0.0,0.0,66.21,66.21,66.21,0.0,0.0
2018-07-22,66.72,66.72,66.72,0.0,0.0,66.76,66.76,66.76,0.0,0.0,66.08,66.08,66.08,0.0,0.0,66.36,66.36,66.36,0.0,0.0
2018-07-29,64.95,64.95,64.95,0.0,0.0,65.02,65.02,65.02,0.0,0.0,64.58,64.58,64.58,0.0,0.0,64.75,64.75,64.75,0.0,0.0
2018-08-05,64.37,64.37,64.37,0.0,0.0,64.61,64.61,64.61,0.0,0.0,64.07,64.07,64.07,0.0,0.0,64.48,64.48,64.48,0.0,0.0
2018-08-12,64.87,64.87,64.87,0.0,0.0,65.14,65.14,65.14,0.0,0.0,64.72,64.72,64.72,0.0,0.0,65.05,65.05,65.05,0.0,0.0
2018-08-19,64.81,64.81,64.81,0.0,0.0,65.16,65.16,65.16,0.0,0.0,64.8,64.8,64.8,0.0,0.0,65.02,65.02,65.02,0.0,0.0
2018-08-26,65.44,65.44,65.44,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.76,65.76,65.76,0.0,0.0
2018-09-02,64.68,64.68,64.68,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.45,64.45,64.45,0.0,0.0,64.61,64.61,64.61,0.0,0.0
2018-09-09,64.07,64.07,64.07,0.0,0.0,64.82,64.82,64.82,0.0,0.0,64.07,64.07,64.07,0.0,0.0,64.57,64.57,64.57,0.0,0.0
2018-09-16,65.66,65.66,65.66,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.07,65.07,65.07,0.0,0.0,65.11,65.11,65.11,0.0,0.0
2018-09-23,62.58,62.58,62.58,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.15,62.15,62.15,0.0,0.0,62.23,62.23,62.23,0.0,0.0
2018-09-30,63.7,63.7,63.7,0.0,0.0,63.94,63.94,63.94,0.0,0.0,63.04,63.04,63.04,0.0,0.0,63.33,63.33,63.33,0.0,0.0
2018-10-07,60.88,60.88,60.88,0.0,0.0,61.05,61.05,61.05,0.0,0.0,59.52,59.52,59.52,0.0,0.0,60.33,60.33,60.33,0.0,0.0
2018-10-14,61.02,61.02,61.02,0.0,0.0,61.48,61.48,61.48,0.0,0.0,60.89,60.89,60.89,0.0,0.0,61.21,61.21,61.21,0.0,0.0
2018-10-21,58.09,58.09,58.09,0.0,0.0,58.87,58.87,58.87,0.0,0.0,57.86,57.86,57.86,0.0,0.0,58.4,58.4,58.4,0.0,0.0
2018-10-28,61.61,61.61,61.61,0.0,0.0,62.32,62.32,62.32,0.0,0.0,61.28,61.28,61.28,0.0,0.0,61.65,61.65,61.65,0.0,0.0
2018-11-04,63.2,63.2,63.2,0.0,0.0,63.27,63.27,63.27,0.0,0.0,62.43,62.43,62.43,0.0,0.0,62.59,62.59,62.59,0.0,0.0
2018-11-11,61.29,61.29,61.29,0.0,0.0,61.91,61.91,61.91,0.0,0.0,61.18,61.18,61.18,0.0,0.0,61.79,61.79,61.79,0.0,0.0
2018-11-18,59.91,59.91,59.91,0.0,0.0,60.41,60.41,60.41,0.0,0.0,59.8,59.8,59.8,0.0,0.0,60.04,60.04,60.04,0.0,0.0
2018-11-25,60.75,60.75,60.75,0.0,0.0,61.36,61.36,61.36,0.0,0.0,60.5,60.5,60.5,0.0,0.0,61.36,61.36,61.36,0.0,0.0
