Date,PowerShares Dynamic Energy Exploration & ProductioEtf_Open_average,PowerShares Dynamic Energy Exploration & ProductioEtf_Open_max,PowerShares Dynamic Energy Exploration & ProductioEtf_Open_min,PowerShares Dynamic Energy Exploration & ProductioEtf_Open_volatility,PowerShares Dynamic Energy Exploration & ProductioEtf_Open_change,PowerShares Dynamic Energy Exploration & ProductioEtf_High_average,PowerShares Dynamic Energy Exploration & ProductioEtf_High_max,PowerShares Dynamic Energy Exploration & ProductioEtf_High_min,PowerShares Dynamic Energy Exploration & ProductioEtf_High_volatility,PowerShares Dynamic Energy Exploration & ProductioEtf_High_change,PowerShares Dynamic Energy Exploration & ProductioEtf_Low_average,PowerShares Dynamic Energy Exploration & ProductioEtf_Low_max,PowerShares Dynamic Energy Exploration & ProductioEtf_Low_min,PowerShares Dynamic Energy Exploration & ProductioEtf_Low_volatility,PowerShares Dynamic Energy Exploration & ProductioEtf_Low_change,PowerShares Dynamic Energy Exploration & ProductioEtf_Close_average,PowerShares Dynamic Energy Exploration & ProductioEtf_Close_max,PowerShares Dynamic Energy Exploration & ProductioEtf_Close_min,PowerShares Dynamic Energy Exploration & ProductioEtf_Close_volatility,PowerShares Dynamic Energy Exploration & ProductioEtf_Close_change
2018-01-14,23.61,23.61,23.61,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2018-01-21,23.9,23.9,23.9,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2018-01-28,22.43,22.43,22.43,0.0,0.0,22.56,22.56,22.56,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.94,21.94,21.94,0.0,0.0
2018-02-04,20.16,20.16,20.16,0.0,0.0,20.26,20.26,20.26,0.0,0.0,19.4,19.4,19.4,0.0,0.0,20.06,20.06,20.06,0.0,0.0
2018-02-11,20.74,20.74,20.74,0.0,0.0,21.05,21.05,21.05,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.89,20.89,20.89,0.0,0.0
2018-02-18,20.24,20.24,20.24,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.59,20.59,20.59,0.0,0.0
2018-02-25,19.68,19.68,19.68,0.0,0.0,20.3,20.3,20.3,0.0,0.0,19.62,19.62,19.62,0.0,0.0,20.27,20.27,20.27,0.0,0.0
2018-03-04,20.6,20.6,20.6,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.85,20.85,20.85,0.0,0.0
2018-03-11,20.33,20.33,20.33,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2018-03-18,20.92,20.92,20.92,0.0,0.0,21.49,21.49,21.49,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.91,20.91,20.91,0.0,0.0
