Date,iShares Floating Rate BondEtf_Open_average,iShares Floating Rate BondEtf_Open_max,iShares Floating Rate BondEtf_Open_min,iShares Floating Rate BondEtf_Open_volatility,iShares Floating Rate BondEtf_Open_change,iShares Floating Rate BondEtf_High_average,iShares Floating Rate BondEtf_High_max,iShares Floating Rate BondEtf_High_min,iShares Floating Rate BondEtf_High_volatility,iShares Floating Rate BondEtf_High_change,iShares Floating Rate BondEtf_Low_average,iShares Floating Rate BondEtf_Low_max,iShares Floating Rate BondEtf_Low_min,iShares Floating Rate BondEtf_Low_volatility,iShares Floating Rate BondEtf_Low_change,iShares Floating Rate BondEtf_Close_average,iShares Floating Rate BondEtf_Close_max,iShares Floating Rate BondEtf_Close_min,iShares Floating Rate BondEtf_Close_volatility,iShares Floating Rate BondEtf_Close_change
2018-01-14,50.98,50.98,50.98,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2018-01-21,50.98,50.98,50.98,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-01-28,50.96,50.96,50.96,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2018-02-04,50.98,50.98,50.98,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-02-11,50.98,50.98,50.98,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-02-18,50.99,50.99,50.99,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-02-25,50.92,50.92,50.92,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-03-04,50.94,50.94,50.94,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2018-03-11,50.91,50.91,50.91,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-03-18,50.92,50.92,50.92,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2018-03-25,50.94,50.94,50.94,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-04-01,50.91,50.91,50.91,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2018-04-08,50.92,50.92,50.92,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-04-15,50.98,50.98,50.98,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-04-22,51.02,51.02,51.02,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.02,51.02,51.02,0.0,0.0
