Date,ASEKYStock_Open_average,ASEKYStock_Open_max,ASEKYStock_Open_min,ASEKYStock_Open_volatility,ASEKYStock_Open_change,ASEKYStock_High_average,ASEKYStock_High_max,ASEKYStock_High_min,ASEKYStock_High_volatility,ASEKYStock_High_change,ASEKYStock_Low_average,ASEKYStock_Low_max,ASEKYStock_Low_min,ASEKYStock_Low_volatility,ASEKYStock_Low_change,ASEKYStock_Close_average,ASEKYStock_Close_max,ASEKYStock_Close_min,ASEKYStock_Close_volatility,ASEKYStock_Close_change,ASEKYStock_Volume_average,ASEKYStock_Volume_max,ASEKYStock_Volume_min,ASEKYStock_Volume_volatility,ASEKYStock_Volume_change
2018-01-14,59.54,59.54,59.54,0.0,0.0,59.54,59.54,59.54,0.0,0.0,59.54,59.54,59.54,0.0,0.0,59.54,59.54,59.54,0.0,0.0,0,0,0,0,0
2018-01-21,60.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,0,0,0,0,0
2018-01-28,57.23,57.23,57.23,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.23,57.23,57.23,0.0,0.0,0,0,0,0,0
2018-02-04,58.22,58.22,58.22,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.59,58.59,58.59,0.0,0.0,1062,1062,1062,0,0
2018-02-11,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,0,0,0,0,0
2018-02-18,56.46,56.46,56.46,0.0,0.0,56.46,56.46,56.46,0.0,0.0,56.46,56.46,56.46,0.0,0.0,56.46,56.46,56.46,0.0,0.0,0,0,0,0,0
2018-02-25,55.52,55.52,55.52,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.52,55.52,55.52,0.0,0.0,0,0,0,0,0
2018-03-04,53.78,53.78,53.78,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.78,53.78,53.78,0.0,0.0,0,0,0,0,0
2018-03-11,55.15,55.15,55.15,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.15,55.15,55.15,0.0,0.0,0,0,0,0,0
2018-03-18,56.48,56.48,56.48,0.0,0.0,56.48,56.48,56.48,0.0,0.0,56.48,56.48,56.48,0.0,0.0,56.48,56.48,56.48,0.0,0.0,0,0,0,0,0
2018-03-25,55.39,55.39,55.39,0.0,0.0,55.59,55.59,55.59,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.59,55.59,55.59,0.0,0.0,1000,1000,1000,0,0
2018-04-01,53.65,53.65,53.65,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.65,53.65,53.65,0.0,0.0,0,0,0,0,0
2018-04-08,54.19,54.19,54.19,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.19,54.19,54.19,0.0,0.0,0,0,0,0,0
2018-04-15,54.55,54.55,54.55,0.0,0.0,54.55,54.55,54.55,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.47,52.47,52.47,0.0,0.0,1851,1851,1851,0,0
2018-04-22,53.65,53.65,53.65,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.65,53.65,53.65,0.0,0.0,0,0,0,0,0
2018-04-29,51.26,51.26,51.26,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.26,51.26,51.26,0.0,0.0,0,0,0,0,0
2018-05-06,45.98,45.98,45.98,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.98,45.98,45.98,0.0,0.0,0,0,0,0,0
2018-05-13,45.8,45.8,45.8,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.8,45.8,45.8,0.0,0.0,0,0,0,0,0
2018-05-20,45.61,45.61,45.61,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.61,45.61,45.61,0.0,0.0,0,0,0,0,0
2018-05-27,46.67,46.67,46.67,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.67,46.67,46.67,0.0,0.0,0,0,0,0,0
2018-06-03,46.84,46.84,46.84,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.84,46.84,46.84,0.0,0.0,0,0,0,0,0
2018-06-10,46.03,46.03,46.03,0.0,0.0,46.03,46.03,46.03,0.0,0.0,46.03,46.03,46.03,0.0,0.0,46.03,46.03,46.03,0.0,0.0,0,0,0,0,0
2018-06-17,46.49,46.49,46.49,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.49,46.49,46.49,0.0,0.0,0,0,0,0,0
2018-06-24,43.38,43.38,43.38,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.38,43.38,43.38,0.0,0.0,0,0,0,0,0
2018-07-01,44.25,44.25,44.25,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.25,44.25,44.25,0.0,0.0,0,0,0,0,0
2018-07-08,45.47,45.47,45.47,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.47,45.47,45.47,0.0,0.0,0,0,0,0,0
2018-07-15,45.63,45.63,45.63,0.0,0.0,46.2,46.2,46.2,0.0,0.0,45.62,45.62,45.62,0.0,0.0,46.2,46.2,46.2,0.0,0.0,1197,1197,1197,0,0
2018-07-22,45.0,45.0,45.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,0,0,0,0,0
2018-07-29,48.18,48.18,48.18,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.18,48.18,48.18,0.0,0.0,0,0,0,0,0
2018-08-05,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0,0,0,0,0,0
