Date,Amplify Online RetailEtf_Open_average,Amplify Online RetailEtf_Open_max,Amplify Online RetailEtf_Open_min,Amplify Online RetailEtf_Open_volatility,Amplify Online RetailEtf_Open_change,Amplify Online RetailEtf_High_average,Amplify Online RetailEtf_High_max,Amplify Online RetailEtf_High_min,Amplify Online RetailEtf_High_volatility,Amplify Online RetailEtf_High_change,Amplify Online RetailEtf_Low_average,Amplify Online RetailEtf_Low_max,Amplify Online RetailEtf_Low_min,Amplify Online RetailEtf_Low_volatility,Amplify Online RetailEtf_Low_change,Amplify Online RetailEtf_Close_average,Amplify Online RetailEtf_Close_max,Amplify Online RetailEtf_Close_min,Amplify Online RetailEtf_Close_volatility,Amplify Online RetailEtf_Close_change
2018-01-14,43.43,43.43,43.43,0.0,0.0,43.98,43.98,43.98,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.98,43.98,43.98,0.0,0.0
2018-01-21,44.95,44.95,44.95,0.0,0.0,45.38,45.38,45.38,0.0,0.0,44.86,44.86,44.86,0.0,0.0,45.37,45.37,45.37,0.0,0.0
2018-01-28,44.45,44.45,44.45,0.0,0.0,44.54,44.54,44.54,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.83,43.83,43.83,0.0,0.0
2018-02-04,42.8,42.8,42.8,0.0,0.0,42.98,42.98,42.98,0.0,0.0,40.83,40.83,40.83,0.0,0.0,42.53,42.53,42.53,0.0,0.0
2018-02-11,45.83,45.83,45.83,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.62,45.62,45.62,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2018-02-18,45.62,45.62,45.62,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.48,45.48,45.48,0.0,0.0,46.29,46.29,46.29,0.0,0.0
2018-02-25,44.91,44.91,44.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0,44.44,44.44,44.44,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2018-03-04,47.33,47.33,47.33,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2018-03-11,47.11,47.11,47.11,0.0,0.0,47.29,47.29,47.29,0.0,0.0,46.76,46.76,46.76,0.0,0.0,47.15,47.15,47.15,0.0,0.0
2018-03-18,45.88,45.88,45.88,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.03,45.03,45.03,0.0,0.0
2018-03-25,44.75,44.75,44.75,0.0,0.0,45.38,45.38,45.38,0.0,0.0,44.3,44.3,44.3,0.0,0.0,45.08,45.08,45.08,0.0,0.0
2018-04-01,44.66,44.66,44.66,0.0,0.0,45.02,45.02,45.02,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2018-04-08,45.77,45.77,45.77,0.0,0.0,45.77,45.77,45.77,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.78,44.78,44.78,0.0,0.0
2018-04-15,46.33,46.33,46.33,0.0,0.0,46.4,46.4,46.4,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2018-04-22,45.09,45.09,45.09,0.0,0.0,45.42,45.42,45.42,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.92,44.92,44.92,0.0,0.0
2018-04-29,45.17,45.17,45.17,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.07,45.07,45.07,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2018-05-06,46.32,46.32,46.32,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.36,46.36,46.36,0.0,0.0
2018-05-13,46.46,46.46,46.46,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2018-05-20,46.66,46.66,46.66,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2018-05-27,47.51,47.51,47.51,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-06-03,49.42,49.42,49.42,0.0,0.0,50.17,50.17,50.17,0.0,0.0,49.36,49.36,49.36,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2018-06-10,52.62,52.62,52.62,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.85,52.85,52.85,0.0,0.0
2018-06-17,52.69,52.69,52.69,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.42,52.42,52.42,0.0,0.0
