Date,FlexShares Credit-Scored US Long Corporate BondEtf_Open_average,FlexShares Credit-Scored US Long Corporate BondEtf_Open_max,FlexShares Credit-Scored US Long Corporate BondEtf_Open_min,FlexShares Credit-Scored US Long Corporate BondEtf_Open_volatility,FlexShares Credit-Scored US Long Corporate BondEtf_Open_change,FlexShares Credit-Scored US Long Corporate BondEtf_High_average,FlexShares Credit-Scored US Long Corporate BondEtf_High_max,FlexShares Credit-Scored US Long Corporate BondEtf_High_min,FlexShares Credit-Scored US Long Corporate BondEtf_High_volatility,FlexShares Credit-Scored US Long Corporate BondEtf_High_change,FlexShares Credit-Scored US Long Corporate BondEtf_Low_average,FlexShares Credit-Scored US Long Corporate BondEtf_Low_max,FlexShares Credit-Scored US Long Corporate BondEtf_Low_min,FlexShares Credit-Scored US Long Corporate BondEtf_Low_volatility,FlexShares Credit-Scored US Long Corporate BondEtf_Low_change,FlexShares Credit-Scored US Long Corporate BondEtf_Close_average,FlexShares Credit-Scored US Long Corporate BondEtf_Close_max,FlexShares Credit-Scored US Long Corporate BondEtf_Close_min,FlexShares Credit-Scored US Long Corporate BondEtf_Close_volatility,FlexShares Credit-Scored US Long Corporate BondEtf_Close_change
2018-01-14,54.17,54.17,54.17,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.16,54.16,54.16,0.0,0.0,54.21,54.21,54.21,0.0,0.0
2018-01-21,54.57,54.57,54.57,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.63,54.63,54.63,0.0,0.0
2018-01-28,53.73,53.73,53.73,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2018-02-04,52.2,52.2,52.2,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2018-02-11,51.73,51.73,51.73,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.92,51.92,51.92,0.0,0.0
2018-02-18,51.65,51.65,51.65,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.85,51.85,51.85,0.0,0.0
2018-02-25,51.77,51.77,51.77,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.53,51.53,51.53,0.0,0.0
2018-03-04,50.96,50.96,50.96,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.84,50.84,50.84,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-03-11,51.1,51.1,51.1,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2018-03-18,51.19,51.19,51.19,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.31,51.31,51.31,0.0,0.0
