Date,MMSStock_Open_average,MMSStock_Open_max,MMSStock_Open_min,MMSStock_Open_volatility,MMSStock_Open_change,MMSStock_High_average,MMSStock_High_max,MMSStock_High_min,MMSStock_High_volatility,MMSStock_High_change,MMSStock_Low_average,MMSStock_Low_max,MMSStock_Low_min,MMSStock_Low_volatility,MMSStock_Low_change,MMSStock_Close_average,MMSStock_Close_max,MMSStock_Close_min,MMSStock_Close_volatility,MMSStock_Close_change,MMSStock_Volume_average,MMSStock_Volume_max,MMSStock_Volume_min,MMSStock_Volume_volatility,MMSStock_Volume_change
2018-01-14,70.55,72.1,69.76,2.339999999999989,-2.339999999999989,70.9325,72.28,70.15,2.1299999999999955,-2.1299999999999955,69.88,71.08,69.25,1.8299999999999983,-1.3900000000000006,70.2225,71.25,69.58,1.6700000000000017,-1.1599999999999966,523535,630852,364737,266115,250101
2018-01-21,69.83200000000001,70.09,69.59,0.5,-0.39000000000000057,70.092,70.51,69.83,0.6800000000000068,0.07000000000000739,69.282,69.45,69.07,0.38000000000000966,0.1700000000000017,69.704,70.15,69.2,0.9500000000000028,0.44000000000001194,374219,516990,263758,253232,56899
2018-01-28,68.746,69.9,68.11,1.7900000000000063,-1.4000000000000057,69.284,70.23,69.0,1.230000000000004,-1.230000000000004,68.124,68.9,67.76,1.1400000000000006,-1.1200000000000045,68.456,69.0,67.78,1.2199999999999989,-1.2199999999999989,475296,654845,405731,249114,67927
2018-02-04,65.524,67.38,64.15,3.2299999999999898,-2.530000000000001,66.296,67.99,64.95,3.039999999999992,-3.039999999999992,63.838,65.17,62.67,2.5,-2.5,64.596,65.24,63.79,1.4499999999999957,-1.4199999999999946,735243,982097,521695,460402,149080
2018-02-11,65.408,67.31,64.01,3.299999999999997,2.4399999999999977,66.426,67.55,64.74,2.8100000000000023,2.8100000000000023,65.088,66.41,63.74,2.6699999999999946,2.6699999999999946,66.1,67.26,64.45,2.8100000000000023,2.8100000000000023,907527,1112895,761726,351169,-266083
2018-02-18,67.655,68.42,67.06,1.3599999999999994,1.3599999999999994,68.435,68.79,67.87,0.9200000000000017,0.9200000000000017,67.45,67.9,66.91,0.9900000000000091,0.9900000000000091,67.83,68.16,67.14,1.019999999999996,1.019999999999996,501938,686693,319691,367002,-367002
2018-02-25,67.566,68.5,66.04,2.4599999999999937,-2.2099999999999937,68.086,68.95,66.85,2.1000000000000085,-1.6099999999999994,66.824,67.69,65.79,1.8999999999999915,-1.6499999999999915,67.318,68.45,66.52,1.9300000000000068,-1.730000000000004,353557,421479,245686,175793,141865
2018-03-04,67.392,68.22,66.53,1.6899999999999977,1.6899999999999977,68.11999999999999,69.21,67.14,2.069999999999993,2.069999999999993,67.122,68.14,66.34,1.7999999999999972,1.7999999999999972,67.816,69.0,66.83,2.1700000000000017,2.1700000000000017,432595,563245,251835,311410,-164975
2018-03-11,68.398,69.18,68.0,1.1800000000000068,-1.1300000000000097,68.572,69.18,68.12,1.0600000000000023,-0.7000000000000028,67.738,67.99,67.47,0.519999999999996,-0.19999999999998863,68.002,68.2,67.84,0.35999999999999943,-0.09000000000000341,459371,773495,227518,545977,183875
2018-03-18,67.204,68.06,66.03,2.030000000000001,-2.030000000000001,67.424,68.09,66.2,1.8900000000000006,-1.8900000000000006,66.246,67.32,63.85,3.4699999999999918,-3.059999999999995,66.434,67.6,63.86,3.739999999999995,-3.739999999999995,320904,404684,248039,156645,-68052
2018-03-25,64.97,65.4,64.6,0.8000000000000114,0.710000000000008,65.7775,67.15,64.95,2.200000000000003,2.200000000000003,64.465,65.36,63.76,1.6000000000000014,1.6000000000000014,65.3225,66.74,64.7,2.039999999999992,1.9499999999999886,411729,463850,306756,157094,30069
2018-04-01,65.966,66.8,64.91,1.8900000000000006,-0.06999999999999318,66.572,66.93,65.91,1.0200000000000102,0.009999999999990905,65.118,66.29,64.45,1.8400000000000034,0.6700000000000017,65.844,66.8,64.86,1.9399999999999977,0.730000000000004,260330,330126,199269,130857,60101
2018-04-08,67.014,68.08,65.9,2.1799999999999926,2.1599999999999966,67.64,68.21,66.36,1.8499999999999943,1.8499999999999943,66.512,67.71,65.37,2.339999999999989,2.339999999999989,67.25,68.15,65.44,2.710000000000008,2.710000000000008,270096,442318,168518,273800,38334
2018-04-15,69.964,70.61,68.74,1.8700000000000045,1.7900000000000063,70.414,70.93,69.6,1.3300000000000125,1.0500000000000114,69.512,70.23,68.5,1.730000000000004,0.9200000000000017,70.074,70.73,69.41,1.3200000000000074,0.3200000000000074,328272,456843,230620,226223,-171535
2018-04-22,69.854,70.29,69.51,0.7800000000000011,-0.4899999999999949,70.112,71.05,69.51,1.539999999999992,-0.7999999999999972,68.946,69.56,68.39,1.1700000000000017,-1.1700000000000017,69.414,69.88,68.67,1.2099999999999937,-1.2099999999999937,265548,388957,223580,165377,13797
2018-04-29,67.606,68.89,66.44,2.450000000000003,-2.450000000000003,68.022,69.21,67.25,1.9599999999999937,-1.7399999999999949,66.85,67.63,65.98,1.6499999999999915,-1.3599999999999994,67.362,68.11,66.84,1.269999999999996,-0.5999999999999943,278620,341478,217895,123583,26019
