Date,CIGIStock_Open_average,CIGIStock_Open_max,CIGIStock_Open_min,CIGIStock_Open_volatility,CIGIStock_Open_change,CIGIStock_High_average,CIGIStock_High_max,CIGIStock_High_min,CIGIStock_High_volatility,CIGIStock_High_change,CIGIStock_Low_average,CIGIStock_Low_max,CIGIStock_Low_min,CIGIStock_Low_volatility,CIGIStock_Low_change,CIGIStock_Close_average,CIGIStock_Close_max,CIGIStock_Close_min,CIGIStock_Close_volatility,CIGIStock_Close_change,CIGIStock_Volume_average,CIGIStock_Volume_max,CIGIStock_Volume_min,CIGIStock_Volume_volatility,CIGIStock_Volume_change
2018-01-14,62.0625,63.3,61.05,2.25,2.0,63.0125,64.6,61.45,3.1499999999999915,3.1499999999999915,61.9125,63.25,61.05,2.200000000000003,2.1499999999999986,62.4875,63.25,61.15,2.1000000000000014,2.1000000000000014,21202,31347,14964,16383,14717
2018-01-21,61.87,62.8,61.1,1.6999999999999957,-0.5,62.42,62.85,62.0,0.8500000000000014,0.0,61.43,62.05,61.0,1.0499999999999972,0.3499999999999943,61.9,62.3,61.3,1.0,0.3500000000000014,17834,33518,10313,23205,-4650
2018-01-28,61.02,62.15,59.45,2.6999999999999957,-2.6999999999999957,61.35,62.5,59.45,3.049999999999997,-2.6999999999999957,59.76,61.35,57.0,4.350000000000001,-4.350000000000001,60.15,61.6,57.7,3.8999999999999986,-3.799999999999997,43121,61873,25360,36513,36513
2018-02-04,56.95,58.25,55.65,2.6000000000000014,0.8500000000000014,57.87,58.75,56.5,2.25,1.3500000000000014,56.120000000000005,57.35,55.1,2.25,0.6000000000000014,57.24,58.2,55.9,2.3000000000000043,1.5,49678,61995,37144,24851,-6108
2018-02-11,62.94,67.35,58.45,8.899999999999991,8.899999999999991,64.86,69.2,59.8,9.400000000000006,7.549999999999997,61.800000000000004,67.0,58.25,8.75,6.150000000000006,63.53,67.3,59.45,7.849999999999994,5.099999999999994,54494,80631,29089,51542,11304
2018-02-18,63.5625,64.35,62.55,1.7999999999999972,-0.8999999999999915,64.6675,64.9,64.17,0.730000000000004,-0.05000000000001137,63.0125,63.95,62.5,1.4500000000000028,-0.9000000000000057,63.949999999999996,64.55,63.1,1.4499999999999957,0.45000000000000284,49915,54756,42205,12551,768
2018-02-25,64.24,65.55,62.5,3.049999999999997,-1.0,64.89,66.1,63.8,2.299999999999997,-1.7000000000000028,63.326,64.38,62.45,1.9299999999999926,-1.5999999999999943,64.09,65.3,62.85,2.4499999999999957,-1.7999999999999972,31421,35327,26396,8931,-4224
2018-03-04,63.98,65.5,63.0,2.5,2.5,65.07000000000001,66.8,63.95,2.8499999999999943,2.6499999999999915,63.566,65.35,62.38,2.9699999999999918,2.9699999999999918,64.67,66.4,63.3,3.1000000000000085,3.1000000000000085,26670,39920,19533,20387,10153
2018-03-11,66.31,66.6,66.05,0.5499999999999972,0.3999999999999915,66.964,67.47,66.45,1.019999999999996,0.46999999999999886,65.886,66.25,65.65,0.5999999999999943,0.37000000000000455,66.28,66.55,65.95,0.5999999999999943,0.15000000000000568,30276,73640,13607,60033,57959
2018-03-18,67.46600000000001,68.15,66.45,1.7000000000000028,1.2000000000000028,68.43,69.2,67.4,1.7999999999999972,1.0,66.592,67.45,65.65,1.7999999999999972,-0.1599999999999966,67.42,68.45,66.1,2.3500000000000085,-1.0500000000000114,23039,27232,15281,11951,1597
2018-03-25,67.5,68.35,66.85,1.5,1.5,68.5325,69.7,67.75,1.9500000000000028,1.9500000000000028,67.0625,68.35,66.15,2.1999999999999886,2.1999999999999886,68.0375,69.45,67.4,2.049999999999997,2.049999999999997,26714,34455,19714,14741,4402
2018-04-01,69.8,70.9,68.25,2.6500000000000057,1.0999999999999943,70.56400000000001,71.4,69.45,1.9500000000000028,1.9500000000000028,68.81,70.35,67.3,3.049999999999997,1.8500000000000085,69.67999999999999,70.75,68.0,2.75,1.5499999999999972,30983,42271,22829,19442,-1854
2018-04-08,70.28,71.35,69.75,1.5999999999999943,1.25,70.58,71.35,70.1,1.25,1.25,69.4,69.95,68.6,1.3500000000000085,0.6500000000000057,69.76,70.25,68.7,1.5499999999999972,1.2999999999999972,18105,24506,11326,13180,-7780
2018-04-15,70.43,71.3,69.8,1.5,-0.3500000000000085,71.05,72.05,70.35,1.7000000000000028,0.25,69.84,70.5,69.35,1.1500000000000057,-0.29999999999999716,70.41,71.4,69.65,1.75,0.10000000000000853,20802,27232,13994,13238,-7494
