Date,Vanguard Small-CapEtf_Open_average,Vanguard Small-CapEtf_Open_max,Vanguard Small-CapEtf_Open_min,Vanguard Small-CapEtf_Open_volatility,Vanguard Small-CapEtf_Open_change,Vanguard Small-CapEtf_High_average,Vanguard Small-CapEtf_High_max,Vanguard Small-CapEtf_High_min,Vanguard Small-CapEtf_High_volatility,Vanguard Small-CapEtf_High_change,Vanguard Small-CapEtf_Low_average,Vanguard Small-CapEtf_Low_max,Vanguard Small-CapEtf_Low_min,Vanguard Small-CapEtf_Low_volatility,Vanguard Small-CapEtf_Low_change,Vanguard Small-CapEtf_Close_average,Vanguard Small-CapEtf_Close_max,Vanguard Small-CapEtf_Close_min,Vanguard Small-CapEtf_Close_volatility,Vanguard Small-CapEtf_Close_change
2018-01-14,151.75,151.75,151.75,0.0,0.0,153.36,153.36,153.36,0.0,0.0,151.75,151.75,151.75,0.0,0.0,153.36,153.36,153.36,0.0,0.0
2018-01-21,154.8,154.8,154.8,0.0,0.0,155.07,155.07,155.07,0.0,0.0,154.0,154.0,154.0,0.0,0.0,155.07,155.07,155.07,0.0,0.0
2018-01-28,151.32,151.32,151.32,0.0,0.0,152.12,152.12,152.12,0.0,0.0,149.06,149.06,149.06,0.0,0.0,149.31,149.31,149.31,0.0,0.0
2018-02-04,141.73,141.73,141.73,0.0,0.0,142.79,142.79,142.79,0.0,0.0,137.8,137.8,137.8,0.0,0.0,141.91,141.91,141.91,0.0,0.0
2018-02-11,147.65,147.65,147.65,0.0,0.0,149.29,149.29,149.29,0.0,0.0,147.65,147.65,147.65,0.0,0.0,148.35,148.35,148.35,0.0,0.0
2018-02-18,147.8,147.8,147.8,0.0,0.0,148.87,148.87,148.87,0.0,0.0,147.24,147.24,147.24,0.0,0.0,148.83,148.83,148.83,0.0,0.0
2018-02-25,143.93,143.93,143.93,0.0,0.0,147.29,147.29,147.29,0.0,0.0,143.69,143.69,143.69,0.0,0.0,147.0,147.0,147.0,0.0,0.0
2018-03-04,151.5,151.5,151.5,0.0,0.0,152.91,152.91,152.91,0.0,0.0,151.15,151.15,151.15,0.0,0.0,152.88,152.88,152.88,0.0,0.0
2018-03-11,151.08,151.08,151.08,0.0,0.0,152.11,152.11,152.11,0.0,0.0,151.02,151.02,151.02,0.0,0.0,151.77,151.77,151.77,0.0,0.0
2018-03-18,147.26,147.26,147.26,0.0,0.0,147.94,147.94,147.94,0.0,0.0,144.28,144.28,144.28,0.0,0.0,144.37,144.37,144.37,0.0,0.0
2018-03-25,145.83,145.83,145.83,0.0,0.0,147.78,147.78,147.78,0.0,0.0,145.51,145.51,145.51,0.0,0.0,146.92,146.92,146.92,0.0,0.0
2018-04-01,146.84,146.84,146.84,0.0,0.0,147.73,147.73,147.73,0.0,0.0,143.91,143.91,143.91,0.0,0.0,144.99,144.99,144.99,0.0,0.0
