Date,Oppenheimer Mid Cap RevenueEtf_Open_average,Oppenheimer Mid Cap RevenueEtf_Open_max,Oppenheimer Mid Cap RevenueEtf_Open_min,Oppenheimer Mid Cap RevenueEtf_Open_volatility,Oppenheimer Mid Cap RevenueEtf_Open_change,Oppenheimer Mid Cap RevenueEtf_High_average,Oppenheimer Mid Cap RevenueEtf_High_max,Oppenheimer Mid Cap RevenueEtf_High_min,Oppenheimer Mid Cap RevenueEtf_High_volatility,Oppenheimer Mid Cap RevenueEtf_High_change,Oppenheimer Mid Cap RevenueEtf_Low_average,Oppenheimer Mid Cap RevenueEtf_Low_max,Oppenheimer Mid Cap RevenueEtf_Low_min,Oppenheimer Mid Cap RevenueEtf_Low_volatility,Oppenheimer Mid Cap RevenueEtf_Low_change,Oppenheimer Mid Cap RevenueEtf_Close_average,Oppenheimer Mid Cap RevenueEtf_Close_max,Oppenheimer Mid Cap RevenueEtf_Close_min,Oppenheimer Mid Cap RevenueEtf_Close_volatility,Oppenheimer Mid Cap RevenueEtf_Close_change
2018-01-14,63.01,63.01,63.01,0.0,0.0,63.57,63.57,63.57,0.0,0.0,63.01,63.01,63.01,0.0,0.0,63.56,63.56,63.56,0.0,0.0
2018-01-21,63.53,63.53,63.53,0.0,0.0,63.81,63.81,63.81,0.0,0.0,63.28,63.28,63.28,0.0,0.0,63.81,63.81,63.81,0.0,0.0
2018-01-28,61.93,61.93,61.93,0.0,0.0,61.93,61.93,61.93,0.0,0.0,60.59,60.59,60.59,0.0,0.0,60.69,60.69,60.69,0.0,0.0
2018-02-04,57.65,57.65,57.65,0.0,0.0,57.9,57.9,57.9,0.0,0.0,55.9,55.9,55.9,0.0,0.0,57.43,57.43,57.43,0.0,0.0
2018-02-11,59.82,59.82,59.82,0.0,0.0,60.45,60.45,60.45,0.0,0.0,59.82,59.82,59.82,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2018-02-18,59.76,59.76,59.76,0.0,0.0,59.96,59.96,59.96,0.0,0.0,59.45,59.45,59.45,0.0,0.0,59.96,59.96,59.96,0.0,0.0
2018-02-25,58.28,58.28,58.28,0.0,0.0,59.6,59.6,59.6,0.0,0.0,58.18,58.18,58.18,0.0,0.0,59.6,59.6,59.6,0.0,0.0
2018-03-04,60.58,60.58,60.58,0.0,0.0,61.26,61.26,61.26,0.0,0.0,60.58,60.58,60.58,0.0,0.0,61.24,61.24,61.24,0.0,0.0
2018-03-11,60.49,60.49,60.49,0.0,0.0,61.03,61.03,61.03,0.0,0.0,60.49,60.49,60.49,0.0,0.0,61.02,61.02,61.02,0.0,0.0
2018-03-18,58.8,58.8,58.8,0.0,0.0,59.02,59.02,59.02,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.59,57.59,57.59,0.0,0.0
2018-03-25,58.33,58.33,58.33,0.0,0.0,59.13,59.13,59.13,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.94,58.94,58.94,0.0,0.0
2018-04-01,58.78,58.78,58.78,0.0,0.0,59.11,59.11,59.11,0.0,0.0,57.68,57.68,57.68,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2018-04-08,59.47,59.47,59.47,0.0,0.0,59.47,59.47,59.47,0.0,0.0,58.91,58.91,58.91,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2018-04-15,60.02,60.02,60.02,0.0,0.0,60.02,60.02,60.02,0.0,0.0,59.32,59.32,59.32,0.0,0.0,59.39,59.39,59.39,0.0,0.0
2018-04-22,59.33,59.33,59.33,0.0,0.0,59.33,59.33,59.33,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.85,58.85,58.85,0.0,0.0
2018-04-29,58.16,58.16,58.16,0.0,0.0,59.36,59.36,59.36,0.0,0.0,58.15,58.15,58.15,0.0,0.0,59.09,59.09,59.09,0.0,0.0
2018-05-06,60.22,60.22,60.22,0.0,0.0,60.38,60.38,60.38,0.0,0.0,60.14,60.14,60.14,0.0,0.0,60.31,60.31,60.31,0.0,0.0
2018-05-13,61.21,61.21,61.21,0.0,0.0,61.26,61.26,61.26,0.0,0.0,60.92,60.92,60.92,0.0,0.0,60.92,60.92,60.92,0.0,0.0
2018-05-20,60.66,60.66,60.66,0.0,0.0,60.83,60.83,60.83,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.75,60.75,60.75,0.0,0.0
2018-05-27,61.33,61.33,61.33,0.0,0.0,61.47,61.47,61.47,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.39,61.39,61.39,0.0,0.0
2018-06-03,62.51,62.51,62.51,0.0,0.0,62.95,62.95,62.95,0.0,0.0,62.5,62.5,62.5,0.0,0.0,62.91,62.91,62.91,0.0,0.0
2018-06-10,62.6,62.6,62.6,0.0,0.0,62.91,62.91,62.91,0.0,0.0,62.38,62.38,62.38,0.0,0.0,62.82,62.82,62.82,0.0,0.0
2018-06-17,62.92,62.92,62.92,0.0,0.0,62.96,62.96,62.96,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.71,62.71,62.71,0.0,0.0
2018-06-24,61.42,61.42,61.42,0.0,0.0,61.58,61.58,61.58,0.0,0.0,61.07,61.07,61.07,0.0,0.0,61.07,61.07,61.07,0.0,0.0
2018-07-01,61.52,61.52,61.52,0.0,0.0,62.35,62.35,62.35,0.0,0.0,61.52,61.52,61.52,0.0,0.0,62.16,62.16,62.16,0.0,0.0
2018-07-08,62.49,62.49,62.49,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.45,62.45,62.45,0.0,0.0,62.51,62.51,62.51,0.0,0.0
2018-07-15,62.6,62.6,62.6,0.0,0.0,62.82,62.82,62.82,0.0,0.0,62.47,62.47,62.47,0.0,0.0,62.58,62.58,62.58,0.0,0.0
2018-07-22,62.75,62.75,62.75,0.0,0.0,63.0,63.0,63.0,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.37,62.37,62.37,0.0,0.0
2018-07-29,63.46,63.46,63.46,0.0,0.0,63.46,63.46,63.46,0.0,0.0,63.2,63.2,63.2,0.0,0.0,63.45,63.45,63.45,0.0,0.0
2018-08-05,63.25,63.25,63.25,0.0,0.0,63.31,63.31,63.31,0.0,0.0,62.82,62.82,62.82,0.0,0.0,63.12,63.12,63.12,0.0,0.0
2018-08-12,63.2,63.2,63.2,0.0,0.0,63.56,63.56,63.56,0.0,0.0,63.07,63.07,63.07,0.0,0.0,63.52,63.52,63.52,0.0,0.0
2018-08-19,64.39,64.39,64.39,0.0,0.0,64.45,64.45,64.45,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.44,64.44,64.44,0.0,0.0
2018-08-26,64.07,64.07,64.07,0.0,0.0,64.23,64.23,64.23,0.0,0.0,64.07,64.07,64.07,0.0,0.0,64.23,64.23,64.23,0.0,0.0
2018-09-02,63.64,63.64,63.64,0.0,0.0,63.94,63.94,63.94,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.56,63.56,63.56,0.0,0.0
2018-09-09,64.09,64.09,64.09,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.09,64.09,64.09,0.0,0.0,64.25,64.25,64.25,0.0,0.0
2018-09-16,64.49,64.49,64.49,0.0,0.0,64.63,64.63,64.63,0.0,0.0,64.25,64.25,64.25,0.0,0.0,64.25,64.25,64.25,0.0,0.0
2018-09-23,62.62,62.62,62.62,0.0,0.0,63.02,63.02,63.02,0.0,0.0,62.62,62.62,62.62,0.0,0.0,62.83,62.83,62.83,0.0,0.0
2018-09-30,61.87,61.87,61.87,0.0,0.0,61.87,61.87,61.87,0.0,0.0,60.9,60.9,60.9,0.0,0.0,61.31,61.31,61.31,0.0,0.0
2018-10-07,59.16,59.16,59.16,0.0,0.0,59.16,59.16,59.16,0.0,0.0,57.41,57.41,57.41,0.0,0.0,58.33,58.33,58.33,0.0,0.0
2018-10-14,58.85,58.85,58.85,0.0,0.0,58.99,58.99,58.99,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-10-21,55.86,55.86,55.86,0.0,0.0,56.65,56.65,56.65,0.0,0.0,55.27,55.27,55.27,0.0,0.0,55.94,55.94,55.94,0.0,0.0
2018-10-28,58.92,58.92,58.92,0.0,0.0,59.34,59.34,59.34,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.9,58.9,58.9,0.0,0.0
2018-11-04,59.59,59.59,59.59,0.0,0.0,59.59,59.59,59.59,0.0,0.0,58.81,58.81,58.81,0.0,0.0,59.22,59.22,59.22,0.0,0.0
2018-11-11,58.12,58.12,58.12,0.0,0.0,58.52,58.52,58.52,0.0,0.0,57.99,57.99,57.99,0.0,0.0,58.28,58.28,58.28,0.0,0.0
2018-11-18,57.34,57.34,57.34,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.29,57.29,57.29,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2018-11-25,58.82,58.82,58.82,0.0,0.0,58.89,58.89,58.89,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.89,58.89,58.89,0.0,0.0
2018-12-02,56.33,56.33,56.33,0.0,0.0,56.83,56.83,56.83,0.0,0.0,54.95,54.95,54.95,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2018-12-09,53.56,53.56,53.56,0.0,0.0,54.37,54.37,54.37,0.0,0.0,53.27,53.27,53.27,0.0,0.0,53.4,53.4,53.4,0.0,0.0
