Date,Vanguard S&P Mid Cap 400 GrowthEtf_Open_average,Vanguard S&P Mid Cap 400 GrowthEtf_Open_max,Vanguard S&P Mid Cap 400 GrowthEtf_Open_min,Vanguard S&P Mid Cap 400 GrowthEtf_Open_volatility,Vanguard S&P Mid Cap 400 GrowthEtf_Open_change,Vanguard S&P Mid Cap 400 GrowthEtf_High_average,Vanguard S&P Mid Cap 400 GrowthEtf_High_max,Vanguard S&P Mid Cap 400 GrowthEtf_High_min,Vanguard S&P Mid Cap 400 GrowthEtf_High_volatility,Vanguard S&P Mid Cap 400 GrowthEtf_High_change,Vanguard S&P Mid Cap 400 GrowthEtf_Low_average,Vanguard S&P Mid Cap 400 GrowthEtf_Low_max,Vanguard S&P Mid Cap 400 GrowthEtf_Low_min,Vanguard S&P Mid Cap 400 GrowthEtf_Low_volatility,Vanguard S&P Mid Cap 400 GrowthEtf_Low_change,Vanguard S&P Mid Cap 400 GrowthEtf_Close_average,Vanguard S&P Mid Cap 400 GrowthEtf_Close_max,Vanguard S&P Mid Cap 400 GrowthEtf_Close_min,Vanguard S&P Mid Cap 400 GrowthEtf_Close_volatility,Vanguard S&P Mid Cap 400 GrowthEtf_Close_change
2018-01-14,138.99,138.99,138.99,0.0,0.0,140.32,140.32,140.32,0.0,0.0,138.99,138.99,138.99,0.0,0.0,140.26,140.26,140.26,0.0,0.0
2018-01-21,141.34,141.34,141.34,0.0,0.0,141.79,141.79,141.79,0.0,0.0,140.67,140.67,140.67,0.0,0.0,141.79,141.79,141.79,0.0,0.0
2018-01-28,138.49,138.49,138.49,0.0,0.0,138.49,138.49,138.49,0.0,0.0,136.56,136.56,136.56,0.0,0.0,136.66,136.66,136.66,0.0,0.0
2018-02-04,129.35,129.35,129.35,0.0,0.0,130.16,130.16,130.16,0.0,0.0,125.85,125.85,125.85,0.0,0.0,129.42,129.42,129.42,0.0,0.0
2018-02-11,135.15,135.15,135.15,0.0,0.0,136.18,136.18,136.18,0.0,0.0,135.15,135.15,135.15,0.0,0.0,135.65,135.65,135.65,0.0,0.0
2018-02-18,135.04,135.04,135.04,0.0,0.0,135.96,135.96,135.96,0.0,0.0,134.48,134.48,134.48,0.0,0.0,135.96,135.96,135.96,0.0,0.0
2018-02-25,131.64,131.64,131.64,0.0,0.0,133.97,133.97,133.97,0.0,0.0,131.4,131.4,131.4,0.0,0.0,133.93,133.93,133.93,0.0,0.0
2018-03-04,138.13,138.13,138.13,0.0,0.0,139.84,139.84,139.84,0.0,0.0,138.13,138.13,138.13,0.0,0.0,139.84,139.84,139.84,0.0,0.0
2018-03-11,138.25,138.25,138.25,0.0,0.0,139.16,139.16,139.16,0.0,0.0,138.25,138.25,138.25,0.0,0.0,138.97,138.97,138.97,0.0,0.0
2018-03-18,135.12,135.12,135.12,0.0,0.0,135.32,135.32,135.32,0.0,0.0,132.28,132.28,132.28,0.0,0.0,132.28,132.28,132.28,0.0,0.0
