Date,SPDR SSgA Global AllocationEtf_Open_average,SPDR SSgA Global AllocationEtf_Open_max,SPDR SSgA Global AllocationEtf_Open_min,SPDR SSgA Global AllocationEtf_Open_volatility,SPDR SSgA Global AllocationEtf_Open_change,SPDR SSgA Global AllocationEtf_High_average,SPDR SSgA Global AllocationEtf_High_max,SPDR SSgA Global AllocationEtf_High_min,SPDR SSgA Global AllocationEtf_High_volatility,SPDR SSgA Global AllocationEtf_High_change,SPDR SSgA Global AllocationEtf_Low_average,SPDR SSgA Global AllocationEtf_Low_max,SPDR SSgA Global AllocationEtf_Low_min,SPDR SSgA Global AllocationEtf_Low_volatility,SPDR SSgA Global AllocationEtf_Low_change,SPDR SSgA Global AllocationEtf_Close_average,SPDR SSgA Global AllocationEtf_Close_max,SPDR SSgA Global AllocationEtf_Close_min,SPDR SSgA Global AllocationEtf_Close_volatility,SPDR SSgA Global AllocationEtf_Close_change
2018-01-14,39.69,39.69,39.69,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2018-01-21,40.16,40.16,40.16,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.37,40.37,40.37,0.0,0.0
2018-01-28,39.71,39.71,39.71,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2018-02-04,37.44,37.44,37.44,0.0,0.0,37.53,37.53,37.53,0.0,0.0,36.78,36.78,36.78,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2018-02-11,38.6,38.6,38.6,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2018-02-18,38.77,38.77,38.77,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.86,38.86,38.86,0.0,0.0
2018-02-25,38.0,38.0,38.0,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.83,37.83,37.83,0.0,0.0,38.13,38.13,38.13,0.0,0.0
2018-03-04,38.69,38.69,38.69,0.0,0.0,39.06,39.06,39.06,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2018-03-11,38.83,38.83,38.83,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.82,38.82,38.82,0.0,0.0
2018-03-18,37.94,37.94,37.94,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-03-25,37.88,37.88,37.88,0.0,0.0,38.13,38.13,38.13,0.0,0.0,37.82,37.82,37.82,0.0,0.0,38.12,38.12,38.12,0.0,0.0
