Date,SPDR MSCI World StrategicFactorsEtf_Open_average,SPDR MSCI World StrategicFactorsEtf_Open_max,SPDR MSCI World StrategicFactorsEtf_Open_min,SPDR MSCI World StrategicFactorsEtf_Open_volatility,SPDR MSCI World StrategicFactorsEtf_Open_change,SPDR MSCI World StrategicFactorsEtf_High_average,SPDR MSCI World StrategicFactorsEtf_High_max,SPDR MSCI World StrategicFactorsEtf_High_min,SPDR MSCI World StrategicFactorsEtf_High_volatility,SPDR MSCI World StrategicFactorsEtf_High_change,SPDR MSCI World StrategicFactorsEtf_Low_average,SPDR MSCI World StrategicFactorsEtf_Low_max,SPDR MSCI World StrategicFactorsEtf_Low_min,SPDR MSCI World StrategicFactorsEtf_Low_volatility,SPDR MSCI World StrategicFactorsEtf_Low_change,SPDR MSCI World StrategicFactorsEtf_Close_average,SPDR MSCI World StrategicFactorsEtf_Close_max,SPDR MSCI World StrategicFactorsEtf_Close_min,SPDR MSCI World StrategicFactorsEtf_Close_volatility,SPDR MSCI World StrategicFactorsEtf_Close_change
2018-01-14,78.14,78.14,78.14,0.0,0.0,78.14,78.14,78.14,0.0,0.0,78.14,78.14,78.14,0.0,0.0,78.14,78.14,78.14,0.0,0.0
2018-01-21,79.3,79.3,79.3,0.0,0.0,79.3,79.3,79.3,0.0,0.0,79.3,79.3,79.3,0.0,0.0,79.3,79.3,79.3,0.0,0.0
2018-01-28,77.92,77.92,77.92,0.0,0.0,78.0,78.0,78.0,0.0,0.0,77.3,77.3,77.3,0.0,0.0,77.3,77.3,77.3,0.0,0.0
2018-02-04,72.16,72.16,72.16,0.0,0.0,72.77,72.77,72.77,0.0,0.0,71.99,71.99,71.99,0.0,0.0,72.77,72.77,72.77,0.0,0.0
2018-02-11,76.34,76.34,76.34,0.0,0.0,76.65,76.65,76.65,0.0,0.0,76.34,76.34,76.34,0.0,0.0,76.51,76.51,76.51,0.0,0.0
2018-02-18,76.37,76.37,76.37,0.0,0.0,76.37,76.37,76.37,0.0,0.0,76.37,76.37,76.37,0.0,0.0,76.37,76.37,76.37,0.0,0.0
2018-02-25,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0
2018-03-04,76.6,76.6,76.6,0.0,0.0,76.62,76.62,76.62,0.0,0.0,76.6,76.6,76.6,0.0,0.0,76.62,76.62,76.62,0.0,0.0
2018-03-11,76.49,76.49,76.49,0.0,0.0,76.75,76.75,76.75,0.0,0.0,76.36,76.36,76.36,0.0,0.0,76.74,76.74,76.74,0.0,0.0
2018-03-18,74.81,74.81,74.81,0.0,0.0,74.81,74.81,74.81,0.0,0.0,74.42,74.42,74.42,0.0,0.0,74.48,74.48,74.48,0.0,0.0
