Date,First Trust Large Cap Value AlphaDEXEtf_Open_average,First Trust Large Cap Value AlphaDEXEtf_Open_max,First Trust Large Cap Value AlphaDEXEtf_Open_min,First Trust Large Cap Value AlphaDEXEtf_Open_volatility,First Trust Large Cap Value AlphaDEXEtf_Open_change,First Trust Large Cap Value AlphaDEXEtf_High_average,First Trust Large Cap Value AlphaDEXEtf_High_max,First Trust Large Cap Value AlphaDEXEtf_High_min,First Trust Large Cap Value AlphaDEXEtf_High_volatility,First Trust Large Cap Value AlphaDEXEtf_High_change,First Trust Large Cap Value AlphaDEXEtf_Low_average,First Trust Large Cap Value AlphaDEXEtf_Low_max,First Trust Large Cap Value AlphaDEXEtf_Low_min,First Trust Large Cap Value AlphaDEXEtf_Low_volatility,First Trust Large Cap Value AlphaDEXEtf_Low_change,First Trust Large Cap Value AlphaDEXEtf_Close_average,First Trust Large Cap Value AlphaDEXEtf_Close_max,First Trust Large Cap Value AlphaDEXEtf_Close_min,First Trust Large Cap Value AlphaDEXEtf_Close_volatility,First Trust Large Cap Value AlphaDEXEtf_Close_change
2018-01-14,56.46,56.46,56.46,0.0,0.0,56.62,56.62,56.62,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.62,56.62,56.62,0.0,0.0
2018-01-21,57.3,57.3,57.3,0.0,0.0,57.69,57.69,57.69,0.0,0.0,57.2,57.2,57.2,0.0,0.0,57.69,57.69,57.69,0.0,0.0
2018-01-28,55.94,55.94,55.94,0.0,0.0,55.94,55.94,55.94,0.0,0.0,55.02,55.02,55.02,0.0,0.0,55.09,55.09,55.09,0.0,0.0
2018-02-04,52.53,52.53,52.53,0.0,0.0,52.9,52.9,52.9,0.0,0.0,51.01,51.01,51.01,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2018-02-11,54.33,54.33,54.33,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2018-02-18,54.11,54.11,54.11,0.0,0.0,54.54,54.54,54.54,0.0,0.0,53.98,53.98,53.98,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2018-02-25,52.88,52.88,52.88,0.0,0.0,53.45,53.45,53.45,0.0,0.0,52.68,52.68,52.68,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2018-03-04,54.31,54.31,54.31,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2018-03-11,54.04,54.04,54.04,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2018-03-18,52.54,52.54,52.54,0.0,0.0,52.64,52.64,52.64,0.0,0.0,51.43,51.43,51.43,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2018-03-25,52.38,52.38,52.38,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.74,52.74,52.74,0.0,0.0
2018-04-01,52.8,52.8,52.8,0.0,0.0,53.08,53.08,53.08,0.0,0.0,51.85,51.85,51.85,0.0,0.0,52.21,52.21,52.21,0.0,0.0
2018-04-08,53.07,53.07,53.07,0.0,0.0,53.07,53.07,53.07,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-04-15,53.45,53.45,53.45,0.0,0.0,53.58,53.58,53.58,0.0,0.0,52.95,52.95,52.95,0.0,0.0,53.15,53.15,53.15,0.0,0.0
2018-04-22,53.24,53.24,53.24,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.14,53.14,53.14,0.0,0.0,53.29,53.29,53.29,0.0,0.0
2018-04-29,51.68,51.68,51.68,0.0,0.0,52.63,52.63,52.63,0.0,0.0,51.61,51.61,51.61,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-05-06,52.95,52.95,52.95,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2018-05-13,53.33,53.33,53.33,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.11,53.11,53.11,0.0,0.0,53.17,53.17,53.17,0.0,0.0
2018-05-20,52.97,52.97,52.97,0.0,0.0,53.02,53.02,53.02,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.94,52.94,52.94,0.0,0.0
2018-05-27,52.78,52.78,52.78,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.72,52.72,52.72,0.0,0.0
2018-06-03,53.5,53.5,53.5,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.63,53.63,53.63,0.0,0.0
2018-06-10,53.4,53.4,53.4,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.18,53.18,53.18,0.0,0.0,53.62,53.62,53.62,0.0,0.0
2018-06-17,53.33,53.33,53.33,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.16,53.16,53.16,0.0,0.0
2018-06-24,52.58,52.58,52.58,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2018-07-01,52.55,52.55,52.55,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.55,52.55,52.55,0.0,0.0,53.0,53.0,53.0,0.0,0.0
2018-07-08,52.98,52.98,52.98,0.0,0.0,53.22,53.22,53.22,0.0,0.0,52.96,52.96,52.96,0.0,0.0,53.1,53.1,53.1,0.0,0.0
2018-07-15,53.22,53.22,53.22,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.04,53.04,53.04,0.0,0.0,53.07,53.07,53.07,0.0,0.0
2018-07-22,53.78,53.78,53.78,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.73,53.73,53.73,0.0,0.0
2018-07-29,53.61,53.61,53.61,0.0,0.0,54.08,54.08,54.08,0.0,0.0,53.61,53.61,53.61,0.0,0.0,54.08,54.08,54.08,0.0,0.0
2018-08-05,53.89,53.89,53.89,0.0,0.0,53.98,53.98,53.98,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.82,53.82,53.82,0.0,0.0
2018-08-12,54.2,54.2,54.2,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2018-08-19,54.57,54.57,54.57,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-08-26,54.57,54.57,54.57,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.67,54.67,54.67,0.0,0.0
2018-09-02,54.57,54.57,54.57,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2018-09-09,54.69,54.69,54.69,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.8,54.8,54.8,0.0,0.0
2018-09-16,55.33,55.33,55.33,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.33,55.33,55.33,0.0,0.0,55.43,55.43,55.43,0.0,0.0
2018-09-23,54.11,54.11,54.11,0.0,0.0,54.24,54.24,54.24,0.0,0.0,53.98,53.98,53.98,0.0,0.0,54.14,54.14,54.14,0.0,0.0
2018-09-30,54.3,54.3,54.3,0.0,0.0,54.36,54.36,54.36,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2018-10-07,51.92,51.92,51.92,0.0,0.0,51.92,51.92,51.92,0.0,0.0,50.84,50.84,50.84,0.0,0.0,51.41,51.41,51.41,0.0,0.0
2018-10-14,51.74,51.74,51.74,0.0,0.0,52.09,52.09,52.09,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-10-21,49.76,49.76,49.76,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2018-10-28,51.98,51.98,51.98,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2018-11-04,52.49,52.49,52.49,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.37,52.37,52.37,0.0,0.0
2018-11-11,51.56,51.56,51.56,0.0,0.0,51.97,51.97,51.97,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.87,51.87,51.87,0.0,0.0
2018-11-18,50.7,50.7,50.7,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2018-11-25,52.0,52.0,52.0,0.0,0.0,52.18,52.18,52.18,0.0,0.0,51.82,51.82,51.82,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2018-12-02,50.71,50.71,50.71,0.0,0.0,51.0,51.0,51.0,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-12-09,48.98,48.98,48.98,0.0,0.0,49.35,49.35,49.35,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.78,48.78,48.78,0.0,0.0
