Date,iShares Edge MSCI Multifactor USA Small-CapEtf_Open_average,iShares Edge MSCI Multifactor USA Small-CapEtf_Open_max,iShares Edge MSCI Multifactor USA Small-CapEtf_Open_min,iShares Edge MSCI Multifactor USA Small-CapEtf_Open_volatility,iShares Edge MSCI Multifactor USA Small-CapEtf_Open_change,iShares Edge MSCI Multifactor USA Small-CapEtf_High_average,iShares Edge MSCI Multifactor USA Small-CapEtf_High_max,iShares Edge MSCI Multifactor USA Small-CapEtf_High_min,iShares Edge MSCI Multifactor USA Small-CapEtf_High_volatility,iShares Edge MSCI Multifactor USA Small-CapEtf_High_change,iShares Edge MSCI Multifactor USA Small-CapEtf_Low_average,iShares Edge MSCI Multifactor USA Small-CapEtf_Low_max,iShares Edge MSCI Multifactor USA Small-CapEtf_Low_min,iShares Edge MSCI Multifactor USA Small-CapEtf_Low_volatility,iShares Edge MSCI Multifactor USA Small-CapEtf_Low_change,iShares Edge MSCI Multifactor USA Small-CapEtf_Close_average,iShares Edge MSCI Multifactor USA Small-CapEtf_Close_max,iShares Edge MSCI Multifactor USA Small-CapEtf_Close_min,iShares Edge MSCI Multifactor USA Small-CapEtf_Close_volatility,iShares Edge MSCI Multifactor USA Small-CapEtf_Close_change
2018-01-14,40.79,40.79,40.79,0.0,0.0,41.18,41.18,41.18,0.0,0.0,40.73,40.73,40.73,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2018-01-21,41.19,41.19,41.19,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-01-28,40.51,40.51,40.51,0.0,0.0,40.51,40.51,40.51,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2018-02-04,37.9,37.9,37.9,0.0,0.0,37.9,37.9,37.9,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.61,37.61,37.61,0.0,0.0
2018-02-11,39.35,39.35,39.35,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-02-18,39.1,39.1,39.1,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-02-25,38.28,38.28,38.28,0.0,0.0,39.04,39.04,39.04,0.0,0.0,38.28,38.28,38.28,0.0,0.0,39.0,39.0,39.0,0.0,0.0
2018-03-04,40.2,40.2,40.2,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.7,40.7,40.7,0.0,0.0
2018-03-11,40.34,40.34,40.34,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.7,40.7,40.7,0.0,0.0
2018-03-18,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2018-03-25,39.17,39.17,39.17,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2018-04-01,39.24,39.24,39.24,0.0,0.0,39.31,39.31,39.31,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2018-04-08,39.68,39.68,39.68,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2018-04-15,40.17,40.17,40.17,0.0,0.0,40.17,40.17,40.17,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2018-04-22,39.49,39.49,39.49,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2018-04-29,39.24,39.24,39.24,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2018-05-06,40.86,40.86,40.86,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2018-05-13,41.28,41.28,41.28,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.39,41.39,41.39,0.0,0.0
2018-05-20,41.63,41.63,41.63,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2018-05-27,42.12,42.12,42.12,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.01,42.01,42.01,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2018-06-03,42.75,42.75,42.75,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.88,42.88,42.88,0.0,0.0
2018-06-10,42.76,42.76,42.76,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2018-06-17,43.45,43.45,43.45,0.0,0.0,43.45,43.45,43.45,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2018-06-24,42.04,42.04,42.04,0.0,0.0,42.2,42.2,42.2,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.82,41.82,41.82,0.0,0.0
2018-07-01,42.6,42.6,42.6,0.0,0.0,43.16,43.16,43.16,0.0,0.0,42.6,42.6,42.6,0.0,0.0,43.1,43.1,43.1,0.0,0.0
2018-07-08,43.05,43.05,43.05,0.0,0.0,43.17,43.17,43.17,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2018-07-15,43.57,43.57,43.57,0.0,0.0,43.57,43.57,43.57,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.36,43.36,43.36,0.0,0.0
