Date,First Trust Senior LoanEtf_Open_average,First Trust Senior LoanEtf_Open_max,First Trust Senior LoanEtf_Open_min,First Trust Senior LoanEtf_Open_volatility,First Trust Senior LoanEtf_Open_change,First Trust Senior LoanEtf_High_average,First Trust Senior LoanEtf_High_max,First Trust Senior LoanEtf_High_min,First Trust Senior LoanEtf_High_volatility,First Trust Senior LoanEtf_High_change,First Trust Senior LoanEtf_Low_average,First Trust Senior LoanEtf_Low_max,First Trust Senior LoanEtf_Low_min,First Trust Senior LoanEtf_Low_volatility,First Trust Senior LoanEtf_Low_change,First Trust Senior LoanEtf_Close_average,First Trust Senior LoanEtf_Close_max,First Trust Senior LoanEtf_Close_min,First Trust Senior LoanEtf_Close_volatility,First Trust Senior LoanEtf_Close_change
2018-01-14,48.31,48.31,48.31,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-01-21,48.28,48.28,48.28,0.0,0.0,48.32,48.32,48.32,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2018-01-28,48.32,48.32,48.32,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-02-04,48.24,48.24,48.24,0.0,0.0,48.32,48.32,48.32,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.23,48.23,48.23,0.0,0.0
2018-02-11,48.22,48.22,48.22,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-02-18,48.13,48.13,48.13,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2018-02-25,48.13,48.13,48.13,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2018-03-04,48.12,48.12,48.12,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2018-03-11,48.23,48.23,48.23,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2018-03-18,48.07,48.07,48.07,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-03-25,48.11,48.11,48.11,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2018-04-01,48.11,48.11,48.11,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2018-04-08,48.23,48.23,48.23,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2018-04-15,48.14,48.14,48.14,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2018-04-22,48.13,48.13,48.13,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2018-04-29,48.16,48.16,48.16,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-05-06,48.18,48.18,48.18,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.19,48.19,48.19,0.0,0.0
2018-05-13,48.2,48.2,48.2,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2018-05-20,48.0,48.0,48.0,0.0,0.0,48.01,48.01,48.01,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-05-27,47.99,47.99,47.99,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2018-06-03,48.02,48.02,48.02,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.04,48.04,48.04,0.0,0.0
2018-06-10,48.04,48.04,48.04,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2018-06-17,47.89,47.89,47.89,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.87,47.87,47.87,0.0,0.0
