Date,iShares Edge MSCI Min Vol USA Small-CapEtf_Open_average,iShares Edge MSCI Min Vol USA Small-CapEtf_Open_max,iShares Edge MSCI Min Vol USA Small-CapEtf_Open_min,iShares Edge MSCI Min Vol USA Small-CapEtf_Open_volatility,iShares Edge MSCI Min Vol USA Small-CapEtf_Open_change,iShares Edge MSCI Min Vol USA Small-CapEtf_High_average,iShares Edge MSCI Min Vol USA Small-CapEtf_High_max,iShares Edge MSCI Min Vol USA Small-CapEtf_High_min,iShares Edge MSCI Min Vol USA Small-CapEtf_High_volatility,iShares Edge MSCI Min Vol USA Small-CapEtf_High_change,iShares Edge MSCI Min Vol USA Small-CapEtf_Low_average,iShares Edge MSCI Min Vol USA Small-CapEtf_Low_max,iShares Edge MSCI Min Vol USA Small-CapEtf_Low_min,iShares Edge MSCI Min Vol USA Small-CapEtf_Low_volatility,iShares Edge MSCI Min Vol USA Small-CapEtf_Low_change,iShares Edge MSCI Min Vol USA Small-CapEtf_Close_average,iShares Edge MSCI Min Vol USA Small-CapEtf_Close_max,iShares Edge MSCI Min Vol USA Small-CapEtf_Close_min,iShares Edge MSCI Min Vol USA Small-CapEtf_Close_volatility,iShares Edge MSCI Min Vol USA Small-CapEtf_Close_change
2018-01-14,29.41,29.41,29.41,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2018-01-21,29.82,29.82,29.82,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2018-01-28,29.19,29.19,29.19,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2018-02-04,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-02-11,28.76,28.76,28.76,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.76,28.76,28.76,0.0,0.0,29.06,29.06,29.06,0.0,0.0
2018-02-18,28.64,28.64,28.64,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2018-02-25,28.33,28.33,28.33,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2018-03-04,29.3,29.3,29.3,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2018-03-11,29.39,29.39,29.39,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.39,29.39,29.39,0.0,0.0
2018-03-18,28.64,28.64,28.64,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.44,28.44,28.44,0.0,0.0
2018-03-25,28.69,28.69,28.69,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-04-01,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-04-08,28.96,28.96,28.96,0.0,0.0,29.12,29.12,29.12,0.0,0.0,28.96,28.96,28.96,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-04-15,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-04-22,29.4,29.4,29.4,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-04-29,29.47,29.47,29.47,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2018-05-06,30.28,30.28,30.28,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-05-13,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2018-05-20,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-05-27,30.65,30.65,30.65,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-06-03,31.04,31.04,31.04,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-06-10,31.31,31.31,31.31,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-06-17,31.51,31.51,31.51,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-06-24,31.26,31.26,31.26,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-07-01,31.77,31.77,31.77,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-07-08,32.09,32.09,32.09,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2018-07-15,31.84,31.84,31.84,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-07-22,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-07-29,31.74,31.74,31.74,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-08-05,32.16,32.16,32.16,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-08-12,32.4,32.4,32.4,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2018-08-19,32.57,32.57,32.57,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-08-26,32.93,32.93,32.93,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2018-09-02,32.9,32.9,32.9,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2018-09-09,32.97,32.97,32.97,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-09-16,32.81,32.81,32.81,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-09-23,32.64,32.64,32.64,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-09-30,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.83,31.83,31.83,0.0,0.0
2018-10-07,30.86,30.86,30.86,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-10-14,31.41,31.41,31.41,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-10-21,30.74,30.74,30.74,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.59,30.59,30.59,0.0,0.0
