Date,iShares Core MSCI International Developed MarketEtf_Open_average,iShares Core MSCI International Developed MarketEtf_Open_max,iShares Core MSCI International Developed MarketEtf_Open_min,iShares Core MSCI International Developed MarketEtf_Open_volatility,iShares Core MSCI International Developed MarketEtf_Open_change,iShares Core MSCI International Developed MarketEtf_High_average,iShares Core MSCI International Developed MarketEtf_High_max,iShares Core MSCI International Developed MarketEtf_High_min,iShares Core MSCI International Developed MarketEtf_High_volatility,iShares Core MSCI International Developed MarketEtf_High_change,iShares Core MSCI International Developed MarketEtf_Low_average,iShares Core MSCI International Developed MarketEtf_Low_max,iShares Core MSCI International Developed MarketEtf_Low_min,iShares Core MSCI International Developed MarketEtf_Low_volatility,iShares Core MSCI International Developed MarketEtf_Low_change,iShares Core MSCI International Developed MarketEtf_Close_average,iShares Core MSCI International Developed MarketEtf_Close_max,iShares Core MSCI International Developed MarketEtf_Close_min,iShares Core MSCI International Developed MarketEtf_Close_volatility,iShares Core MSCI International Developed MarketEtf_Close_change
2018-01-14,61.45,61.45,61.45,0.0,0.0,61.45,61.45,61.45,0.0,0.0,61.19,61.19,61.19,0.0,0.0,61.37,61.37,61.37,0.0,0.0
2018-01-21,62.23,62.23,62.23,0.0,0.0,62.47,62.47,62.47,0.0,0.0,62.23,62.23,62.23,0.0,0.0,62.47,62.47,62.47,0.0,0.0
2018-01-28,60.85,60.85,60.85,0.0,0.0,60.96,60.96,60.96,0.0,0.0,60.07,60.07,60.07,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2018-02-04,57.13,57.13,57.13,0.0,0.0,57.14,57.14,57.14,0.0,0.0,55.93,55.93,55.93,0.0,0.0,57.1,57.1,57.1,0.0,0.0
2018-02-11,59.26,59.26,59.26,0.0,0.0,59.55,59.55,59.55,0.0,0.0,59.21,59.21,59.21,0.0,0.0,59.33,59.33,59.33,0.0,0.0
2018-02-18,59.07,59.07,59.07,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.04,59.04,59.04,0.0,0.0,59.35,59.35,59.35,0.0,0.0
2018-02-25,57.23,57.23,57.23,0.0,0.0,57.75,57.75,57.75,0.0,0.0,57.13,57.13,57.13,0.0,0.0,57.69,57.69,57.69,0.0,0.0
2018-03-04,58.75,58.75,58.75,0.0,0.0,58.91,58.91,58.91,0.0,0.0,58.75,58.75,58.75,0.0,0.0,58.89,58.89,58.89,0.0,0.0
2018-03-11,58.58,58.58,58.58,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.64,58.64,58.64,0.0,0.0
2018-03-18,57.41,57.41,57.41,0.0,0.0,57.49,57.49,57.49,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2018-03-25,57.93,57.93,57.93,0.0,0.0,58.23,58.23,58.23,0.0,0.0,57.78,57.78,57.78,0.0,0.0,58.09,58.09,58.09,0.0,0.0
2018-04-01,58.19,58.19,58.19,0.0,0.0,58.23,58.23,58.23,0.0,0.0,57.75,57.75,57.75,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2018-04-08,59.03,59.03,59.03,0.0,0.0,59.03,59.03,59.03,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.76,58.76,58.76,0.0,0.0
2018-04-15,59.14,59.14,59.14,0.0,0.0,59.22,59.22,59.22,0.0,0.0,59.07,59.07,59.07,0.0,0.0,59.13,59.13,59.13,0.0,0.0
2018-04-22,58.89,58.89,58.89,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.75,58.75,58.75,0.0,0.0
2018-04-29,58.19,58.19,58.19,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.76,58.76,58.76,0.0,0.0
2018-05-06,59.55,59.55,59.55,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.48,59.48,59.48,0.0,0.0,59.53,59.53,59.53,0.0,0.0
2018-05-13,59.2,59.2,59.2,0.0,0.0,59.23,59.23,59.23,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.2,59.2,59.2,0.0,0.0
2018-05-20,58.38,58.38,58.38,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.39,58.39,58.39,0.0,0.0
2018-05-27,58.21,58.21,58.21,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.24,58.24,58.24,0.0,0.0
2018-06-03,58.57,58.57,58.57,0.0,0.0,58.74,58.74,58.74,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.74,58.74,58.74,0.0,0.0
2018-06-10,58.23,58.23,58.23,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.11,58.11,58.11,0.0,0.0,58.32,58.32,58.32,0.0,0.0
2018-06-17,56.69,56.69,56.69,0.0,0.0,56.79,56.79,56.79,0.0,0.0,56.54,56.54,56.54,0.0,0.0,56.7,56.7,56.7,0.0,0.0
2018-06-24,55.97,55.97,55.97,0.0,0.0,56.19,56.19,56.19,0.0,0.0,55.93,55.93,55.93,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2018-07-01,56.2,56.2,56.2,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.18,56.18,56.18,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2018-07-08,56.38,56.38,56.38,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2018-07-15,56.78,56.78,56.78,0.0,0.0,56.83,56.83,56.83,0.0,0.0,56.73,56.73,56.73,0.0,0.0,56.78,56.78,56.78,0.0,0.0
2018-07-22,57.56,57.56,57.56,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.31,57.31,57.31,0.0,0.0,57.42,57.42,57.42,0.0,0.0
2018-07-29,56.66,56.66,56.66,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.89,56.89,56.89,0.0,0.0
2018-08-05,55.88,55.88,55.88,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.59,55.59,55.59,0.0,0.0,55.77,55.77,55.77,0.0,0.0
2018-08-12,55.19,55.19,55.19,0.0,0.0,55.71,55.71,55.71,0.0,0.0,55.19,55.19,55.19,0.0,0.0,55.57,55.57,55.57,0.0,0.0
2018-08-19,56.27,56.27,56.27,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.27,56.27,56.27,0.0,0.0,56.34,56.34,56.34,0.0,0.0
2018-08-26,56.54,56.54,56.54,0.0,0.0,56.74,56.74,56.74,0.0,0.0,56.13,56.13,56.13,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2018-09-02,54.77,54.77,54.77,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.78,54.78,54.78,0.0,0.0
2018-09-09,55.98,55.98,55.98,0.0,0.0,56.03,56.03,56.03,0.0,0.0,55.79,55.79,55.79,0.0,0.0,55.85,55.85,55.85,0.0,0.0
2018-09-16,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2018-09-23,56.75,56.75,56.75,0.0,0.0,57.05,57.05,57.05,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.75,56.75,56.75,0.0,0.0
2018-09-30,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0,55.24,55.24,55.24,0.0,0.0,55.59,55.59,55.59,0.0,0.0
2018-10-07,53.61,53.61,53.61,0.0,0.0,53.61,53.61,53.61,0.0,0.0,52.83,52.83,52.83,0.0,0.0,53.18,53.18,53.18,0.0,0.0
2018-10-14,53.19,53.19,53.19,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.19,53.19,53.19,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2018-10-21,50.95,50.95,50.95,0.0,0.0,51.55,51.55,51.55,0.0,0.0,49.52,49.52,49.52,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2018-10-28,53.29,53.29,53.29,0.0,0.0,53.3,53.3,53.3,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.89,52.89,52.89,0.0,0.0
2018-11-04,52.91,52.91,52.91,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2018-11-11,52.04,52.04,52.04,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2018-11-18,51.46,51.46,51.46,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.49,51.49,51.49,0.0,0.0
2018-11-25,52.14,52.14,52.14,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2018-12-02,51.16,51.16,51.16,0.0,0.0,51.3,51.3,51.3,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2018-12-09,50.39,50.39,50.39,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-12-16,48.33,48.33,48.33,0.0,0.0,48.58,48.58,48.58,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2018-12-23,48.92,48.92,48.92,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-12-30,49.15,49.15,49.15,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2019-01-06,50.79,50.79,50.79,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2019-01-13,51.77,51.77,51.77,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.76,51.76,51.76,0.0,0.0
2019-01-20,51.83,51.83,51.83,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.89,51.89,51.89,0.0,0.0
2019-01-27,52.39,52.39,52.39,0.0,0.0,52.43,52.43,52.43,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.35,52.35,52.35,0.0,0.0
2019-02-03,51.65,51.65,51.65,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.71,51.71,51.71,0.0,0.0
