Date,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Open_average,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Open_max,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Open_min,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Open_volatility,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Open_change,WisdomTree Fundamental U.S. High Yield Corporate BEtf_High_average,WisdomTree Fundamental U.S. High Yield Corporate BEtf_High_max,WisdomTree Fundamental U.S. High Yield Corporate BEtf_High_min,WisdomTree Fundamental U.S. High Yield Corporate BEtf_High_volatility,WisdomTree Fundamental U.S. High Yield Corporate BEtf_High_change,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Low_average,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Low_max,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Low_min,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Low_volatility,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Low_change,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Close_average,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Close_max,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Close_min,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Close_volatility,WisdomTree Fundamental U.S. High Yield Corporate BEtf_Close_change
2018-01-14,50.61,50.61,50.61,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2018-01-21,50.54,50.54,50.54,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2018-01-28,50.03,50.03,50.03,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2018-02-04,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,48.87,48.87,48.87,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2018-02-11,49.91,49.91,49.91,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2018-02-18,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-02-25,49.67,49.67,49.67,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2018-03-04,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-03-11,49.69,49.69,49.69,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-03-18,49.11,49.11,49.11,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.11,49.11,49.11,0.0,0.0
2018-03-25,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-04-01,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-04-08,49.79,49.79,49.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-04-15,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-04-22,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-04-29,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-05-06,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2018-05-13,49.36,49.36,49.36,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2018-05-20,49.15,49.15,49.15,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2018-05-27,49.22,49.22,49.22,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-06-03,49.32,49.32,49.32,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2018-06-10,49.58,49.58,49.58,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-06-17,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-06-24,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-07-01,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-07-08,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-07-15,49.1,49.1,49.1,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-07-22,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-07-29,49.51,49.51,49.51,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-08-05,49.54,49.54,49.54,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-08-12,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-08-19,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-08-26,49.67,49.67,49.67,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-09-02,49.54,49.54,49.54,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-09-09,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-09-16,49.67,49.67,49.67,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2018-09-23,49.81,49.81,49.81,0.0,0.0,50.48,50.48,50.48,0.0,0.0,49.67,49.67,49.67,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2018-09-30,50.15,50.15,50.15,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2018-10-07,49.91,49.91,49.91,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.7,49.7,49.7,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2018-10-14,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-10-21,49.41,49.41,49.41,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2018-10-28,49.3,49.3,49.3,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-11-04,49.54,49.54,49.54,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-11-11,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2018-11-18,48.55,48.55,48.55,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2018-11-25,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2018-12-02,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.54,48.54,48.54,0.0,0.0
2018-12-09,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-12-16,47.64,47.64,47.64,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.1,47.1,47.1,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2018-12-23,47.54,47.54,47.54,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2018-12-30,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2019-01-06,49.12,49.12,49.12,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2019-01-13,49.7,49.7,49.7,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2019-01-20,49.31,49.31,49.31,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2019-01-27,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2019-02-03,49.78,49.78,49.78,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.8,49.8,49.8,0.0,0.0
