Date,iShares Edge MSCI Min VolEtf_Open_average,iShares Edge MSCI Min VolEtf_Open_max,iShares Edge MSCI Min VolEtf_Open_min,iShares Edge MSCI Min VolEtf_Open_volatility,iShares Edge MSCI Min VolEtf_Open_change,iShares Edge MSCI Min VolEtf_High_average,iShares Edge MSCI Min VolEtf_High_max,iShares Edge MSCI Min VolEtf_High_min,iShares Edge MSCI Min VolEtf_High_volatility,iShares Edge MSCI Min VolEtf_High_change,iShares Edge MSCI Min VolEtf_Low_average,iShares Edge MSCI Min VolEtf_Low_max,iShares Edge MSCI Min VolEtf_Low_min,iShares Edge MSCI Min VolEtf_Low_volatility,iShares Edge MSCI Min VolEtf_Low_change,iShares Edge MSCI Min VolEtf_Close_average,iShares Edge MSCI Min VolEtf_Close_max,iShares Edge MSCI Min VolEtf_Close_min,iShares Edge MSCI Min VolEtf_Close_volatility,iShares Edge MSCI Min VolEtf_Close_change
2018-01-14,54.01,54.01,54.01,0.0,0.0,54.14,54.14,54.14,0.0,0.0,53.91,53.91,53.91,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2018-01-21,54.95,54.95,54.95,0.0,0.0,55.31,55.31,55.31,0.0,0.0,54.86,54.86,54.86,0.0,0.0,55.31,55.31,55.31,0.0,0.0
2018-01-28,54.13,54.13,54.13,0.0,0.0,54.28,54.28,54.28,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2018-02-04,50.63,50.63,50.63,0.0,0.0,51.42,51.42,51.42,0.0,0.0,49.71,49.71,49.71,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-02-11,52.78,52.78,52.78,0.0,0.0,53.28,53.28,53.28,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.98,52.98,52.98,0.0,0.0
2018-02-18,52.25,52.25,52.25,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2018-02-25,51.38,51.38,51.38,0.0,0.0,52.07,52.07,52.07,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2018-03-04,53.08,53.08,53.08,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.0,53.0,53.0,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2018-03-11,53.12,53.12,53.12,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-03-18,51.49,51.49,51.49,0.0,0.0,51.74,51.74,51.74,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2018-03-25,51.56,51.56,51.56,0.0,0.0,52.22,52.22,52.22,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.93,51.93,51.93,0.0,0.0
2018-04-01,52.04,52.04,52.04,0.0,0.0,52.35,52.35,52.35,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.49,51.49,51.49,0.0,0.0
2018-04-08,52.24,52.24,52.24,0.0,0.0,52.28,52.28,52.28,0.0,0.0,51.88,51.88,51.88,0.0,0.0,52.04,52.04,52.04,0.0,0.0
2018-04-15,52.58,52.58,52.58,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2018-04-22,52.3,52.3,52.3,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.36,52.36,52.36,0.0,0.0
2018-04-29,51.29,51.29,51.29,0.0,0.0,52.16,52.16,52.16,0.0,0.0,51.27,51.27,51.27,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2018-05-06,52.79,52.79,52.79,0.0,0.0,52.91,52.91,52.91,0.0,0.0,52.61,52.61,52.61,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2018-05-13,52.22,52.22,52.22,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2018-05-20,52.62,52.62,52.62,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.64,52.64,52.64,0.0,0.0
2018-05-27,52.76,52.76,52.76,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.8,52.8,52.8,0.0,0.0
