Date,NuShares ESG Large-Cap GrowthEtf_Open_average,NuShares ESG Large-Cap GrowthEtf_Open_max,NuShares ESG Large-Cap GrowthEtf_Open_min,NuShares ESG Large-Cap GrowthEtf_Open_volatility,NuShares ESG Large-Cap GrowthEtf_Open_change,NuShares ESG Large-Cap GrowthEtf_High_average,NuShares ESG Large-Cap GrowthEtf_High_max,NuShares ESG Large-Cap GrowthEtf_High_min,NuShares ESG Large-Cap GrowthEtf_High_volatility,NuShares ESG Large-Cap GrowthEtf_High_change,NuShares ESG Large-Cap GrowthEtf_Low_average,NuShares ESG Large-Cap GrowthEtf_Low_max,NuShares ESG Large-Cap GrowthEtf_Low_min,NuShares ESG Large-Cap GrowthEtf_Low_volatility,NuShares ESG Large-Cap GrowthEtf_Low_change,NuShares ESG Large-Cap GrowthEtf_Close_average,NuShares ESG Large-Cap GrowthEtf_Close_max,NuShares ESG Large-Cap GrowthEtf_Close_min,NuShares ESG Large-Cap GrowthEtf_Close_volatility,NuShares ESG Large-Cap GrowthEtf_Close_change
2018-01-14,33.07,33.07,33.07,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2018-01-21,33.55,33.55,33.55,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-01-28,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-02-04,30.08,30.08,30.08,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.08,30.08,30.08,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2018-02-11,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-02-18,32.7,32.7,32.7,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2018-02-25,32.23,32.23,32.23,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-03-04,33.83,33.83,33.83,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2018-03-11,33.65,33.65,33.65,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2018-03-18,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0
