Date,MITSYStock_Open_average,MITSYStock_Open_max,MITSYStock_Open_min,MITSYStock_Open_volatility,MITSYStock_Open_change,MITSYStock_High_average,MITSYStock_High_max,MITSYStock_High_min,MITSYStock_High_volatility,MITSYStock_High_change,MITSYStock_Low_average,MITSYStock_Low_max,MITSYStock_Low_min,MITSYStock_Low_volatility,MITSYStock_Low_change,MITSYStock_Close_average,MITSYStock_Close_max,MITSYStock_Close_min,MITSYStock_Close_volatility,MITSYStock_Close_change,MITSYStock_Volume_average,MITSYStock_Volume_max,MITSYStock_Volume_min,MITSYStock_Volume_volatility,MITSYStock_Volume_change
2018-01-14,351.8375,355.0,350.0,5.0,-2.660000000000025,352.91499999999996,356.82,350.0,6.819999999999993,-4.480000000000018,350.345,352.94,347.43,5.509999999999991,-1.9399999999999977,351.4875,352.94,348.51,4.430000000000007,-0.9399999999999977,443,579,219,360,155
2018-01-21,353.012,358.0,347.0,11.0,9.319999999999993,355.102,360.72,348.05,12.670000000000016,10.96999999999997,352.47,357.62,347.0,10.620000000000005,9.319999999999993,353.764,359.02,347.52,11.5,10.140000000000043,509,1036,262,774,716
2018-01-28,358.264,366.82,354.42,12.399999999999977,6.819999999999993,361.59,372.49,354.96,17.53000000000003,12.490000000000009,355.792,366.48,351.4,15.080000000000041,10.100000000000023,359.51,370.5,354.38,16.120000000000005,12.509999999999991,2818,7209,593,6616,408
2018-02-04,354.634,362.69,350.93,11.759999999999991,-8.680000000000007,357.504,363.06,352.51,10.550000000000011,-9.050000000000011,345.1,349.96,339.1,10.859999999999957,-7.439999999999998,351.616,358.05,342.67,15.379999999999995,3.259999999999991,1581,4034,646,3388,3224
2018-02-11,352.06,358.26,342.01,16.25,3.2199999999999704,354.992,358.26,347.67,10.589999999999975,1.6100000000000136,349.876,356.08,342.01,14.069999999999993,3.859999999999957,354.596,358.25,346.85,11.399999999999977,2.1399999999999864,633,896,409,487,-111
2018-02-18,363.52750000000003,368.6,360.23,8.370000000000005,3.830000000000041,364.685,368.6,361.0,7.600000000000023,0.6899999999999977,360.0725,365.0,355.81,9.189999999999998,2.4499999999999886,361.78,366.71,355.81,10.899999999999977,0.40999999999996817,828,1748,463,1285,-1271
2018-02-25,364.878,370.82,357.77,13.050000000000011,-13.050000000000011,366.948,373.88,360.83,13.050000000000011,-11.480000000000018,360.832,369.97,350.6,19.370000000000005,-15.840000000000032,363.342,372.94,352.96,19.980000000000018,-12.189999999999998,853,1156,505,651,-24
2018-03-04,357.47,360.0,355.62,4.3799999999999955,0.7800000000000296,359.802,365.21,355.89,9.319999999999993,-4.359999999999957,354.574,360.0,352.33,7.670000000000016,-0.25,357.826,362.15,353.35,8.799999999999955,-5.8700000000000045,1744,5056,463,4593,-503
2018-03-11,355.886,358.68,350.76,7.920000000000016,-6.78000000000003,359.082,364.49,354.68,9.810000000000002,-4.319999999999993,354.226,356.52,350.76,5.759999999999991,-5.759999999999991,355.652,357.88,352.74,5.139999999999986,-5.139999999999986,7842,35299,602,34697,-974
2018-03-18,347.318,350.27,345.48,4.789999999999964,-2.4599999999999795,348.35,351.34,345.68,5.659999999999968,-2.259999999999991,343.29200000000003,346.41,339.8,6.610000000000014,-1.329999999999984,345.078,349.56,339.95,9.610000000000014,-2.8000000000000114,917,1338,426,912,-33
2018-03-25,343.35249999999996,349.39,340.5,8.889999999999986,2.5,345.7675,351.76,341.97,9.789999999999964,5.229999999999961,340.195,344.29,336.21,8.080000000000041,5.720000000000027,345.265,351.76,340.83,10.930000000000007,5.689999999999998,1166,1681,598,1083,-575
2018-04-01,336.644,341.05,333.44,7.610000000000014,-2.7200000000000273,339.02,341.05,336.8,4.25,-2.7200000000000273,332.898,334.52,330.55,3.9699999999999704,0.9200000000000159,336.756,338.95,334.0,4.949999999999989,1.9499999999999886,3534,7890,1057,6833,-1512
2018-04-08,342.598,345.71,334.37,11.339999999999975,10.029999999999973,344.312,348.31,337.27,11.04000000000002,8.600000000000023,340.752,345.23,333.27,11.960000000000036,9.0,342.796,346.75,335.52,11.230000000000018,10.350000000000023,1196,3398,411,2987,-322
2018-04-15,347.806,357.69,341.96,15.730000000000018,14.420000000000016,349.914,357.69,344.61,13.079999999999984,10.819999999999993,346.792,353.56,341.96,11.600000000000023,10.29000000000002,349.002,354.77,344.61,10.159999999999968,8.379999999999995,4632,19588,482,19106,1196
2018-04-22,361.712,366.71,357.8,8.909999999999968,8.909999999999968,361.712,366.71,357.8,8.909999999999968,8.909999999999968,356.984,360.55,354.49,6.060000000000002,6.060000000000002,358.89799999999997,362.95,355.38,7.569999999999993,5.279999999999973,600,795,381,414,-121
2018-04-29,363.414,365.0,361.94,3.0600000000000023,-2.079999999999984,364.572,366.08,363.74,2.339999999999975,1.9499999999999886,360.192,361.92,358.28,3.640000000000043,-1.009999999999991,363.252,365.14,361.5,3.6399999999999864,3.6399999999999864,1143,2969,372,2597,-2597
