Date,ADTNStock_Open_average,ADTNStock_Open_max,ADTNStock_Open_min,ADTNStock_Open_volatility,ADTNStock_Open_change,ADTNStock_High_average,ADTNStock_High_max,ADTNStock_High_min,ADTNStock_High_volatility,ADTNStock_High_change,ADTNStock_Low_average,ADTNStock_Low_max,ADTNStock_Low_min,ADTNStock_Low_volatility,ADTNStock_Low_change,ADTNStock_Close_average,ADTNStock_Close_max,ADTNStock_Close_min,ADTNStock_Close_volatility,ADTNStock_Close_change,ADTNStock_Volume_average,ADTNStock_Volume_max,ADTNStock_Volume_min,ADTNStock_Volume_volatility,ADTNStock_Volume_change
2018-01-14,18.6625,20.45,16.65,3.8000000000000007,-3.8000000000000007,18.875,20.45,16.8,3.6499999999999986,-3.6499999999999986,17.705,19.45,16.25,3.1999999999999993,-3.1999999999999993,17.8575,19.5,16.4,3.1000000000000014,-3.1000000000000014,1240230,2069469,760325,1309144,285877
2018-01-21,16.51,16.9,16.1,0.7999999999999972,-0.25,16.72,17.15,16.35,0.7999999999999972,-0.40000000000000213,16.09,16.6,15.85,0.7500000000000018,-0.10000000000000142,16.41,16.8,16.0,0.8000000000000007,-0.5500000000000007,701099,905623,420867,484756,-484756
2018-01-28,16.13,16.3,16.0,0.3000000000000007,-0.10000000000000142,16.413999999999998,16.5,16.27,0.23000000000000043,0.05000000000000071,16.024,16.2,15.9,0.29999999999999893,0.17999999999999972,16.15,16.3,16.0,0.3000000000000007,0.15000000000000213,677338,1139355,412711,726644,262002
2018-02-04,16.09,16.3,15.7,0.6000000000000014,-0.1999999999999993,16.330000000000002,16.45,16.25,0.1999999999999993,-0.1999999999999993,15.854,16.07,15.65,0.41999999999999993,-0.1999999999999993,16.05,16.25,15.9,0.34999999999999964,0.10000000000000142,840738,1094296,692321,401975,-154943
2018-02-11,16.32,16.45,16.1,0.34999999999999787,0.34999999999999787,16.614,16.7,16.5,0.1999999999999993,0.120000000000001,16.126,16.25,15.93,0.3200000000000003,0.1700000000000017,16.36,16.5,16.25,0.25,-0.10000000000000142,410021,478195,349934,128261,61298
2018-02-18,16.15,16.4,15.8,0.5999999999999979,-0.34999999999999787,16.3425,16.65,15.85,0.7999999999999989,-0.7700000000000014,15.9125,16.25,15.62,0.6300000000000008,-0.4800000000000022,16.0425,16.4,15.7,0.6999999999999993,-0.6999999999999993,719585,1197671,525298,672373,-45883
2018-02-25,15.6,15.8,15.35,0.45000000000000107,-0.40000000000000036,15.82,15.9,15.7,0.20000000000000107,-0.20000000000000107,15.396,15.68,15.25,0.4299999999999997,-0.379999999999999,15.57,15.8,15.35,0.45000000000000107,-0.25,653623,804098,483251,320847,-320847
2018-03-04,15.97,16.3,15.55,0.75,0.75,16.24,16.45,15.95,0.5,0.5,15.884,16.15,15.55,0.5999999999999979,0.5700000000000003,16.09,16.3,15.7,0.6000000000000014,0.6000000000000014,450540,532538,325572,206966,14015
2018-03-11,16.41,16.65,16.3,0.34999999999999787,0.0,16.55,16.9,16.3,0.5999999999999979,-0.1999999999999993,16.14,16.45,15.8,0.6499999999999986,-0.5,16.31,16.65,15.9,0.7499999999999982,-0.5499999999999989,626591,927305,333659,593646,488736
2018-03-18,15.93,16.1,15.75,0.3500000000000014,-0.05000000000000071,16.08,16.15,15.9,0.24999999999999822,-0.24999999999999822,15.67,15.9,15.45,0.45000000000000107,-0.20000000000000107,15.92,16.1,15.65,0.45000000000000107,-0.40000000000000036,478647,606537,284538,321999,59546
2018-03-25,15.525,15.75,15.3,0.4499999999999993,-0.3000000000000007,15.7,15.9,15.5,0.40000000000000036,-0.15000000000000036,15.255,15.4,15.15,0.25,0.15000000000000036,15.4625,15.55,15.35,0.20000000000000107,0.0,473045,662877,290985,371892,78502
2018-04-01,15.18,15.6,14.9,0.6999999999999993,-0.5499999999999989,15.28,15.65,15.1,0.5500000000000007,-0.40000000000000036,14.940000000000001,15.05,14.8,0.25,-0.25,15.1,15.2,14.9,0.29999999999999893,-0.29999999999999893,386620,521875,285122,236753,111371
2018-04-08,15.28,15.5,15.0,0.5,0.5,15.540000000000001,15.8,15.3,0.5,0.29999999999999893,15.17,15.4,14.9,0.5,0.4499999999999993,15.33,15.55,15.1,0.45000000000000107,0.45000000000000107,344110,531599,201620,329979,-69199
2018-04-15,15.08,15.6,14.7,0.9000000000000004,-0.8000000000000007,15.424,16.25,14.85,1.4000000000000004,-0.7699999999999996,14.914,15.57,14.4,1.17,-0.6500000000000004,15.214,16.05,14.7,1.3500000000000014,-0.8500000000000014,832552,1566570,351605,1214965,405326
2018-04-22,14.67,14.75,14.5,0.25,-0.09999999999999964,14.784,14.85,14.75,0.09999999999999964,-0.02999999999999936,14.38,14.5,14.3,0.1999999999999993,-0.09999999999999964,14.59,14.7,14.45,0.25,0.05000000000000071,384475,503250,297033,206217,-145888
2018-04-29,14.72,14.95,14.5,0.4499999999999993,0.25,14.959999999999999,15.15,14.7,0.45000000000000107,0.40000000000000036,14.524,14.7,14.35,0.34999999999999964,0.25,14.81,14.9,14.65,0.25,0.1999999999999993,437388,498900,354179,144721,-116498
2018-05-06,15.14,15.3,14.95,0.3500000000000014,0.3000000000000007,15.4,15.55,15.35,0.20000000000000107,-0.20000000000000107,14.99,15.1,14.85,0.25,0.25,15.200000000000001,15.3,15.05,0.25,0.09999999999999964,339310,531355,208041,323314,-323314
2018-05-13,14.83,15.2,14.65,0.5499999999999989,-0.3999999999999986,14.93,15.25,14.75,0.5,-0.34999999999999964,14.606,14.68,14.55,0.129999999999999,-0.02999999999999936,14.72,14.85,14.55,0.29999999999999893,0.09999999999999964,296222,384363,203489,180874,-180874
2018-05-20,14.969999999999999,15.35,14.7,0.6500000000000004,-0.15000000000000036,15.28,15.9,14.95,0.9500000000000011,-0.34999999999999964,14.77,15.05,14.6,0.45000000000000107,-0.25,15.03,15.45,14.65,0.7999999999999989,-0.3999999999999986,400021,594116,285949,308167,-308167
2018-05-27,14.5125,14.95,14.0,0.9499999999999993,-0.9499999999999993,14.6375,15.05,14.3,0.75,-0.75,14.2125,14.75,13.95,0.8000000000000007,-0.75,14.2875,14.8,13.95,0.8500000000000014,-0.6500000000000004,475490,680027,298498,381529,381529
2018-06-03,14.88,15.2,14.25,0.9499999999999993,0.5500000000000007,15.16,15.55,14.85,0.7000000000000011,-0.3000000000000007,14.674,14.97,14.2,0.7700000000000014,0.45000000000000107,14.959999999999999,15.2,14.7,0.5,-0.40000000000000036,393729,862513,179998,682515,-682515
2018-06-10,14.72,15.1,14.5,0.5999999999999996,0.40000000000000036,15.004,15.57,14.6,0.9700000000000006,0.7699999999999996,14.58,15.05,14.3,0.75,0.75,14.87,15.45,14.5,0.9499999999999993,0.9499999999999993,316077,555925,135289,420636,195364
2018-06-17,15.15,15.45,14.4,1.049999999999999,-1.049999999999999,15.22,15.5,14.5,1.0,-1.0,14.78,15.2,14.1,1.0999999999999996,-1.0999999999999996,14.93,15.5,14.3,1.1999999999999993,-1.1500000000000004,456918,880527,194308,686219,547777
2018-06-24,14.48,14.75,14.25,0.5,0.5,14.71,15.0,14.4,0.5999999999999996,0.5999999999999996,14.374,14.65,14.12,0.5300000000000011,0.5300000000000011,14.6,14.85,14.3,0.5499999999999989,0.5499999999999989,211955,236818,192883,43935,3074
2018-07-01,15.0625,15.4,14.8,0.5999999999999996,0.5999999999999996,15.35,15.7,14.95,0.75,0.75,14.95,15.35,14.55,0.7999999999999989,0.7999999999999989,15.2,15.5,14.95,0.5500000000000007,0.5500000000000007,233585,255067,214570,40497,-15564
2018-07-08,15.38,15.55,15.15,0.40000000000000036,0.0,15.59,15.75,15.45,0.3000000000000007,0.09999999999999964,15.25,15.5,15.05,0.4499999999999993,0.15000000000000036,15.414,15.65,15.1,0.5500000000000007,0.25,203482,248869,166513,82356,-26198
2018-07-15,16.16,16.8,15.65,1.1500000000000004,0.7499999999999982,16.53,17.2,16.05,1.1499999999999986,0.5999999999999979,15.76,16.25,15.55,0.6999999999999993,0.6999999999999993,16.2,16.5,16.0,0.5,0.5,915255,1497033,393670,1103363,-524501
