Date,SPDR S&P InternetEtf_Open_average,SPDR S&P InternetEtf_Open_max,SPDR S&P InternetEtf_Open_min,SPDR S&P InternetEtf_Open_volatility,SPDR S&P InternetEtf_Open_change,SPDR S&P InternetEtf_High_average,SPDR S&P InternetEtf_High_max,SPDR S&P InternetEtf_High_min,SPDR S&P InternetEtf_High_volatility,SPDR S&P InternetEtf_High_change,SPDR S&P InternetEtf_Low_average,SPDR S&P InternetEtf_Low_max,SPDR S&P InternetEtf_Low_min,SPDR S&P InternetEtf_Low_volatility,SPDR S&P InternetEtf_Low_change,SPDR S&P InternetEtf_Close_average,SPDR S&P InternetEtf_Close_max,SPDR S&P InternetEtf_Close_min,SPDR S&P InternetEtf_Close_volatility,SPDR S&P InternetEtf_Close_change
2018-01-14,71.0,71.0,71.0,0.0,0.0,71.47,71.47,71.47,0.0,0.0,71.0,71.0,71.0,0.0,0.0,71.47,71.47,71.47,0.0,0.0
2018-01-21,72.77,72.77,72.77,0.0,0.0,72.77,72.77,72.77,0.0,0.0,72.6,72.6,72.6,0.0,0.0,72.6,72.6,72.6,0.0,0.0
2018-01-28,73.17,73.17,73.17,0.0,0.0,73.17,73.17,73.17,0.0,0.0,71.73,71.73,71.73,0.0,0.0,71.73,71.73,71.73,0.0,0.0
2018-02-04,69.66,69.66,69.66,0.0,0.0,69.66,69.66,69.66,0.0,0.0,68.21,68.21,68.21,0.0,0.0,69.21,69.21,69.21,0.0,0.0
2018-02-11,75.0,75.0,75.0,0.0,0.0,75.0,75.0,75.0,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.8,74.8,74.8,0.0,0.0
2018-02-18,75.82,75.82,75.82,0.0,0.0,75.82,75.82,75.82,0.0,0.0,75.7,75.7,75.7,0.0,0.0,75.82,75.82,75.82,0.0,0.0
2018-02-25,74.11,74.11,74.11,0.0,0.0,76.5,76.5,76.5,0.0,0.0,74.11,74.11,74.11,0.0,0.0,76.5,76.5,76.5,0.0,0.0
2018-03-04,79.79,79.79,79.79,0.0,0.0,79.93,79.93,79.93,0.0,0.0,79.79,79.79,79.79,0.0,0.0,79.93,79.93,79.93,0.0,0.0
2018-03-11,80.59,80.59,80.59,0.0,0.0,80.95,80.95,80.95,0.0,0.0,80.59,80.59,80.59,0.0,0.0,80.95,80.95,80.95,0.0,0.0
2018-03-18,78.75,78.75,78.75,0.0,0.0,78.75,78.75,78.75,0.0,0.0,77.59,77.59,77.59,0.0,0.0,77.59,77.59,77.59,0.0,0.0
