Date,iShares JPMorgan USD EM BondEtf_Open_average,iShares JPMorgan USD EM BondEtf_Open_max,iShares JPMorgan USD EM BondEtf_Open_min,iShares JPMorgan USD EM BondEtf_Open_volatility,iShares JPMorgan USD EM BondEtf_Open_change,iShares JPMorgan USD EM BondEtf_High_average,iShares JPMorgan USD EM BondEtf_High_max,iShares JPMorgan USD EM BondEtf_High_min,iShares JPMorgan USD EM BondEtf_High_volatility,iShares JPMorgan USD EM BondEtf_High_change,iShares JPMorgan USD EM BondEtf_Low_average,iShares JPMorgan USD EM BondEtf_Low_max,iShares JPMorgan USD EM BondEtf_Low_min,iShares JPMorgan USD EM BondEtf_Low_volatility,iShares JPMorgan USD EM BondEtf_Low_change,iShares JPMorgan USD EM BondEtf_Close_average,iShares JPMorgan USD EM BondEtf_Close_max,iShares JPMorgan USD EM BondEtf_Close_min,iShares JPMorgan USD EM BondEtf_Close_volatility,iShares JPMorgan USD EM BondEtf_Close_change
2018-01-14,115.74,115.74,115.74,0.0,0.0,115.77,115.77,115.77,0.0,0.0,115.51,115.51,115.51,0.0,0.0,115.57,115.57,115.57,0.0,0.0
2018-01-21,115.99,115.99,115.99,0.0,0.0,116.04,116.04,116.04,0.0,0.0,115.78,115.78,115.78,0.0,0.0,116.02,116.02,116.02,0.0,0.0
2018-01-28,114.56,114.56,114.56,0.0,0.0,114.57,114.57,114.57,0.0,0.0,114.06,114.06,114.06,0.0,0.0,114.11,114.11,114.11,0.0,0.0
2018-02-04,111.95,111.95,111.95,0.0,0.0,112.15,112.15,112.15,0.0,0.0,111.42,111.42,111.42,0.0,0.0,111.86,111.86,111.86,0.0,0.0
2018-02-11,112.66,112.66,112.66,0.0,0.0,113.02,113.02,113.02,0.0,0.0,112.5,112.5,112.5,0.0,0.0,112.85,112.85,112.85,0.0,0.0
2018-02-18,112.06,112.06,112.06,0.0,0.0,112.81,112.81,112.81,0.0,0.0,112.06,112.06,112.06,0.0,0.0,112.68,112.68,112.68,0.0,0.0
2018-02-25,111.81,111.81,111.81,0.0,0.0,112.23,112.23,112.23,0.0,0.0,111.79,111.79,111.79,0.0,0.0,112.17,112.17,112.17,0.0,0.0
2018-03-04,112.21,112.21,112.21,0.0,0.0,112.37,112.37,112.37,0.0,0.0,112.13,112.13,112.13,0.0,0.0,112.28,112.28,112.28,0.0,0.0
2018-03-11,112.22,112.22,112.22,0.0,0.0,112.31,112.31,112.31,0.0,0.0,112.14,112.14,112.14,0.0,0.0,112.23,112.23,112.23,0.0,0.0
2018-03-18,111.46,111.46,111.46,0.0,0.0,111.68,111.68,111.68,0.0,0.0,111.01,111.01,111.01,0.0,0.0,111.09,111.09,111.09,0.0,0.0
