Date,iShares Global REITEtf_Open_average,iShares Global REITEtf_Open_max,iShares Global REITEtf_Open_min,iShares Global REITEtf_Open_volatility,iShares Global REITEtf_Open_change,iShares Global REITEtf_High_average,iShares Global REITEtf_High_max,iShares Global REITEtf_High_min,iShares Global REITEtf_High_volatility,iShares Global REITEtf_High_change,iShares Global REITEtf_Low_average,iShares Global REITEtf_Low_max,iShares Global REITEtf_Low_min,iShares Global REITEtf_Low_volatility,iShares Global REITEtf_Low_change,iShares Global REITEtf_Close_average,iShares Global REITEtf_Close_max,iShares Global REITEtf_Close_min,iShares Global REITEtf_Close_volatility,iShares Global REITEtf_Close_change
2018-01-14,25.38,25.38,25.38,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2018-01-21,25.86,25.86,25.86,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-01-28,25.06,25.06,25.06,0.0,0.0,25.11,25.11,25.11,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-02-04,23.72,23.72,23.72,0.0,0.0,24.11,24.11,24.11,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2018-02-11,24.42,24.42,24.42,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2018-02-18,24.32,24.32,24.32,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2018-02-25,23.98,23.98,23.98,0.0,0.0,24.14,24.14,24.14,0.0,0.0,23.89,23.89,23.89,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2018-03-04,24.55,24.55,24.55,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2018-03-11,24.66,24.66,24.66,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2018-03-18,24.1,24.1,24.1,0.0,0.0,24.13,24.13,24.13,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.75,23.75,23.75,0.0,0.0
2018-03-25,24.54,24.54,24.54,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-04-01,24.63,24.63,24.63,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2018-04-08,24.39,24.39,24.39,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2018-04-15,24.44,24.44,24.44,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2018-04-22,24.54,24.54,24.54,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2018-04-29,24.82,24.82,24.82,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.82,24.82,24.82,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2018-05-06,25.48,25.48,25.48,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2018-05-13,24.66,24.66,24.66,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.59,24.59,24.59,0.0,0.0
2018-05-20,25.12,25.12,25.12,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-05-27,25.4,25.4,25.4,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-06-03,25.67,25.67,25.67,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2018-06-10,25.56,25.56,25.56,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-06-17,25.49,25.49,25.49,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-06-24,25.66,25.66,25.66,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2018-07-01,26.01,26.01,26.01,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2018-07-08,25.94,25.94,25.94,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-07-15,25.74,25.74,25.74,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2018-07-22,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2018-07-29,25.93,25.93,25.93,0.0,0.0,26.13,26.13,26.13,0.0,0.0,25.9,25.9,25.9,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-08-05,25.86,25.86,25.86,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2018-08-12,26.09,26.09,26.09,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.34,26.34,26.34,0.0,0.0
