Date,BioShares Biotechnology Clinical TrialsEtf_Open_average,BioShares Biotechnology Clinical TrialsEtf_Open_max,BioShares Biotechnology Clinical TrialsEtf_Open_min,BioShares Biotechnology Clinical TrialsEtf_Open_volatility,BioShares Biotechnology Clinical TrialsEtf_Open_change,BioShares Biotechnology Clinical TrialsEtf_High_average,BioShares Biotechnology Clinical TrialsEtf_High_max,BioShares Biotechnology Clinical TrialsEtf_High_min,BioShares Biotechnology Clinical TrialsEtf_High_volatility,BioShares Biotechnology Clinical TrialsEtf_High_change,BioShares Biotechnology Clinical TrialsEtf_Low_average,BioShares Biotechnology Clinical TrialsEtf_Low_max,BioShares Biotechnology Clinical TrialsEtf_Low_min,BioShares Biotechnology Clinical TrialsEtf_Low_volatility,BioShares Biotechnology Clinical TrialsEtf_Low_change,BioShares Biotechnology Clinical TrialsEtf_Close_average,BioShares Biotechnology Clinical TrialsEtf_Close_max,BioShares Biotechnology Clinical TrialsEtf_Close_min,BioShares Biotechnology Clinical TrialsEtf_Close_volatility,BioShares Biotechnology Clinical TrialsEtf_Close_change
2018-01-14,31.04,31.04,31.04,0.0,0.0,31.29,31.29,31.29,0.0,0.0,30.71,30.71,30.71,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-01-21,33.33,33.33,33.33,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-01-28,32.0,32.0,32.0,0.0,0.0,32.41,32.41,32.41,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-02-04,30.76,30.76,30.76,0.0,0.0,31.31,31.31,31.31,0.0,0.0,29.16,29.16,29.16,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-02-11,32.78,32.78,32.78,0.0,0.0,33.59,33.59,33.59,0.0,0.0,32.78,32.78,32.78,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-02-18,33.97,33.97,33.97,0.0,0.0,33.97,33.97,33.97,0.0,0.0,32.59,32.59,32.59,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2018-02-25,32.94,32.94,32.94,0.0,0.0,34.13,34.13,34.13,0.0,0.0,32.15,32.15,32.15,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-03-04,35.51,35.51,35.51,0.0,0.0,35.74,35.74,35.74,0.0,0.0,34.91,34.91,34.91,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2018-03-11,34.09,34.09,34.09,0.0,0.0,34.44,34.44,34.44,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2018-03-18,34.13,34.13,34.13,0.0,0.0,34.23,34.23,34.23,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2018-03-25,31.65,31.65,31.65,0.0,0.0,32.79,32.79,32.79,0.0,0.0,31.6,31.6,31.6,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-04-01,30.01,30.01,30.01,0.0,0.0,30.38,30.38,30.38,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2018-04-08,33.14,33.14,33.14,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.27,32.27,32.27,0.0,0.0
2018-04-15,32.26,32.26,32.26,0.0,0.0,32.26,32.26,32.26,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-04-22,31.63,31.63,31.63,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-04-29,31.25,31.25,31.25,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-05-06,31.79,31.79,31.79,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.64,31.64,31.64,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-05-13,33.59,33.59,33.59,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2018-05-20,33.8,33.8,33.8,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-05-27,35.0,35.0,35.0,0.0,0.0,35.1,35.1,35.1,0.0,0.0,34.75,34.75,34.75,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2018-06-03,34.57,34.57,34.57,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.83,34.83,34.83,0.0,0.0
