Date,Entrepreneur 30 FundEtf_Open_average,Entrepreneur 30 FundEtf_Open_max,Entrepreneur 30 FundEtf_Open_min,Entrepreneur 30 FundEtf_Open_volatility,Entrepreneur 30 FundEtf_Open_change,Entrepreneur 30 FundEtf_High_average,Entrepreneur 30 FundEtf_High_max,Entrepreneur 30 FundEtf_High_min,Entrepreneur 30 FundEtf_High_volatility,Entrepreneur 30 FundEtf_High_change,Entrepreneur 30 FundEtf_Low_average,Entrepreneur 30 FundEtf_Low_max,Entrepreneur 30 FundEtf_Low_min,Entrepreneur 30 FundEtf_Low_volatility,Entrepreneur 30 FundEtf_Low_change,Entrepreneur 30 FundEtf_Close_average,Entrepreneur 30 FundEtf_Close_max,Entrepreneur 30 FundEtf_Close_min,Entrepreneur 30 FundEtf_Close_volatility,Entrepreneur 30 FundEtf_Close_change
2018-01-14,16.38,16.38,16.38,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2018-01-21,17.07,17.07,17.07,0.0,0.0,17.07,17.07,17.07,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2018-01-28,16.78,16.78,16.78,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.57,16.57,16.57,0.0,0.0
2018-02-04,15.3,15.3,15.3,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.59,15.59,15.59,0.0,0.0
2018-02-11,16.49,16.49,16.49,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.46,16.46,16.46,0.0,0.0
2018-02-18,16.47,16.47,16.47,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2018-02-25,16.2,16.2,16.2,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.57,16.57,16.57,0.0,0.0
2018-03-04,17.35,17.35,17.35,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.49,17.49,17.49,0.0,0.0
2018-03-11,17.38,17.38,17.38,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.39,17.39,17.39,0.0,0.0
2018-03-18,16.75,16.75,16.75,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.24,16.24,16.24,0.0,0.0,16.26,16.26,16.26,0.0,0.0
2018-03-25,16.01,16.01,16.01,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.01,16.01,16.01,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2018-04-01,16.07,16.07,16.07,0.0,0.0,16.07,16.07,16.07,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.91,15.91,15.91,0.0,0.0
2018-04-08,16.4,16.4,16.4,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2018-04-15,16.84,16.84,16.84,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.73,16.73,16.73,0.0,0.0
2018-04-22,16.6,16.6,16.6,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.62,16.62,16.62,0.0,0.0
