Date,Direxion Daily Small Cap Bear 3X SharesEtf_Open_average,Direxion Daily Small Cap Bear 3X SharesEtf_Open_max,Direxion Daily Small Cap Bear 3X SharesEtf_Open_min,Direxion Daily Small Cap Bear 3X SharesEtf_Open_volatility,Direxion Daily Small Cap Bear 3X SharesEtf_Open_change,Direxion Daily Small Cap Bear 3X SharesEtf_High_average,Direxion Daily Small Cap Bear 3X SharesEtf_High_max,Direxion Daily Small Cap Bear 3X SharesEtf_High_min,Direxion Daily Small Cap Bear 3X SharesEtf_High_volatility,Direxion Daily Small Cap Bear 3X SharesEtf_High_change,Direxion Daily Small Cap Bear 3X SharesEtf_Low_average,Direxion Daily Small Cap Bear 3X SharesEtf_Low_max,Direxion Daily Small Cap Bear 3X SharesEtf_Low_min,Direxion Daily Small Cap Bear 3X SharesEtf_Low_volatility,Direxion Daily Small Cap Bear 3X SharesEtf_Low_change,Direxion Daily Small Cap Bear 3X SharesEtf_Close_average,Direxion Daily Small Cap Bear 3X SharesEtf_Close_max,Direxion Daily Small Cap Bear 3X SharesEtf_Close_min,Direxion Daily Small Cap Bear 3X SharesEtf_Close_volatility,Direxion Daily Small Cap Bear 3X SharesEtf_Close_change
2018-01-14,56.4,56.4,56.4,0.0,0.0,56.55,56.55,56.55,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2018-01-21,53.45,53.45,53.45,0.0,0.0,54.2,54.2,54.2,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.25,53.25,53.25,0.0,0.0
2018-01-28,57.05,57.05,57.05,0.0,0.0,59.74,59.74,59.74,0.0,0.0,56.95,56.95,56.95,0.0,0.0,59.35,59.35,59.35,0.0,0.0
2018-02-04,67.55,67.55,67.55,0.0,0.0,73.6,73.6,73.6,0.0,0.0,65.85,65.85,65.85,0.0,0.0,67.5,67.5,67.5,0.0,0.0
2018-02-11,60.05,60.05,60.05,0.0,0.0,60.05,60.05,60.05,0.0,0.0,58.0,58.0,58.0,0.0,0.0,59.2,59.2,59.2,0.0,0.0
2018-02-18,59.55,59.55,59.55,0.0,0.0,60.5,60.5,60.5,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.4,58.4,58.4,0.0,0.0
2018-02-25,64.65,64.65,64.65,0.0,0.0,64.95,64.95,64.95,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-03-04,54.45,54.45,54.45,0.0,0.0,54.9,54.9,54.9,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2018-03-11,54.8,54.8,54.8,0.0,0.0,54.95,54.95,54.95,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.95,53.95,53.95,0.0,0.0
2018-03-18,57.7,57.7,57.7,0.0,0.0,61.8,61.8,61.8,0.0,0.0,57.15,57.15,57.15,0.0,0.0,61.8,61.8,61.8,0.0,0.0
2018-03-25,60.15,60.15,60.15,0.0,0.0,60.65,60.65,60.65,0.0,0.0,57.8,57.8,57.8,0.0,0.0,59.25,59.25,59.25,0.0,0.0
2018-04-01,58.5,58.5,58.5,0.0,0.0,62.03,62.03,62.03,0.0,0.0,57.3,57.3,57.3,0.0,0.0,60.6,60.6,60.6,0.0,0.0
2018-04-08,55.0,55.0,55.0,0.0,0.0,56.9,56.9,56.9,0.0,0.0,55.0,55.0,55.0,0.0,0.0,56.35,56.35,56.35,0.0,0.0
2018-04-15,54.15,54.15,54.15,0.0,0.0,55.09,55.09,55.09,0.0,0.0,53.5,53.5,53.5,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-04-22,55.45,55.45,55.45,0.0,0.0,56.6,56.6,56.6,0.0,0.0,54.9,54.9,54.9,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2018-04-29,57.2,57.2,57.2,0.0,0.0,57.7,57.7,57.7,0.0,0.0,53.7,53.7,53.7,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2018-05-06,50.75,50.75,50.75,0.0,0.0,51.25,51.25,51.25,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2018-05-13,48.55,48.55,48.55,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2018-05-20,48.7,48.7,48.7,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2018-05-27,46.85,46.85,46.85,0.0,0.0,47.29,47.29,47.29,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2018-06-03,45.0,45.0,45.0,0.0,0.0,45.25,45.25,45.25,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-06-10,44.15,44.15,44.15,0.0,0.0,44.65,44.65,44.65,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2018-06-17,42.7,42.7,42.7,0.0,0.0,44.0,44.0,44.0,0.0,0.0,42.63,42.63,42.63,0.0,0.0,43.65,43.65,43.65,0.0,0.0
2018-06-24,46.25,46.25,46.25,0.0,0.0,46.9,46.9,46.9,0.0,0.0,45.7,45.7,45.7,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2018-07-01,43.75,43.75,43.75,0.0,0.0,44.05,44.05,44.05,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.7,42.7,42.7,0.0,0.0
2018-07-08,43.0,43.0,43.0,0.0,0.0,43.34,43.34,43.34,0.0,0.0,42.35,42.35,42.35,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2018-07-15,42.3,42.3,42.3,0.0,0.0,42.65,42.65,42.65,0.0,0.0,41.96,41.96,41.96,0.0,0.0,42.5,42.5,42.5,0.0,0.0
2018-07-22,42.55,42.55,42.55,0.0,0.0,45.35,45.35,45.35,0.0,0.0,42.4,42.4,42.4,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2018-07-29,43.45,43.45,43.45,0.0,0.0,44.7,44.7,44.7,0.0,0.0,43.1,43.1,43.1,0.0,0.0,44.2,44.2,44.2,0.0,0.0
