Date,ProShares UltraShort Bloomberg Natural GasEtf_Open_average,ProShares UltraShort Bloomberg Natural GasEtf_Open_max,ProShares UltraShort Bloomberg Natural GasEtf_Open_min,ProShares UltraShort Bloomberg Natural GasEtf_Open_volatility,ProShares UltraShort Bloomberg Natural GasEtf_Open_change,ProShares UltraShort Bloomberg Natural GasEtf_High_average,ProShares UltraShort Bloomberg Natural GasEtf_High_max,ProShares UltraShort Bloomberg Natural GasEtf_High_min,ProShares UltraShort Bloomberg Natural GasEtf_High_volatility,ProShares UltraShort Bloomberg Natural GasEtf_High_change,ProShares UltraShort Bloomberg Natural GasEtf_Low_average,ProShares UltraShort Bloomberg Natural GasEtf_Low_max,ProShares UltraShort Bloomberg Natural GasEtf_Low_min,ProShares UltraShort Bloomberg Natural GasEtf_Low_volatility,ProShares UltraShort Bloomberg Natural GasEtf_Low_change,ProShares UltraShort Bloomberg Natural GasEtf_Close_average,ProShares UltraShort Bloomberg Natural GasEtf_Close_max,ProShares UltraShort Bloomberg Natural GasEtf_Close_min,ProShares UltraShort Bloomberg Natural GasEtf_Close_volatility,ProShares UltraShort Bloomberg Natural GasEtf_Close_change
2018-01-14,37.2,37.2,37.2,0.0,0.0,38.01,38.01,38.01,0.0,0.0,36.37,36.37,36.37,0.0,0.0,37.68,37.68,37.68,0.0,0.0
2018-01-21,32.4,32.4,32.4,0.0,0.0,32.48,32.48,32.48,0.0,0.0,31.71,31.71,31.71,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-01-28,39.01,39.01,39.01,0.0,0.0,39.44,39.44,39.44,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2018-02-04,45.3,45.3,45.3,0.0,0.0,46.91,46.91,46.91,0.0,0.0,45.3,45.3,45.3,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2018-02-11,46.6,46.6,46.6,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2018-02-18,44.99,44.99,44.99,0.0,0.0,45.49,45.49,45.49,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2018-02-25,43.09,43.09,43.09,0.0,0.0,43.36,43.36,43.36,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.92,42.92,42.92,0.0,0.0
2018-03-04,42.22,42.22,42.22,0.0,0.0,42.44,42.44,42.44,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.42,42.42,42.42,0.0,0.0
2018-03-11,44.0,44.0,44.0,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2018-03-18,46.58,46.58,46.58,0.0,0.0,46.58,46.58,46.58,0.0,0.0,45.59,45.59,45.59,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2018-03-25,41.95,41.95,41.95,0.0,0.0,42.98,42.98,42.98,0.0,0.0,41.89,41.89,41.89,0.0,0.0,42.83,42.83,42.83,0.0,0.0
2018-04-01,43.74,43.74,43.74,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.81,43.81,43.81,0.0,0.0
2018-04-08,43.15,43.15,43.15,0.0,0.0,43.3,43.3,43.3,0.0,0.0,42.5,42.5,42.5,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2018-04-15,44.35,44.35,44.35,0.0,0.0,44.35,44.35,44.35,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2018-04-22,42.23,42.23,42.23,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2018-04-29,44.36,44.36,44.36,0.0,0.0,45.08,45.08,45.08,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2018-05-06,42.4,42.4,42.4,0.0,0.0,42.68,42.68,42.68,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2018-05-13,40.61,40.61,40.61,0.0,0.0,40.83,40.83,40.83,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2018-05-20,37.44,37.44,37.44,0.0,0.0,38.67,38.67,38.67,0.0,0.0,37.38,37.38,37.38,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-05-27,38.27,38.27,38.27,0.0,0.0,38.71,38.71,38.71,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2018-06-03,40.0,40.0,40.0,0.0,0.0,40.2,40.2,40.2,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.58,39.58,39.58,0.0,0.0
2018-06-10,37.07,37.07,37.07,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-06-17,38.4,38.4,38.4,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.13,38.13,38.13,0.0,0.0
2018-06-24,38.43,38.43,38.43,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2018-07-01,41.11,41.11,41.11,0.0,0.0,41.13,41.13,41.13,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.6,40.6,40.6,0.0,0.0
2018-07-08,42.8,42.8,42.8,0.0,0.0,43.56,43.56,43.56,0.0,0.0,42.8,42.8,42.8,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2018-07-15,42.94,42.94,42.94,0.0,0.0,43.4,43.4,43.4,0.0,0.0,42.82,42.82,42.82,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-07-22,41.69,41.69,41.69,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.65,41.65,41.65,0.0,0.0
2018-07-29,39.82,39.82,39.82,0.0,0.0,40.08,40.08,40.08,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.74,39.74,39.74,0.0,0.0
2018-08-05,37.59,37.59,37.59,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.08,37.08,37.08,0.0,0.0
2018-08-12,36.88,36.88,36.88,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-08-19,37.48,37.48,37.48,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.48,37.48,37.48,0.0,0.0,38.04,38.04,38.04,0.0,0.0
2018-08-26,37.83,37.83,37.83,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2018-09-02,42.3,42.3,42.3,0.0,0.0,42.32,42.32,42.32,0.0,0.0,41.9,41.9,41.9,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2018-09-09,42.58,42.58,42.58,0.0,0.0,43.25,43.25,43.25,0.0,0.0,42.58,42.58,42.58,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2018-09-16,36.92,36.92,36.92,0.0,0.0,37.02,37.02,37.02,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.57,36.57,36.57,0.0,0.0
2018-09-23,35.7,35.7,35.7,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2018-09-30,31.2,31.2,31.2,0.0,0.0,33.03,33.03,33.03,0.0,0.0,31.17,31.17,31.17,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-10-07,30.34,30.34,30.34,0.0,0.0,31.38,31.38,31.38,0.0,0.0,30.34,30.34,30.34,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-10-14,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-10-21,31.77,31.77,31.77,0.0,0.0,32.2,32.2,32.2,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2018-10-28,32.07,32.07,32.07,0.0,0.0,32.12,32.12,32.12,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2018-11-04,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0,22.12,22.12,22.12,0.0,0.0,23.49,23.49,23.49,0.0,0.0
2018-11-11,14.97,14.97,14.97,0.0,0.0,15.24,15.24,15.24,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.31,13.31,13.31,0.0,0.0
2018-11-18,12.53,12.53,12.53,0.0,0.0,12.53,12.53,12.53,0.0,0.0,11.62,11.62,11.62,0.0,0.0,12.14,12.14,12.14,0.0,0.0
2018-11-25,11.25,11.25,11.25,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.01,11.01,11.01,0.0,0.0,11.19,11.19,11.19,0.0,0.0
2018-12-02,12.13,12.13,12.13,0.0,0.0,12.16,12.16,12.16,0.0,0.0,11.15,11.15,11.15,0.0,0.0,11.54,11.54,11.54,0.0,0.0
2018-12-09,14.41,14.41,14.41,0.0,0.0,15.27,15.27,15.27,0.0,0.0,14.3,14.3,14.3,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2018-12-16,15.7,15.7,15.7,0.0,0.0,16.11,16.11,16.11,0.0,0.0,14.62,14.62,14.62,0.0,0.0,15.55,15.55,15.55,0.0,0.0
2018-12-23,17.72,17.72,17.72,0.0,0.0,18.33,18.33,18.33,0.0,0.0,17.22,17.22,17.22,0.0,0.0,18.08,18.08,18.08,0.0,0.0
2018-12-30,21.4,21.4,21.4,0.0,0.0,22.3,22.3,22.3,0.0,0.0,20.69,20.69,20.69,0.0,0.0,21.02,21.02,21.02,0.0,0.0
2019-01-06,20.96,20.96,20.96,0.0,0.0,21.16,21.16,21.16,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.64,19.64,19.64,0.0,0.0
2019-01-13,17.42,17.42,17.42,0.0,0.0,17.42,17.42,17.42,0.0,0.0,15.68,15.68,15.68,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2019-01-20,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0,16.86,16.86,16.86,0.0,0.0,17.09,17.09,17.09,0.0,0.0
2019-01-27,20.46,20.46,20.46,0.0,0.0,21.21,21.21,21.21,0.0,0.0,20.19,20.19,20.19,0.0,0.0,21.11,21.11,21.11,0.0,0.0
2019-02-03,23.58,23.58,23.58,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.1,23.1,23.1,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2019-02-10,22.96,22.96,22.96,0.0,0.0,23.42,23.42,23.42,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.62,22.62,22.62,0.0,0.0
2019-02-17,21.8,21.8,21.8,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.56,21.56,21.56,0.0,0.0
2019-02-24,19.68,19.68,19.68,0.0,0.0,20.09,20.09,20.09,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.92,19.92,19.92,0.0,0.0
2019-03-03,19.58,19.58,19.58,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.71,19.71,19.71,0.0,0.0
2019-03-10,20.16,20.16,20.16,0.0,0.0,20.56,20.56,20.56,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.53,20.53,20.53,0.0,0.0
2019-03-17,20.81,20.81,20.81,0.0,0.0,21.05,21.05,21.05,0.0,0.0,20.79,20.79,20.79,0.0,0.0,20.86,20.86,20.86,0.0,0.0
2019-03-24,22.26,22.26,22.26,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.51,22.51,22.51,0.0,0.0
2019-03-31,22.78,22.78,22.78,0.0,0.0,22.81,22.81,22.81,0.0,0.0,22.46,22.46,22.46,0.0,0.0,22.46,22.46,22.46,0.0,0.0
2019-04-07,22.3,22.3,22.3,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.26,22.26,22.26,0.0,0.0,22.62,22.62,22.62,0.0,0.0
2019-04-14,25.16,25.16,25.16,0.0,0.0,25.53,25.53,25.53,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2019-04-21,24.74,24.74,24.74,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2019-04-28,25.18,25.18,25.18,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2019-05-05,24.73,24.73,24.73,0.0,0.0,24.73,24.73,24.73,0.0,0.0,23.67,23.67,23.67,0.0,0.0,24.1,24.1,24.1,0.0,0.0
