Date,iShares Global Clean EnergyEtf_Open_average,iShares Global Clean EnergyEtf_Open_max,iShares Global Clean EnergyEtf_Open_min,iShares Global Clean EnergyEtf_Open_volatility,iShares Global Clean EnergyEtf_Open_change,iShares Global Clean EnergyEtf_High_average,iShares Global Clean EnergyEtf_High_max,iShares Global Clean EnergyEtf_High_min,iShares Global Clean EnergyEtf_High_volatility,iShares Global Clean EnergyEtf_High_change,iShares Global Clean EnergyEtf_Low_average,iShares Global Clean EnergyEtf_Low_max,iShares Global Clean EnergyEtf_Low_min,iShares Global Clean EnergyEtf_Low_volatility,iShares Global Clean EnergyEtf_Low_change,iShares Global Clean EnergyEtf_Close_average,iShares Global Clean EnergyEtf_Close_max,iShares Global Clean EnergyEtf_Close_min,iShares Global Clean EnergyEtf_Close_volatility,iShares Global Clean EnergyEtf_Close_change
2018-01-14,9.65,9.65,9.65,0.0,0.0,9.65,9.65,9.65,0.0,0.0,9.59,9.59,9.59,0.0,0.0,9.63,9.63,9.63,0.0,0.0
2018-01-21,9.57,9.57,9.57,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.52,9.52,9.52,0.0,0.0,9.59,9.59,9.59,0.0,0.0
2018-01-28,9.43,9.43,9.43,0.0,0.0,9.43,9.43,9.43,0.0,0.0,9.31,9.31,9.31,0.0,0.0,9.31,9.31,9.31,0.0,0.0
2018-02-04,8.87,8.87,8.87,0.0,0.0,8.9,8.9,8.9,0.0,0.0,8.65,8.65,8.65,0.0,0.0,8.85,8.85,8.85,0.0,0.0
2018-02-11,9.48,9.48,9.48,0.0,0.0,9.53,9.53,9.53,0.0,0.0,9.43,9.43,9.43,0.0,0.0,9.49,9.49,9.49,0.0,0.0
2018-02-18,9.54,9.54,9.54,0.0,0.0,9.54,9.54,9.54,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.46,9.46,9.46,0.0,0.0
2018-02-25,9.21,9.21,9.21,0.0,0.0,9.36,9.36,9.36,0.0,0.0,9.18,9.18,9.18,0.0,0.0,9.36,9.36,9.36,0.0,0.0
2018-03-04,9.54,9.54,9.54,0.0,0.0,9.55,9.55,9.55,0.0,0.0,9.49,9.49,9.49,0.0,0.0,9.54,9.54,9.54,0.0,0.0
2018-03-11,9.55,9.55,9.55,0.0,0.0,9.58,9.58,9.58,0.0,0.0,9.5,9.5,9.5,0.0,0.0,9.53,9.53,9.53,0.0,0.0
2018-03-18,9.51,9.51,9.51,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.39,9.39,9.39,0.0,0.0,9.39,9.39,9.39,0.0,0.0
2018-03-25,9.48,9.48,9.48,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.41,9.41,9.41,0.0,0.0,9.52,9.52,9.52,0.0,0.0
2018-04-01,9.71,9.71,9.71,0.0,0.0,9.78,9.78,9.78,0.0,0.0,9.61,9.61,9.61,0.0,0.0,9.62,9.62,9.62,0.0,0.0
2018-04-08,9.8,9.8,9.8,0.0,0.0,9.81,9.81,9.81,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.74,9.74,9.74,0.0,0.0
2018-04-15,9.85,9.85,9.85,0.0,0.0,9.85,9.85,9.85,0.0,0.0,9.75,9.75,9.75,0.0,0.0,9.79,9.79,9.79,0.0,0.0
2018-04-22,9.89,9.89,9.89,0.0,0.0,9.92,9.92,9.92,0.0,0.0,9.87,9.87,9.87,0.0,0.0,9.9,9.9,9.9,0.0,0.0
2018-04-29,9.78,9.78,9.78,0.0,0.0,9.85,9.85,9.85,0.0,0.0,9.74,9.74,9.74,0.0,0.0,9.81,9.81,9.81,0.0,0.0
2018-05-06,10.02,10.02,10.02,0.0,0.0,10.05,10.05,10.05,0.0,0.0,9.93,9.93,9.93,0.0,0.0,9.93,9.93,9.93,0.0,0.0
2018-05-13,9.91,9.91,9.91,0.0,0.0,9.91,9.91,9.91,0.0,0.0,9.86,9.86,9.86,0.0,0.0,9.87,9.87,9.87,0.0,0.0
2018-05-20,9.92,9.92,9.92,0.0,0.0,9.92,9.92,9.92,0.0,0.0,9.67,9.67,9.67,0.0,0.0,9.74,9.74,9.74,0.0,0.0
2018-05-27,9.76,9.76,9.76,0.0,0.0,9.77,9.77,9.77,0.0,0.0,9.66,9.66,9.66,0.0,0.0,9.66,9.66,9.66,0.0,0.0
2018-06-03,9.13,9.13,9.13,0.0,0.0,9.27,9.27,9.27,0.0,0.0,9.11,9.11,9.11,0.0,0.0,9.27,9.27,9.27,0.0,0.0
2018-06-10,9.18,9.18,9.18,0.0,0.0,9.19,9.19,9.19,0.0,0.0,9.1,9.1,9.1,0.0,0.0,9.16,9.16,9.16,0.0,0.0
