Date,PowerShares Global Listed Private EquityEtf_Open_average,PowerShares Global Listed Private EquityEtf_Open_max,PowerShares Global Listed Private EquityEtf_Open_min,PowerShares Global Listed Private EquityEtf_Open_volatility,PowerShares Global Listed Private EquityEtf_Open_change,PowerShares Global Listed Private EquityEtf_High_average,PowerShares Global Listed Private EquityEtf_High_max,PowerShares Global Listed Private EquityEtf_High_min,PowerShares Global Listed Private EquityEtf_High_volatility,PowerShares Global Listed Private EquityEtf_High_change,PowerShares Global Listed Private EquityEtf_Low_average,PowerShares Global Listed Private EquityEtf_Low_max,PowerShares Global Listed Private EquityEtf_Low_min,PowerShares Global Listed Private EquityEtf_Low_volatility,PowerShares Global Listed Private EquityEtf_Low_change,PowerShares Global Listed Private EquityEtf_Close_average,PowerShares Global Listed Private EquityEtf_Close_max,PowerShares Global Listed Private EquityEtf_Close_min,PowerShares Global Listed Private EquityEtf_Close_volatility,PowerShares Global Listed Private EquityEtf_Close_change
2018-07-22,12.49,12.49,12.49,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2018-07-29,12.33,12.33,12.33,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.4,12.4,12.4,0.0,0.0
2018-08-05,12.41,12.41,12.41,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.4,12.4,12.4,0.0,0.0
2018-08-12,12.25,12.25,12.25,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.32,12.32,12.32,0.0,0.0
2018-08-19,12.58,12.58,12.58,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.63,12.63,12.63,0.0,0.0
2018-08-26,12.54,12.54,12.54,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.55,12.55,12.55,0.0,0.0
2018-09-02,12.25,12.25,12.25,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.25,12.25,12.25,0.0,0.0
2018-09-09,12.64,12.64,12.64,0.0,0.0,12.68,12.68,12.68,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.64,12.64,12.64,0.0,0.0
2018-09-16,12.83,12.83,12.83,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2018-09-23,12.35,12.35,12.35,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2018-09-30,12.06,12.06,12.06,0.0,0.0,12.09,12.09,12.09,0.0,0.0,11.93,11.93,11.93,0.0,0.0,12.0,12.0,12.0,0.0,0.0
2018-10-07,11.47,11.47,11.47,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.31,11.31,11.31,0.0,0.0,11.38,11.38,11.38,0.0,0.0
2018-10-14,11.3,11.3,11.3,0.0,0.0,11.34,11.34,11.34,0.0,0.0,11.22,11.22,11.22,0.0,0.0,11.22,11.22,11.22,0.0,0.0
2018-10-21,10.78,10.78,10.78,0.0,0.0,10.9,10.9,10.9,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.83,10.83,10.83,0.0,0.0
2018-10-28,11.43,11.43,11.43,0.0,0.0,11.48,11.48,11.48,0.0,0.0,11.23,11.23,11.23,0.0,0.0,11.26,11.26,11.26,0.0,0.0
2018-11-04,11.23,11.23,11.23,0.0,0.0,11.24,11.24,11.24,0.0,0.0,11.15,11.15,11.15,0.0,0.0,11.2,11.2,11.2,0.0,0.0
2018-11-11,10.93,10.93,10.93,0.0,0.0,10.98,10.98,10.98,0.0,0.0,10.9,10.9,10.9,0.0,0.0,10.96,10.96,10.96,0.0,0.0
2018-11-18,10.73,10.73,10.73,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.85,10.85,10.85,0.0,0.0
2018-11-25,10.95,10.95,10.95,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.93,10.93,10.93,0.0,0.0
2018-12-02,10.68,10.68,10.68,0.0,0.0,10.68,10.68,10.68,0.0,0.0,10.46,10.46,10.46,0.0,0.0,10.48,10.48,10.48,0.0,0.0
2018-12-09,10.37,10.37,10.37,0.0,0.0,10.37,10.37,10.37,0.0,0.0,10.26,10.26,10.26,0.0,0.0,10.29,10.29,10.29,0.0,0.0
2018-12-16,9.87,9.87,9.87,0.0,0.0,9.97,9.97,9.97,0.0,0.0,9.78,9.78,9.78,0.0,0.0,9.79,9.79,9.79,0.0,0.0
2018-12-23,10.12,10.12,10.12,0.0,0.0,10.13,10.13,10.13,0.0,0.0,9.99,9.99,9.99,0.0,0.0,10.06,10.06,10.06,0.0,0.0
2018-12-30,9.97,9.97,9.97,0.0,0.0,10.27,10.27,10.27,0.0,0.0,9.97,9.97,9.97,0.0,0.0,10.23,10.23,10.23,0.0,0.0
2019-01-06,10.61,10.61,10.61,0.0,0.0,10.66,10.66,10.66,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.64,10.64,10.64,0.0,0.0
2019-01-13,10.85,10.85,10.85,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.82,10.82,10.82,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2019-01-20,10.86,10.86,10.86,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.91,10.91,10.91,0.0,0.0
2019-01-27,11.07,11.07,11.07,0.0,0.0,11.14,11.14,11.14,0.0,0.0,11.05,11.05,11.05,0.0,0.0,11.14,11.14,11.14,0.0,0.0
2019-02-03,11.04,11.04,11.04,0.0,0.0,11.11,11.11,11.11,0.0,0.0,10.99,10.99,10.99,0.0,0.0,11.11,11.11,11.11,0.0,0.0
2019-02-10,11.21,11.21,11.21,0.0,0.0,11.28,11.28,11.28,0.0,0.0,11.19,11.19,11.19,0.0,0.0,11.27,11.27,11.27,0.0,0.0
2019-02-17,11.4,11.4,11.4,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.36,11.36,11.36,0.0,0.0,11.4,11.4,11.4,0.0,0.0
2019-02-24,11.5,11.5,11.5,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.45,11.45,11.45,0.0,0.0
2019-03-03,11.12,11.12,11.12,0.0,0.0,11.15,11.15,11.15,0.0,0.0,11.1,11.1,11.1,0.0,0.0,11.15,11.15,11.15,0.0,0.0
2019-03-10,11.44,11.44,11.44,0.0,0.0,11.51,11.51,11.51,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.51,11.51,11.51,0.0,0.0
2019-03-17,11.49,11.49,11.49,0.0,0.0,11.55,11.55,11.55,0.0,0.0,11.31,11.31,11.31,0.0,0.0,11.4,11.4,11.4,0.0,0.0
2019-03-24,11.44,11.44,11.44,0.0,0.0,11.49,11.49,11.49,0.0,0.0,11.39,11.39,11.39,0.0,0.0,11.45,11.45,11.45,0.0,0.0
2019-03-31,11.68,11.68,11.68,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.68,11.68,11.68,0.0,0.0,11.73,11.73,11.73,0.0,0.0
2019-04-07,11.81,11.81,11.81,0.0,0.0,11.83,11.83,11.83,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.81,11.81,11.81,0.0,0.0
2019-04-14,11.87,11.87,11.87,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.97,11.97,11.97,0.0,0.0
2019-04-21,11.96,11.96,11.96,0.0,0.0,12.1,12.1,12.1,0.0,0.0,11.96,11.96,11.96,0.0,0.0,12.05,12.05,12.05,0.0,0.0
2019-04-28,12.07,12.07,12.07,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.04,12.04,12.04,0.0,0.0,12.2,12.2,12.2,0.0,0.0
2019-05-05,11.91,11.91,11.91,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.84,11.84,11.84,0.0,0.0,11.97,11.97,11.97,0.0,0.0
2019-05-12,11.86,11.86,11.86,0.0,0.0,11.95,11.95,11.95,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.89,11.89,11.89,0.0,0.0
2019-05-19,11.71,11.71,11.71,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.67,11.67,11.67,0.0,0.0,11.69,11.69,11.69,0.0,0.0
2019-05-26,11.49,11.49,11.49,0.0,0.0,11.49,11.49,11.49,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.45,11.45,11.45,0.0,0.0
2019-06-02,11.71,11.71,11.71,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.71,11.71,11.71,0.0,0.0,11.78,11.78,11.78,0.0,0.0
2019-06-09,11.8,11.8,11.8,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.77,11.77,11.77,0.0,0.0,11.8,11.8,11.8,0.0,0.0
2019-06-16,12.04,12.04,12.04,0.0,0.0,12.08,12.08,12.08,0.0,0.0,12.0,12.0,12.0,0.0,0.0,12.04,12.04,12.04,0.0,0.0
2019-06-23,11.89,11.89,11.89,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.94,11.94,11.94,0.0,0.0
2019-06-30,12.05,12.05,12.05,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.03,12.03,12.03,0.0,0.0,12.11,12.11,12.11,0.0,0.0
2019-07-07,12.06,12.06,12.06,0.0,0.0,12.1,12.1,12.1,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.08,12.08,12.08,0.0,0.0
2019-07-14,11.99,11.99,11.99,0.0,0.0,12.03,12.03,12.03,0.0,0.0,11.95,11.95,11.95,0.0,0.0,11.95,11.95,11.95,0.0,0.0
2019-07-21,12.16,12.16,12.16,0.0,0.0,12.19,12.19,12.19,0.0,0.0,12.14,12.14,12.14,0.0,0.0,12.17,12.17,12.17,0.0,0.0
2019-07-28,11.72,11.72,11.72,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.65,11.65,11.65,0.0,0.0,11.69,11.69,11.69,0.0,0.0
2019-08-04,11.72,11.72,11.72,0.0,0.0,11.72,11.72,11.72,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.66,11.66,11.66,0.0,0.0
2019-08-11,11.37,11.37,11.37,0.0,0.0,11.48,11.48,11.48,0.0,0.0,11.3,11.3,11.3,0.0,0.0,11.48,11.48,11.48,0.0,0.0
2019-08-18,11.69,11.69,11.69,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.56,11.56,11.56,0.0,0.0,11.56,11.56,11.56,0.0,0.0
2019-08-25,11.81,11.81,11.81,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.74,11.74,11.74,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2019-09-01,12.16,12.16,12.16,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.16,12.16,12.16,0.0,0.0,12.16,12.16,12.16,0.0,0.0
2019-09-08,12.33,12.33,12.33,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.34,12.34,12.34,0.0,0.0
2019-09-15,12.3,12.3,12.3,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2019-09-22,11.99,11.99,11.99,0.0,0.0,11.99,11.99,11.99,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.85,11.85,11.85,0.0,0.0
2019-09-29,11.46,11.46,11.46,0.0,0.0,11.56,11.56,11.56,0.0,0.0,11.46,11.46,11.46,0.0,0.0,11.56,11.56,11.56,0.0,0.0
2019-10-06,11.77,11.77,11.77,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2019-10-13,11.99,11.99,11.99,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.88,11.88,11.88,0.0,0.0,11.93,11.93,11.93,0.0,0.0
2019-10-20,12.03,12.03,12.03,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.01,12.01,12.01,0.0,0.0,12.05,12.05,12.05,0.0,0.0
2019-10-27,12.25,12.25,12.25,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.27,12.27,12.27,0.0,0.0
2019-11-03,12.21,12.21,12.21,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.24,12.24,12.24,0.0,0.0
2019-11-10,12.32,12.32,12.32,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.35,12.35,12.35,0.0,0.0
2019-11-17,12.36,12.36,12.36,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.34,12.34,12.34,0.0,0.0
2019-11-24,12.53,12.53,12.53,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.53,12.53,12.53,0.0,0.0,12.54,12.54,12.54,0.0,0.0
