Date,MOSYStock_Open_average,MOSYStock_Open_max,MOSYStock_Open_min,MOSYStock_Open_volatility,MOSYStock_Open_change,MOSYStock_High_average,MOSYStock_High_max,MOSYStock_High_min,MOSYStock_High_volatility,MOSYStock_High_change,MOSYStock_Low_average,MOSYStock_Low_max,MOSYStock_Low_min,MOSYStock_Low_volatility,MOSYStock_Low_change,MOSYStock_Close_average,MOSYStock_Close_max,MOSYStock_Close_min,MOSYStock_Close_volatility,MOSYStock_Close_change,MOSYStock_Volume_average,MOSYStock_Volume_max,MOSYStock_Volume_min,MOSYStock_Volume_volatility,MOSYStock_Volume_change
2018-01-14,29.1,30.4,26.8,3.599999999999998,3.0,31.45,34.6,30.0,4.600000000000001,0.0,27.9765,29.0,26.506,2.4939999999999998,1.8939999999999984,29.6725,30.8,29.2,1.6000000000000014,0.28999999999999915,59082,145341,8213,137128,-50135
2018-01-21,28.28,30.0,26.8,3.1999999999999993,-2.8000000000000007,28.54,30.0,27.2,2.8000000000000007,-2.8000000000000007,26.72,29.0,25.2,3.8000000000000007,-3.6000000000000014,27.84,29.4,27.0,2.3999999999999986,-2.3999999999999986,8773,11567,4484,7083,-2176
2018-01-28,24.84,26.8,23.2,3.6000000000000014,-3.6000000000000014,25.3596,27.4,23.6,3.799999999999997,-3.799999999999997,23.72,26.2,22.0,4.199999999999999,-4.199999999999999,24.2,26.2,23.0,3.1999999999999993,-3.1999999999999993,8635,13127,4872,8255,5619
2018-02-04,22.84,25.0,21.4,3.6000000000000014,1.3999999999999986,23.9908,25.6,22.8,2.8000000000000007,0.7540000000000013,22.0,22.6,20.6,2.0,0.3999999999999986,23.2116,24.266,22.0,2.2659999999999982,1.6000000000000014,13820,29504,8075,21429,-682
2018-02-11,24.36,26.8,23.2,3.6000000000000014,3.6000000000000014,26.276,30.78,23.8,6.98,6.580000000000002,24.044,26.62,22.6,4.02,4.02,25.72,29.4,23.6,5.799999999999997,5.799999999999997,22636,47540,4918,42622,40078
2018-02-18,31.25,34.0,30.0,4.0,3.1999999999999993,33.1475,38.8,31.0,7.799999999999997,7.799999999999997,30.2495,32.4,29.2,3.1999999999999993,3.0019999999999953,32.0995,37.59,30.0,7.590000000000003,7.590000000000003,41196,122754,10152,112602,107570
2018-02-25,32.56,38.4,28.0,10.399999999999999,-8.0,34.36,41.6,30.6,11.0,-11.0,29.72,33.6,28.0,5.600000000000001,-5.0,31.8,38.8,28.4,10.399999999999999,-8.599999999999998,51319,118114,7910,110204,-110204
2018-03-04,30.84,32.6,29.8,2.8000000000000007,2.6000000000000014,31.84,33.0,30.2,2.8000000000000007,1.8000000000000007,29.7608,30.6,29.2,1.4000000000000021,1.0040000000000013,30.96,32.6,29.6,3.0,1.1999999999999993,14776,30787,4323,26464,11876
2018-03-11,28.88,31.0,25.8,5.199999999999999,-5.199999999999999,29.3956,31.0,27.38,3.620000000000001,-3.620000000000001,27.04,29.4,25.0,4.399999999999999,-3.799999999999997,28.08,30.8,25.4,5.400000000000002,-3.6000000000000014,11583,18802,5104,13698,-5760
2018-03-18,27.32,27.8,26.6,1.1999999999999993,0.20000000000000284,28.1596,28.998,27.4,1.5980000000000025,0.20000000000000284,26.12,26.4,26.0,0.3999999999999986,0.0,26.9148,27.574,26.0,1.5740000000000016,0.3999999999999986,18393,38314,4429,33885,10803
