Date,iShares MSCI Global ImpactEtf_Open_average,iShares MSCI Global ImpactEtf_Open_max,iShares MSCI Global ImpactEtf_Open_min,iShares MSCI Global ImpactEtf_Open_volatility,iShares MSCI Global ImpactEtf_Open_change,iShares MSCI Global ImpactEtf_High_average,iShares MSCI Global ImpactEtf_High_max,iShares MSCI Global ImpactEtf_High_min,iShares MSCI Global ImpactEtf_High_volatility,iShares MSCI Global ImpactEtf_High_change,iShares MSCI Global ImpactEtf_Low_average,iShares MSCI Global ImpactEtf_Low_max,iShares MSCI Global ImpactEtf_Low_min,iShares MSCI Global ImpactEtf_Low_volatility,iShares MSCI Global ImpactEtf_Low_change,iShares MSCI Global ImpactEtf_Close_average,iShares MSCI Global ImpactEtf_Close_max,iShares MSCI Global ImpactEtf_Close_min,iShares MSCI Global ImpactEtf_Close_volatility,iShares MSCI Global ImpactEtf_Close_change
2018-01-14,61.54,61.54,61.54,0.0,0.0,61.79,61.79,61.79,0.0,0.0,61.54,61.54,61.54,0.0,0.0,61.71,61.71,61.71,0.0,0.0
2018-01-21,62.5,62.5,62.5,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.47,62.47,62.47,0.0,0.0
2018-01-28,60.93,60.93,60.93,0.0,0.0,60.93,60.93,60.93,0.0,0.0,60.48,60.48,60.48,0.0,0.0,60.5,60.5,60.5,0.0,0.0
2018-02-04,57.45,57.45,57.45,0.0,0.0,58.18,58.18,58.18,0.0,0.0,57.16,57.16,57.16,0.0,0.0,58.18,58.18,58.18,0.0,0.0
2018-02-11,60.35,60.35,60.35,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.2,60.2,60.2,0.0,0.0
2018-02-18,59.78,59.78,59.78,0.0,0.0,59.78,59.78,59.78,0.0,0.0,59.78,59.78,59.78,0.0,0.0,59.78,59.78,59.78,0.0,0.0
2018-02-25,58.13,58.13,58.13,0.0,0.0,58.36,58.36,58.36,0.0,0.0,57.79,57.79,57.79,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2018-03-04,60.17,60.17,60.17,0.0,0.0,60.39,60.39,60.39,0.0,0.0,60.04,60.04,60.04,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2018-03-11,60.12,60.12,60.12,0.0,0.0,60.16,60.16,60.16,0.0,0.0,59.94,59.94,59.94,0.0,0.0,59.94,59.94,59.94,0.0,0.0
2018-03-18,58.55,58.55,58.55,0.0,0.0,58.55,58.55,58.55,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.77,57.77,57.77,0.0,0.0
2018-03-25,58.83,58.83,58.83,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2018-04-01,58.9,58.9,58.9,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.58,58.58,58.58,0.0,0.0
2018-04-08,58.88,58.88,58.88,0.0,0.0,59.09,59.09,59.09,0.0,0.0,58.88,58.88,58.88,0.0,0.0,58.97,58.97,58.97,0.0,0.0
2018-04-15,58.69,58.69,58.69,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.68,58.68,58.68,0.0,0.0,58.68,58.68,58.68,0.0,0.0
2018-04-22,58.76,58.76,58.76,0.0,0.0,59.0,59.0,59.0,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.9,58.9,58.9,0.0,0.0
2018-04-29,58.22,58.22,58.22,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.75,58.75,58.75,0.0,0.0
2018-05-06,59.58,59.58,59.58,0.0,0.0,59.82,59.82,59.82,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.82,59.82,59.82,0.0,0.0
2018-05-13,59.55,59.55,59.55,0.0,0.0,59.82,59.82,59.82,0.0,0.0,59.55,59.55,59.55,0.0,0.0,59.65,59.65,59.65,0.0,0.0
2018-05-20,59.28,59.28,59.28,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.21,59.21,59.21,0.0,0.0
2018-05-27,59.34,59.34,59.34,0.0,0.0,59.36,59.36,59.36,0.0,0.0,59.07,59.07,59.07,0.0,0.0,59.36,59.36,59.36,0.0,0.0
2018-06-03,59.5,59.5,59.5,0.0,0.0,59.66,59.66,59.66,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.66,59.66,59.66,0.0,0.0
2018-06-10,59.79,59.79,59.79,0.0,0.0,59.79,59.79,59.79,0.0,0.0,59.46,59.46,59.46,0.0,0.0,59.46,59.46,59.46,0.0,0.0
2018-06-17,57.51,57.51,57.51,0.0,0.0,57.51,57.51,57.51,0.0,0.0,57.51,57.51,57.51,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2018-06-24,56.56,56.56,56.56,0.0,0.0,56.81,56.81,56.81,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.67,56.67,56.67,0.0,0.0
2018-07-01,56.9,56.9,56.9,0.0,0.0,57.45,57.45,57.45,0.0,0.0,56.9,56.9,56.9,0.0,0.0,57.45,57.45,57.45,0.0,0.0
2018-07-08,57.76,57.76,57.76,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2018-07-15,57.8,57.8,57.8,0.0,0.0,58.01,58.01,58.01,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.91,57.91,57.91,0.0,0.0
2018-07-22,59.1,59.1,59.1,0.0,0.0,59.1,59.1,59.1,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-07-29,58.21,58.21,58.21,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.1,58.1,58.1,0.0,0.0
2018-08-05,57.32,57.32,57.32,0.0,0.0,57.41,57.41,57.41,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2018-08-12,57.02,57.02,57.02,0.0,0.0,57.42,57.42,57.42,0.0,0.0,56.96,56.96,56.96,0.0,0.0,57.42,57.42,57.42,0.0,0.0
2018-08-19,58.02,58.02,58.02,0.0,0.0,58.05,58.05,58.05,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2018-08-26,58.77,58.77,58.77,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.43,58.43,58.43,0.0,0.0
2018-09-02,56.62,56.62,56.62,0.0,0.0,56.96,56.96,56.96,0.0,0.0,56.62,56.62,56.62,0.0,0.0,56.88,56.88,56.88,0.0,0.0
2018-09-09,57.81,57.81,57.81,0.0,0.0,57.83,57.83,57.83,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0
2018-09-16,58.95,58.95,58.95,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.94,58.94,58.94,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2018-09-23,58.2,58.2,58.2,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.3,58.3,58.3,0.0,0.0
2018-09-30,56.56,56.56,56.56,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2018-10-07,54.27,54.27,54.27,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.17,54.17,54.17,0.0,0.0,54.43,54.43,54.43,0.0,0.0
2018-10-14,54.65,54.65,54.65,0.0,0.0,54.87,54.87,54.87,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-10-21,52.92,52.92,52.92,0.0,0.0,53.45,53.45,53.45,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2018-10-28,55.43,55.43,55.43,0.0,0.0,55.43,55.43,55.43,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.4,54.4,54.4,0.0,0.0
2018-11-04,55.72,55.72,55.72,0.0,0.0,55.85,55.85,55.85,0.0,0.0,55.62,55.62,55.62,0.0,0.0,55.76,55.76,55.76,0.0,0.0
2018-11-11,55.57,55.57,55.57,0.0,0.0,56.0,56.0,56.0,0.0,0.0,55.57,55.57,55.57,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2018-11-18,54.99,54.99,54.99,0.0,0.0,55.32,55.32,55.32,0.0,0.0,54.84,54.84,54.84,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2018-11-25,55.88,55.88,55.88,0.0,0.0,56.18,56.18,56.18,0.0,0.0,55.88,55.88,55.88,0.0,0.0,56.16,56.16,56.16,0.0,0.0
2018-12-02,55.65,55.65,55.65,0.0,0.0,55.65,55.65,55.65,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2018-12-09,54.78,54.78,54.78,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.67,54.67,54.67,0.0,0.0
2018-12-16,53.37,53.37,53.37,0.0,0.0,53.37,53.37,53.37,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2018-12-23,53.27,53.27,53.27,0.0,0.0,53.37,53.37,53.37,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2018-12-30,53.86,53.86,53.86,0.0,0.0,53.95,53.95,53.95,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.93,53.93,53.93,0.0,0.0
2019-01-06,55.44,55.44,55.44,0.0,0.0,55.44,55.44,55.44,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.34,55.34,55.34,0.0,0.0
2019-01-13,56.21,56.21,56.21,0.0,0.0,56.24,56.24,56.24,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2019-01-20,56.23,56.23,56.23,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2019-01-27,57.18,57.18,57.18,0.0,0.0,57.18,57.18,57.18,0.0,0.0,57.06,57.06,57.06,0.0,0.0,57.11,57.11,57.11,0.0,0.0
2019-02-03,56.25,56.25,56.25,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.06,56.06,56.06,0.0,0.0,56.34,56.34,56.34,0.0,0.0
