Date,IQ Leaders GTAA TrackerEtf_Open_average,IQ Leaders GTAA TrackerEtf_Open_max,IQ Leaders GTAA TrackerEtf_Open_min,IQ Leaders GTAA TrackerEtf_Open_volatility,IQ Leaders GTAA TrackerEtf_Open_change,IQ Leaders GTAA TrackerEtf_High_average,IQ Leaders GTAA TrackerEtf_High_max,IQ Leaders GTAA TrackerEtf_High_min,IQ Leaders GTAA TrackerEtf_High_volatility,IQ Leaders GTAA TrackerEtf_High_change,IQ Leaders GTAA TrackerEtf_Low_average,IQ Leaders GTAA TrackerEtf_Low_max,IQ Leaders GTAA TrackerEtf_Low_min,IQ Leaders GTAA TrackerEtf_Low_volatility,IQ Leaders GTAA TrackerEtf_Low_change,IQ Leaders GTAA TrackerEtf_Close_average,IQ Leaders GTAA TrackerEtf_Close_max,IQ Leaders GTAA TrackerEtf_Close_min,IQ Leaders GTAA TrackerEtf_Close_volatility,IQ Leaders GTAA TrackerEtf_Close_change
2018-01-14,25.12,25.12,25.12,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-01-21,25.4,25.4,25.4,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2018-01-28,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2018-02-04,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2018-02-11,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2018-02-18,24.5,24.5,24.5,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2018-02-25,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2018-03-04,24.66,24.66,24.66,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.72,24.72,24.72,0.0,0.0
2018-03-11,24.64,24.64,24.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0
2018-03-18,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0
