Date,Barclays Bank iPath S&P MLPEtf_Open_average,Barclays Bank iPath S&P MLPEtf_Open_max,Barclays Bank iPath S&P MLPEtf_Open_min,Barclays Bank iPath S&P MLPEtf_Open_volatility,Barclays Bank iPath S&P MLPEtf_Open_change,Barclays Bank iPath S&P MLPEtf_High_average,Barclays Bank iPath S&P MLPEtf_High_max,Barclays Bank iPath S&P MLPEtf_High_min,Barclays Bank iPath S&P MLPEtf_High_volatility,Barclays Bank iPath S&P MLPEtf_High_change,Barclays Bank iPath S&P MLPEtf_Low_average,Barclays Bank iPath S&P MLPEtf_Low_max,Barclays Bank iPath S&P MLPEtf_Low_min,Barclays Bank iPath S&P MLPEtf_Low_volatility,Barclays Bank iPath S&P MLPEtf_Low_change,Barclays Bank iPath S&P MLPEtf_Close_average,Barclays Bank iPath S&P MLPEtf_Close_max,Barclays Bank iPath S&P MLPEtf_Close_min,Barclays Bank iPath S&P MLPEtf_Close_volatility,Barclays Bank iPath S&P MLPEtf_Close_change
2018-01-14,19.16,19.16,19.16,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.26,19.26,19.26,0.0,0.0
2018-01-21,19.88,19.88,19.88,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2018-01-28,18.87,18.87,18.87,0.0,0.0,18.87,18.87,18.87,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.75,18.75,18.75,0.0,0.0
2018-02-04,17.95,17.95,17.95,0.0,0.0,17.98,17.98,17.98,0.0,0.0,17.38,17.38,17.38,0.0,0.0,17.97,17.97,17.97,0.0,0.0
2018-02-11,18.25,18.25,18.25,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.38,18.38,18.38,0.0,0.0
2018-02-18,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-02-25,16.92,16.92,16.92,0.0,0.0,16.97,16.97,16.97,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2018-03-04,16.96,16.96,16.96,0.0,0.0,17.06,17.06,17.06,0.0,0.0,16.96,16.96,16.96,0.0,0.0,17.06,17.06,17.06,0.0,0.0
2018-03-11,16.61,16.61,16.61,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2018-03-18,15.85,15.85,15.85,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2018-03-25,15.79,15.79,15.79,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2018-04-01,15.84,15.84,15.84,0.0,0.0,16.06,16.06,16.06,0.0,0.0,15.84,15.84,15.84,0.0,0.0,16.06,16.06,16.06,0.0,0.0
2018-04-08,15.73,15.73,15.73,0.0,0.0,16.57,16.57,16.57,0.0,0.0,15.73,15.73,15.73,0.0,0.0,16.53,16.53,16.53,0.0,0.0
2018-04-15,17.11,17.11,17.11,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.11,17.11,17.11,0.0,0.0,17.11,17.11,17.11,0.0,0.0
2018-04-22,17.36,17.36,17.36,0.0,0.0,17.36,17.36,17.36,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.01,17.01,17.01,0.0,0.0
2018-04-29,16.88,16.88,16.88,0.0,0.0,17.05,17.05,17.05,0.0,0.0,16.88,16.88,16.88,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2018-05-06,17.55,17.55,17.55,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.55,17.55,17.55,0.0,0.0
2018-05-13,18.17,18.17,18.17,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2018-05-20,17.38,17.38,17.38,0.0,0.0,17.38,17.38,17.38,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.3,17.3,17.3,0.0,0.0
2018-05-27,17.92,17.92,17.92,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.86,17.86,17.86,0.0,0.0
2018-06-03,18.07,18.07,18.07,0.0,0.0,18.1,18.1,18.1,0.0,0.0,17.9,17.9,17.9,0.0,0.0,18.06,18.06,18.06,0.0,0.0
2018-06-10,18.32,18.32,18.32,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.32,18.32,18.32,0.0,0.0
2018-06-17,17.86,17.86,17.86,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.76,17.76,17.76,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2018-06-24,17.58,17.58,17.58,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.53,17.53,17.53,0.0,0.0
2018-07-01,17.56,17.56,17.56,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.54,17.54,17.54,0.0,0.0
2018-07-08,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2018-07-15,18.02,18.02,18.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0
2018-07-22,18.33,18.33,18.33,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.33,18.33,18.33,0.0,0.0
2018-07-29,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0
2018-08-05,19.26,19.26,19.26,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.71,19.71,19.71,0.0,0.0
2018-08-12,18.97,18.97,18.97,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2018-08-19,19.47,19.47,19.47,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.47,19.47,19.47,0.0,0.0
2018-08-26,18.67,18.67,18.67,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.64,18.64,18.64,0.0,0.0
2018-09-02,18.51,18.51,18.51,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.51,18.51,18.51,0.0,0.0
2018-09-09,18.77,18.77,18.77,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.77,18.77,18.77,0.0,0.0
2018-09-16,18.0,18.0,18.0,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.64,18.64,18.64,0.0,0.0
2018-09-23,18.41,18.41,18.41,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2018-09-30,18.63,18.63,18.63,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2018-10-07,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.86,17.86,17.86,0.0,0.0
2018-10-14,18.03,18.03,18.03,0.0,0.0,18.05,18.05,18.05,0.0,0.0,17.98,17.98,17.98,0.0,0.0,17.98,17.98,17.98,0.0,0.0
2018-10-21,17.12,17.12,17.12,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.12,17.12,17.12,0.0,0.0
2018-10-28,16.85,16.85,16.85,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.85,16.85,16.85,0.0,0.0
2018-11-04,17.06,17.06,17.06,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.06,17.06,17.06,0.0,0.0,17.18,17.18,17.18,0.0,0.0
2018-11-11,16.83,16.83,16.83,0.0,0.0,16.83,16.83,16.83,0.0,0.0,16.83,16.83,16.83,0.0,0.0,16.83,16.83,16.83,0.0,0.0
2018-11-18,16.33,16.33,16.33,0.0,0.0,16.33,16.33,16.33,0.0,0.0,16.33,16.33,16.33,0.0,0.0,16.33,16.33,16.33,0.0,0.0
2018-11-25,16.24,16.24,16.24,0.0,0.0,16.24,16.24,16.24,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.24,16.24,16.24,0.0,0.0
2018-12-02,16.35,16.35,16.35,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.05,16.05,16.05,0.0,0.0,16.05,16.05,16.05,0.0,0.0
2018-12-09,16.24,16.24,16.24,0.0,0.0,16.24,16.24,16.24,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.94,15.94,15.94,0.0,0.0
2018-12-16,14.87,14.87,14.87,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.6,14.6,14.6,0.0,0.0
2018-12-23,14.63,14.63,14.63,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.46,14.46,14.46,0.0,0.0
2018-12-30,15.79,15.79,15.79,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2019-01-06,16.3,16.3,16.3,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.3,16.3,16.3,0.0,0.0
2019-01-13,16.62,16.62,16.62,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.62,16.62,16.62,0.0,0.0
2019-01-20,16.52,16.52,16.52,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.52,16.52,16.52,0.0,0.0
2019-01-27,16.61,16.61,16.61,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.88,16.88,16.88,0.0,0.0
2019-02-03,16.3,16.3,16.3,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.36,16.36,16.36,0.0,0.0
2019-02-10,17.15,17.15,17.15,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.1,17.1,17.1,0.0,0.0
2019-02-17,17.18,17.18,17.18,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.14,17.14,17.14,0.0,0.0
2019-02-24,16.52,16.52,16.52,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.58,16.58,16.58,0.0,0.0
