Date,iShares North American TechEtf_Open_average,iShares North American TechEtf_Open_max,iShares North American TechEtf_Open_min,iShares North American TechEtf_Open_volatility,iShares North American TechEtf_Open_change,iShares North American TechEtf_High_average,iShares North American TechEtf_High_max,iShares North American TechEtf_High_min,iShares North American TechEtf_High_volatility,iShares North American TechEtf_High_change,iShares North American TechEtf_Low_average,iShares North American TechEtf_Low_max,iShares North American TechEtf_Low_min,iShares North American TechEtf_Low_volatility,iShares North American TechEtf_Low_change,iShares North American TechEtf_Close_average,iShares North American TechEtf_Close_max,iShares North American TechEtf_Close_min,iShares North American TechEtf_Close_volatility,iShares North American TechEtf_Close_change
2018-01-14,181.11,181.11,181.11,0.0,0.0,181.21,181.21,181.21,0.0,0.0,180.3,180.3,180.3,0.0,0.0,180.95,180.95,180.95,0.0,0.0
2018-01-21,184.53,184.53,184.53,0.0,0.0,186.1,186.1,186.1,0.0,0.0,184.26,184.26,184.26,0.0,0.0,186.1,186.1,186.1,0.0,0.0
2018-01-28,183.0,183.0,183.0,0.0,0.0,183.17,183.17,183.17,0.0,0.0,180.08,180.08,180.08,0.0,0.0,180.16,180.16,180.16,0.0,0.0
2018-02-04,170.8,170.8,170.8,0.0,0.0,172.69,172.69,172.69,0.0,0.0,164.93,164.93,164.93,0.0,0.0,171.35,171.35,171.35,0.0,0.0
2018-02-11,181.81,181.81,181.81,0.0,0.0,183.7,183.7,183.7,0.0,0.0,181.69,181.69,181.69,0.0,0.0,182.02,182.02,182.02,0.0,0.0
2018-02-18,183.29,183.29,183.29,0.0,0.0,185.33,185.33,185.33,0.0,0.0,182.93,182.93,182.93,0.0,0.0,185.33,185.33,185.33,0.0,0.0
2018-02-25,180.73,180.73,180.73,0.0,0.0,185.07,185.07,185.07,0.0,0.0,179.81,179.81,179.81,0.0,0.0,184.88,184.88,184.88,0.0,0.0
2018-03-04,191.14,191.14,191.14,0.0,0.0,193.39,193.39,193.39,0.0,0.0,191.12,191.12,191.12,0.0,0.0,193.38,193.38,193.38,0.0,0.0
2018-03-11,192.46,192.46,192.46,0.0,0.0,192.9,192.9,192.9,0.0,0.0,191.7,191.7,191.7,0.0,0.0,191.9,191.9,191.9,0.0,0.0
2018-03-18,182.66,182.66,182.66,0.0,0.0,183.45,183.45,183.45,0.0,0.0,177.86,177.86,177.86,0.0,0.0,177.87,177.87,177.87,0.0,0.0
2018-03-25,176.75,176.75,176.75,0.0,0.0,180.94,180.94,180.94,0.0,0.0,175.0,175.0,175.0,0.0,0.0,179.43,179.43,179.43,0.0,0.0
2018-04-01,177.78,177.78,177.78,0.0,0.0,179.22,179.22,179.22,0.0,0.0,174.55,174.55,174.55,0.0,0.0,175.08,175.08,175.08,0.0,0.0
2018-04-08,183.26,183.26,183.26,0.0,0.0,183.71,183.71,183.71,0.0,0.0,180.36,180.36,180.36,0.0,0.0,181.21,181.21,181.21,0.0,0.0
2018-04-15,184.86,184.86,184.86,0.0,0.0,184.86,184.86,184.86,0.0,0.0,182.04,182.04,182.04,0.0,0.0,182.7,182.7,182.7,0.0,0.0
2018-04-22,184.59,184.59,184.59,0.0,0.0,184.59,184.59,184.59,0.0,0.0,180.82,180.82,180.82,0.0,0.0,181.69,181.69,181.69,0.0,0.0
2018-04-29,182.23,182.23,182.23,0.0,0.0,186.44,186.44,186.44,0.0,0.0,182.0,182.0,182.0,0.0,0.0,186.07,186.07,186.07,0.0,0.0
2018-05-06,192.34,192.34,192.34,0.0,0.0,192.9,192.9,192.9,0.0,0.0,191.5,191.5,191.5,0.0,0.0,192.05,192.05,192.05,0.0,0.0
2018-05-13,189.78,189.78,189.78,0.0,0.0,190.35,190.35,190.35,0.0,0.0,189.4,189.4,189.4,0.0,0.0,189.49,189.49,189.49,0.0,0.0
