Date,WisdomTree Bloomberg US Dollar BullishEtf_Open_average,WisdomTree Bloomberg US Dollar BullishEtf_Open_max,WisdomTree Bloomberg US Dollar BullishEtf_Open_min,WisdomTree Bloomberg US Dollar BullishEtf_Open_volatility,WisdomTree Bloomberg US Dollar BullishEtf_Open_change,WisdomTree Bloomberg US Dollar BullishEtf_High_average,WisdomTree Bloomberg US Dollar BullishEtf_High_max,WisdomTree Bloomberg US Dollar BullishEtf_High_min,WisdomTree Bloomberg US Dollar BullishEtf_High_volatility,WisdomTree Bloomberg US Dollar BullishEtf_High_change,WisdomTree Bloomberg US Dollar BullishEtf_Low_average,WisdomTree Bloomberg US Dollar BullishEtf_Low_max,WisdomTree Bloomberg US Dollar BullishEtf_Low_min,WisdomTree Bloomberg US Dollar BullishEtf_Low_volatility,WisdomTree Bloomberg US Dollar BullishEtf_Low_change,WisdomTree Bloomberg US Dollar BullishEtf_Close_average,WisdomTree Bloomberg US Dollar BullishEtf_Close_max,WisdomTree Bloomberg US Dollar BullishEtf_Close_min,WisdomTree Bloomberg US Dollar BullishEtf_Close_volatility,WisdomTree Bloomberg US Dollar BullishEtf_Close_change
2018-01-14,25.32,25.32,25.32,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-01-21,24.99,24.99,24.99,0.0,0.0,25.03,25.03,25.03,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2018-01-28,25.04,25.04,25.04,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-02-04,25.33,25.33,25.33,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2018-02-11,24.88,24.88,24.88,0.0,0.0,24.97,24.97,24.97,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2018-02-18,25.14,25.14,25.14,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-02-25,24.82,24.82,24.82,0.0,0.0,25.32,25.32,25.32,0.0,0.0,24.82,24.82,24.82,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2018-03-04,25.31,25.31,25.31,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-03-11,25.3,25.3,25.3,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2018-03-18,25.08,25.08,25.08,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.07,25.07,25.07,0.0,0.0
