Date,Etho Climate Leadership USEtf_Open_average,Etho Climate Leadership USEtf_Open_max,Etho Climate Leadership USEtf_Open_min,Etho Climate Leadership USEtf_Open_volatility,Etho Climate Leadership USEtf_Open_change,Etho Climate Leadership USEtf_High_average,Etho Climate Leadership USEtf_High_max,Etho Climate Leadership USEtf_High_min,Etho Climate Leadership USEtf_High_volatility,Etho Climate Leadership USEtf_High_change,Etho Climate Leadership USEtf_Low_average,Etho Climate Leadership USEtf_Low_max,Etho Climate Leadership USEtf_Low_min,Etho Climate Leadership USEtf_Low_volatility,Etho Climate Leadership USEtf_Low_change,Etho Climate Leadership USEtf_Close_average,Etho Climate Leadership USEtf_Close_max,Etho Climate Leadership USEtf_Close_min,Etho Climate Leadership USEtf_Close_volatility,Etho Climate Leadership USEtf_Close_change
2018-01-14,35.22,35.22,35.22,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2018-01-21,35.79,35.79,35.79,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.79,35.79,35.79,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-01-28,35.2,35.2,35.2,0.0,0.0,35.2,35.2,35.2,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2018-02-04,33.23,33.23,33.23,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2018-02-11,34.84,34.84,34.84,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2018-02-18,35.04,35.04,35.04,0.0,0.0,35.04,35.04,35.04,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-02-25,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2018-03-04,35.1,35.1,35.1,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2018-03-11,35.73,35.73,35.73,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2018-03-18,34.99,34.99,34.99,0.0,0.0,34.99,34.99,34.99,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-03-25,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0
