Date,First Trust Total US Market AlphaDEXEtf_Open_average,First Trust Total US Market AlphaDEXEtf_Open_max,First Trust Total US Market AlphaDEXEtf_Open_min,First Trust Total US Market AlphaDEXEtf_Open_volatility,First Trust Total US Market AlphaDEXEtf_Open_change,First Trust Total US Market AlphaDEXEtf_High_average,First Trust Total US Market AlphaDEXEtf_High_max,First Trust Total US Market AlphaDEXEtf_High_min,First Trust Total US Market AlphaDEXEtf_High_volatility,First Trust Total US Market AlphaDEXEtf_High_change,First Trust Total US Market AlphaDEXEtf_Low_average,First Trust Total US Market AlphaDEXEtf_Low_max,First Trust Total US Market AlphaDEXEtf_Low_min,First Trust Total US Market AlphaDEXEtf_Low_volatility,First Trust Total US Market AlphaDEXEtf_Low_change,First Trust Total US Market AlphaDEXEtf_Close_average,First Trust Total US Market AlphaDEXEtf_Close_max,First Trust Total US Market AlphaDEXEtf_Close_min,First Trust Total US Market AlphaDEXEtf_Close_volatility,First Trust Total US Market AlphaDEXEtf_Close_change
2018-01-14,34.44,34.44,34.44,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2018-01-21,34.93,34.93,34.93,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2018-01-28,33.94,33.94,33.94,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2018-02-04,31.85,31.85,31.85,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2018-02-11,33.64,33.64,33.64,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2018-02-18,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.31,33.31,33.31,0.0,0.0
2018-02-25,32.64,32.64,32.64,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.6,32.6,32.6,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-03-04,34.11,34.11,34.11,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-03-11,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2018-03-18,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-03-25,32.72,32.72,32.72,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2018-04-01,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-04-08,33.05,33.05,33.05,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.09,33.09,33.09,0.0,0.0
