Date,First Trust Nasdaq TransportEtf_Open_average,First Trust Nasdaq TransportEtf_Open_max,First Trust Nasdaq TransportEtf_Open_min,First Trust Nasdaq TransportEtf_Open_volatility,First Trust Nasdaq TransportEtf_Open_change,First Trust Nasdaq TransportEtf_High_average,First Trust Nasdaq TransportEtf_High_max,First Trust Nasdaq TransportEtf_High_min,First Trust Nasdaq TransportEtf_High_volatility,First Trust Nasdaq TransportEtf_High_change,First Trust Nasdaq TransportEtf_Low_average,First Trust Nasdaq TransportEtf_Low_max,First Trust Nasdaq TransportEtf_Low_min,First Trust Nasdaq TransportEtf_Low_volatility,First Trust Nasdaq TransportEtf_Low_change,First Trust Nasdaq TransportEtf_Close_average,First Trust Nasdaq TransportEtf_Close_max,First Trust Nasdaq TransportEtf_Close_min,First Trust Nasdaq TransportEtf_Close_volatility,First Trust Nasdaq TransportEtf_Close_change
2018-01-14,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2018-01-21,26.92,26.92,26.92,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.92,26.92,26.92,0.0,0.0,27.02,27.02,27.02,0.0,0.0
2018-01-28,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-02-04,24.11,24.11,24.11,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2018-02-11,25.54,25.54,25.54,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2018-02-18,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-02-25,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-03-04,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2018-03-11,25.66,25.66,25.66,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-03-18,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2018-03-25,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-04-01,24.88,24.88,24.88,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-04-08,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-04-15,25.46,25.46,25.46,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2018-04-22,24.97,24.97,24.97,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.97,24.97,24.97,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2018-04-29,24.2,24.2,24.2,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2018-05-06,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2018-05-13,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-05-20,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-05-27,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-06-03,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-06-10,25.94,25.94,25.94,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2018-06-17,25.39,25.39,25.39,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2018-06-24,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2018-07-01,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-07-08,24.99,24.99,24.99,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2018-07-15,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-07-22,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2018-07-29,25.56,25.56,25.56,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2018-08-05,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-08-12,25.26,25.26,25.26,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2018-08-19,25.37,25.37,25.37,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2018-08-26,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2018-09-02,25.68,25.68,25.68,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2018-09-09,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0
