Date,SPDR S&P PharmaceuticalsEtf_Open_average,SPDR S&P PharmaceuticalsEtf_Open_max,SPDR S&P PharmaceuticalsEtf_Open_min,SPDR S&P PharmaceuticalsEtf_Open_volatility,SPDR S&P PharmaceuticalsEtf_Open_change,SPDR S&P PharmaceuticalsEtf_High_average,SPDR S&P PharmaceuticalsEtf_High_max,SPDR S&P PharmaceuticalsEtf_High_min,SPDR S&P PharmaceuticalsEtf_High_volatility,SPDR S&P PharmaceuticalsEtf_High_change,SPDR S&P PharmaceuticalsEtf_Low_average,SPDR S&P PharmaceuticalsEtf_Low_max,SPDR S&P PharmaceuticalsEtf_Low_min,SPDR S&P PharmaceuticalsEtf_Low_volatility,SPDR S&P PharmaceuticalsEtf_Low_change,SPDR S&P PharmaceuticalsEtf_Close_average,SPDR S&P PharmaceuticalsEtf_Close_max,SPDR S&P PharmaceuticalsEtf_Close_min,SPDR S&P PharmaceuticalsEtf_Close_volatility,SPDR S&P PharmaceuticalsEtf_Close_change
2018-01-14,45.3,45.3,45.3,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.02,45.02,45.02,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2018-01-21,46.86,46.86,46.86,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2018-01-28,44.7,44.7,44.7,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2018-02-04,41.52,41.52,41.52,0.0,0.0,41.69,41.69,41.69,0.0,0.0,39.78,39.78,39.78,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2018-02-11,43.13,43.13,43.13,0.0,0.0,43.74,43.74,43.74,0.0,0.0,43.13,43.13,43.13,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-02-18,42.9,42.9,42.9,0.0,0.0,43.27,43.27,43.27,0.0,0.0,42.74,42.74,42.74,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2018-02-25,41.08,41.08,41.08,0.0,0.0,42.63,42.63,42.63,0.0,0.0,41.06,41.06,41.06,0.0,0.0,42.53,42.53,42.53,0.0,0.0
2018-03-04,43.52,43.52,43.52,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.75,43.75,43.75,0.0,0.0
2018-03-11,43.07,43.07,43.07,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2018-03-18,42.04,42.04,42.04,0.0,0.0,42.12,42.12,42.12,0.0,0.0,41.15,41.15,41.15,0.0,0.0,41.15,41.15,41.15,0.0,0.0
