Date,Barclays FI Enhanced Europe 50 BEtf_Open_average,Barclays FI Enhanced Europe 50 BEtf_Open_max,Barclays FI Enhanced Europe 50 BEtf_Open_min,Barclays FI Enhanced Europe 50 BEtf_Open_volatility,Barclays FI Enhanced Europe 50 BEtf_Open_change,Barclays FI Enhanced Europe 50 BEtf_High_average,Barclays FI Enhanced Europe 50 BEtf_High_max,Barclays FI Enhanced Europe 50 BEtf_High_min,Barclays FI Enhanced Europe 50 BEtf_High_volatility,Barclays FI Enhanced Europe 50 BEtf_High_change,Barclays FI Enhanced Europe 50 BEtf_Low_average,Barclays FI Enhanced Europe 50 BEtf_Low_max,Barclays FI Enhanced Europe 50 BEtf_Low_min,Barclays FI Enhanced Europe 50 BEtf_Low_volatility,Barclays FI Enhanced Europe 50 BEtf_Low_change,Barclays FI Enhanced Europe 50 BEtf_Close_average,Barclays FI Enhanced Europe 50 BEtf_Close_max,Barclays FI Enhanced Europe 50 BEtf_Close_min,Barclays FI Enhanced Europe 50 BEtf_Close_volatility,Barclays FI Enhanced Europe 50 BEtf_Close_change
2018-01-14,173.31,173.31,173.31,0.0,0.0,174.27,174.27,174.27,0.0,0.0,173.18,173.18,173.18,0.0,0.0,174.21,174.21,174.21,0.0,0.0
2018-01-21,179.32,179.32,179.32,0.0,0.0,179.74,179.74,179.74,0.0,0.0,178.67,178.67,178.67,0.0,0.0,179.71,179.71,179.71,0.0,0.0
2018-01-28,169.86,169.86,169.86,0.0,0.0,169.86,169.86,169.86,0.0,0.0,166.02,166.02,166.02,0.0,0.0,167.36,167.36,167.36,0.0,0.0
2018-02-04,146.96,146.96,146.96,0.0,0.0,147.62,147.62,147.62,0.0,0.0,141.52,141.52,141.52,0.0,0.0,145.98,145.98,145.98,0.0,0.0
2018-02-11,157.2,157.2,157.2,0.0,0.0,159.89,159.89,159.89,0.0,0.0,157.2,157.2,157.2,0.0,0.0,158.15,158.15,158.15,0.0,0.0
2018-02-18,155.8,155.8,155.8,0.0,0.0,157.44,157.44,157.44,0.0,0.0,155.53,155.53,155.53,0.0,0.0,157.4,157.4,157.4,0.0,0.0
2018-02-25,144.54,144.54,144.54,0.0,0.0,146.04,146.04,146.04,0.0,0.0,144.42,144.42,144.42,0.0,0.0,145.93,145.93,145.93,0.0,0.0
2018-03-04,151.97,151.97,151.97,0.0,0.0,152.84,152.84,152.84,0.0,0.0,151.96,151.96,151.96,0.0,0.0,152.75,152.75,152.75,0.0,0.0
2018-03-11,150.98,150.98,150.98,0.0,0.0,152.15,152.15,152.15,0.0,0.0,150.85,150.85,150.85,0.0,0.0,151.69,151.69,151.69,0.0,0.0
2018-03-18,143.85,143.85,143.85,0.0,0.0,144.1,144.1,144.1,0.0,0.0,139.72,139.72,139.72,0.0,0.0,139.83,139.83,139.83,0.0,0.0
2018-03-25,147.64,147.64,147.64,0.0,0.0,148.5,148.5,148.5,0.0,0.0,146.8,146.8,146.8,0.0,0.0,146.8,146.8,146.8,0.0,0.0
2018-04-01,151.12,151.12,151.12,0.0,0.0,151.68,151.68,151.68,0.0,0.0,150.41,150.41,150.41,0.0,0.0,150.81,150.81,150.81,0.0,0.0
2018-04-08,155.13,155.13,155.13,0.0,0.0,155.19,155.19,155.19,0.0,0.0,154.95,154.95,154.95,0.0,0.0,155.19,155.19,155.19,0.0,0.0
2018-04-15,153.75,153.75,153.75,0.0,0.0,154.66,154.66,154.66,0.0,0.0,153.75,153.75,153.75,0.0,0.0,154.34,154.34,154.34,0.0,0.0
2018-04-22,153.8,153.8,153.8,0.0,0.0,154.59,154.59,154.59,0.0,0.0,153.8,153.8,153.8,0.0,0.0,154.59,154.59,154.59,0.0,0.0
2018-04-29,151.56,151.56,151.56,0.0,0.0,151.65,151.65,151.65,0.0,0.0,150.5,150.5,150.5,0.0,0.0,150.83,150.83,150.83,0.0,0.0
2018-05-06,156.69,156.69,156.69,0.0,0.0,157.09,157.09,157.09,0.0,0.0,156.38,156.38,156.38,0.0,0.0,156.38,156.38,156.38,0.0,0.0
2018-05-13,155.35,155.35,155.35,0.0,0.0,155.35,155.35,155.35,0.0,0.0,155.35,155.35,155.35,0.0,0.0,155.35,155.35,155.35,0.0,0.0
2018-05-20,147.89,147.89,147.89,0.0,0.0,148.28,148.28,148.28,0.0,0.0,147.83,147.83,147.83,0.0,0.0,147.89,147.89,147.89,0.0,0.0
2018-05-27,146.66,146.66,146.66,0.0,0.0,146.99,146.99,146.99,0.0,0.0,146.66,146.66,146.66,0.0,0.0,146.99,146.99,146.99,0.0,0.0
2018-06-03,146.57,146.57,146.57,0.0,0.0,146.57,146.57,146.57,0.0,0.0,146.57,146.57,146.57,0.0,0.0,146.57,146.57,146.57,0.0,0.0
2018-06-10,145.65,145.65,145.65,0.0,0.0,145.82,145.82,145.82,0.0,0.0,145.65,145.65,145.65,0.0,0.0,145.82,145.82,145.82,0.0,0.0
2018-06-17,142.81,142.81,142.81,0.0,0.0,145.0,145.0,145.0,0.0,0.0,142.81,142.81,142.81,0.0,0.0,145.0,145.0,145.0,0.0,0.0
