Date,SPDR S&P Metals & MiningEtf_Open_average,SPDR S&P Metals & MiningEtf_Open_max,SPDR S&P Metals & MiningEtf_Open_min,SPDR S&P Metals & MiningEtf_Open_volatility,SPDR S&P Metals & MiningEtf_Open_change,SPDR S&P Metals & MiningEtf_High_average,SPDR S&P Metals & MiningEtf_High_max,SPDR S&P Metals & MiningEtf_High_min,SPDR S&P Metals & MiningEtf_High_volatility,SPDR S&P Metals & MiningEtf_High_change,SPDR S&P Metals & MiningEtf_Low_average,SPDR S&P Metals & MiningEtf_Low_max,SPDR S&P Metals & MiningEtf_Low_min,SPDR S&P Metals & MiningEtf_Low_volatility,SPDR S&P Metals & MiningEtf_Low_change,SPDR S&P Metals & MiningEtf_Close_average,SPDR S&P Metals & MiningEtf_Close_max,SPDR S&P Metals & MiningEtf_Close_min,SPDR S&P Metals & MiningEtf_Close_volatility,SPDR S&P Metals & MiningEtf_Close_change
2018-01-14,38.26,38.26,38.26,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2018-01-21,38.81,38.81,38.81,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2018-01-28,36.76,36.76,36.76,0.0,0.0,36.85,36.85,36.85,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-02-04,34.48,34.48,34.48,0.0,0.0,34.66,34.66,34.66,0.0,0.0,33.17,33.17,33.17,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2018-02-11,37.14,37.14,37.14,0.0,0.0,38.71,38.71,38.71,0.0,0.0,36.82,36.82,36.82,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2018-02-18,37.24,37.24,37.24,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2018-02-25,36.74,36.74,36.74,0.0,0.0,37.46,37.46,37.46,0.0,0.0,36.3,36.3,36.3,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-03-04,37.34,37.34,37.34,0.0,0.0,37.5,37.5,37.5,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2018-03-11,36.21,36.21,36.21,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-03-18,34.27,34.27,34.27,0.0,0.0,34.41,34.41,34.41,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2018-03-25,33.17,33.17,33.17,0.0,0.0,34.25,34.25,34.25,0.0,0.0,33.17,33.17,33.17,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-04-01,34.52,34.52,34.52,0.0,0.0,34.85,34.85,34.85,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-04-08,35.56,35.56,35.56,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-04-15,37.14,37.14,37.14,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.64,36.64,36.64,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2018-04-22,35.74,35.74,35.74,0.0,0.0,35.81,35.81,35.81,0.0,0.0,34.88,34.88,34.88,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-04-29,35.0,35.0,35.0,0.0,0.0,36.13,36.13,36.13,0.0,0.0,34.69,34.69,34.69,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-05-06,36.88,36.88,36.88,0.0,0.0,37.29,37.29,37.29,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2018-05-13,37.96,37.96,37.96,0.0,0.0,38.21,38.21,38.21,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-05-20,36.96,36.96,36.96,0.0,0.0,37.11,37.11,37.11,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-05-27,37.77,37.77,37.77,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2018-06-03,38.25,38.25,38.25,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.03,38.03,38.03,0.0,0.0,38.07,38.07,38.07,0.0,0.0
2018-06-10,37.43,37.43,37.43,0.0,0.0,37.51,37.51,37.51,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-06-17,36.77,36.77,36.77,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.68,36.68,36.68,0.0,0.0,37.0,37.0,37.0,0.0,0.0
2018-06-24,35.49,35.49,35.49,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2018-07-01,35.91,35.91,35.91,0.0,0.0,36.38,36.38,36.38,0.0,0.0,35.64,35.64,35.64,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2018-07-08,35.99,35.99,35.99,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-07-15,35.98,35.98,35.98,0.0,0.0,36.46,36.46,36.46,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-07-22,37.0,37.0,37.0,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.46,36.46,36.46,0.0,0.0
