Date,iShares Edge MSCI Min Vol GlobalEtf_Open_average,iShares Edge MSCI Min Vol GlobalEtf_Open_max,iShares Edge MSCI Min Vol GlobalEtf_Open_min,iShares Edge MSCI Min Vol GlobalEtf_Open_volatility,iShares Edge MSCI Min Vol GlobalEtf_Open_change,iShares Edge MSCI Min Vol GlobalEtf_High_average,iShares Edge MSCI Min Vol GlobalEtf_High_max,iShares Edge MSCI Min Vol GlobalEtf_High_min,iShares Edge MSCI Min Vol GlobalEtf_High_volatility,iShares Edge MSCI Min Vol GlobalEtf_High_change,iShares Edge MSCI Min Vol GlobalEtf_Low_average,iShares Edge MSCI Min Vol GlobalEtf_Low_max,iShares Edge MSCI Min Vol GlobalEtf_Low_min,iShares Edge MSCI Min Vol GlobalEtf_Low_volatility,iShares Edge MSCI Min Vol GlobalEtf_Low_change,iShares Edge MSCI Min Vol GlobalEtf_Close_average,iShares Edge MSCI Min Vol GlobalEtf_Close_max,iShares Edge MSCI Min Vol GlobalEtf_Close_min,iShares Edge MSCI Min Vol GlobalEtf_Close_volatility,iShares Edge MSCI Min Vol GlobalEtf_Close_change
2018-01-14,86.32,86.32,86.32,0.0,0.0,86.47,86.47,86.47,0.0,0.0,86.2,86.2,86.2,0.0,0.0,86.39,86.39,86.39,0.0,0.0
2018-01-21,87.71,87.71,87.71,0.0,0.0,88.22,88.22,88.22,0.0,0.0,87.69,87.69,87.69,0.0,0.0,88.19,88.19,88.19,0.0,0.0
2018-01-28,86.36,86.36,86.36,0.0,0.0,86.36,86.36,86.36,0.0,0.0,85.35,85.35,85.35,0.0,0.0,85.39,85.39,85.39,0.0,0.0
2018-02-04,81.36,81.36,81.36,0.0,0.0,82.13,82.13,82.13,0.0,0.0,79.94,79.94,79.94,0.0,0.0,81.6,81.6,81.6,0.0,0.0
2018-02-11,84.4,84.4,84.4,0.0,0.0,85.03,85.03,85.03,0.0,0.0,84.39,84.39,84.39,0.0,0.0,84.66,84.66,84.66,0.0,0.0
2018-02-18,83.79,83.79,83.79,0.0,0.0,84.42,84.42,84.42,0.0,0.0,83.67,83.67,83.67,0.0,0.0,84.42,84.42,84.42,0.0,0.0
2018-02-25,82.07,82.07,82.07,0.0,0.0,83.03,83.03,83.03,0.0,0.0,82.07,82.07,82.07,0.0,0.0,82.94,82.94,82.94,0.0,0.0
2018-03-04,84.34,84.34,84.34,0.0,0.0,84.9,84.9,84.9,0.0,0.0,84.11,84.11,84.11,0.0,0.0,84.78,84.78,84.78,0.0,0.0
2018-03-11,84.64,84.64,84.64,0.0,0.0,84.92,84.92,84.92,0.0,0.0,84.53,84.53,84.53,0.0,0.0,84.79,84.79,84.79,0.0,0.0
2018-03-18,82.83,82.83,82.83,0.0,0.0,83.1,83.1,83.1,0.0,0.0,81.76,81.76,81.76,0.0,0.0,81.79,81.79,81.79,0.0,0.0
2018-03-25,83.26,83.26,83.26,0.0,0.0,84.11,84.11,84.11,0.0,0.0,83.26,83.26,83.26,0.0,0.0,83.82,83.82,83.82,0.0,0.0
2018-04-01,83.82,83.82,83.82,0.0,0.0,84.2,84.2,84.2,0.0,0.0,82.86,82.86,82.86,0.0,0.0,83.17,83.17,83.17,0.0,0.0
2018-04-08,84.07,84.07,84.07,0.0,0.0,84.07,84.07,84.07,0.0,0.0,83.49,83.49,83.49,0.0,0.0,83.71,83.71,83.71,0.0,0.0
2018-04-15,84.16,84.16,84.16,0.0,0.0,84.16,84.16,84.16,0.0,0.0,83.58,83.58,83.58,0.0,0.0,83.76,83.76,83.76,0.0,0.0
2018-04-22,83.69,83.69,83.69,0.0,0.0,83.99,83.99,83.99,0.0,0.0,83.69,83.69,83.69,0.0,0.0,83.86,83.86,83.86,0.0,0.0
2018-04-29,82.22,82.22,82.22,0.0,0.0,83.41,83.41,83.41,0.0,0.0,82.22,82.22,82.22,0.0,0.0,83.25,83.25,83.25,0.0,0.0
2018-05-06,84.04,84.04,84.04,0.0,0.0,84.29,84.29,84.29,0.0,0.0,84.0,84.0,84.0,0.0,0.0,84.17,84.17,84.17,0.0,0.0
2018-05-13,83.32,83.32,83.32,0.0,0.0,83.47,83.47,83.47,0.0,0.0,83.31,83.31,83.31,0.0,0.0,83.45,83.45,83.45,0.0,0.0
2018-05-20,83.85,83.85,83.85,0.0,0.0,84.16,84.16,84.16,0.0,0.0,83.85,83.85,83.85,0.0,0.0,83.98,83.98,83.98,0.0,0.0
2018-05-27,83.97,83.97,83.97,0.0,0.0,84.16,84.16,84.16,0.0,0.0,83.93,83.93,83.93,0.0,0.0,84.06,84.06,84.06,0.0,0.0
2018-06-03,84.65,84.65,84.65,0.0,0.0,84.94,84.94,84.94,0.0,0.0,84.63,84.63,84.63,0.0,0.0,84.88,84.88,84.88,0.0,0.0
2018-06-10,84.63,84.63,84.63,0.0,0.0,84.81,84.81,84.81,0.0,0.0,84.47,84.47,84.47,0.0,0.0,84.79,84.79,84.79,0.0,0.0
2018-06-17,83.52,83.52,83.52,0.0,0.0,83.61,83.61,83.61,0.0,0.0,83.32,83.32,83.32,0.0,0.0,83.46,83.46,83.46,0.0,0.0
2018-06-24,83.04,83.04,83.04,0.0,0.0,83.36,83.36,83.36,0.0,0.0,82.88,82.88,82.88,0.0,0.0,83.05,83.05,83.05,0.0,0.0
2018-07-01,83.73,83.73,83.73,0.0,0.0,84.15,84.15,84.15,0.0,0.0,83.64,83.64,83.64,0.0,0.0,84.07,84.07,84.07,0.0,0.0
2018-07-08,84.71,84.71,84.71,0.0,0.0,84.81,84.81,84.81,0.0,0.0,84.62,84.62,84.62,0.0,0.0,84.79,84.79,84.79,0.0,0.0
2018-07-15,85.01,85.01,85.01,0.0,0.0,85.24,85.24,85.24,0.0,0.0,85.01,85.01,85.01,0.0,0.0,85.18,85.18,85.18,0.0,0.0
2018-07-22,85.67,85.67,85.67,0.0,0.0,85.87,85.87,85.87,0.0,0.0,85.4,85.4,85.4,0.0,0.0,85.53,85.53,85.53,0.0,0.0
2018-07-29,85.36,85.36,85.36,0.0,0.0,85.82,85.82,85.82,0.0,0.0,85.36,85.36,85.36,0.0,0.0,85.75,85.75,85.75,0.0,0.0
2018-08-05,85.37,85.37,85.37,0.0,0.0,85.46,85.46,85.46,0.0,0.0,85.21,85.21,85.21,0.0,0.0,85.27,85.27,85.27,0.0,0.0
2018-08-12,85.68,85.68,85.68,0.0,0.0,86.23,86.23,86.23,0.0,0.0,85.58,85.58,85.58,0.0,0.0,86.19,86.19,86.19,0.0,0.0
2018-08-19,86.43,86.43,86.43,0.0,0.0,86.68,86.68,86.68,0.0,0.0,86.29,86.29,86.29,0.0,0.0,86.63,86.63,86.63,0.0,0.0
2018-08-26,86.76,86.76,86.76,0.0,0.0,86.98,86.98,86.98,0.0,0.0,86.56,86.56,86.56,0.0,0.0,86.85,86.85,86.85,0.0,0.0
2018-09-02,86.64,86.64,86.64,0.0,0.0,86.79,86.79,86.79,0.0,0.0,86.44,86.44,86.44,0.0,0.0,86.55,86.55,86.55,0.0,0.0
2018-09-09,87.49,87.49,87.49,0.0,0.0,87.55,87.55,87.55,0.0,0.0,87.3,87.3,87.3,0.0,0.0,87.46,87.46,87.46,0.0,0.0
