Date,Direxion Daily Mid Cap Bull 3X SharesEtf_Open_average,Direxion Daily Mid Cap Bull 3X SharesEtf_Open_max,Direxion Daily Mid Cap Bull 3X SharesEtf_Open_min,Direxion Daily Mid Cap Bull 3X SharesEtf_Open_volatility,Direxion Daily Mid Cap Bull 3X SharesEtf_Open_change,Direxion Daily Mid Cap Bull 3X SharesEtf_High_average,Direxion Daily Mid Cap Bull 3X SharesEtf_High_max,Direxion Daily Mid Cap Bull 3X SharesEtf_High_min,Direxion Daily Mid Cap Bull 3X SharesEtf_High_volatility,Direxion Daily Mid Cap Bull 3X SharesEtf_High_change,Direxion Daily Mid Cap Bull 3X SharesEtf_Low_average,Direxion Daily Mid Cap Bull 3X SharesEtf_Low_max,Direxion Daily Mid Cap Bull 3X SharesEtf_Low_min,Direxion Daily Mid Cap Bull 3X SharesEtf_Low_volatility,Direxion Daily Mid Cap Bull 3X SharesEtf_Low_change,Direxion Daily Mid Cap Bull 3X SharesEtf_Close_average,Direxion Daily Mid Cap Bull 3X SharesEtf_Close_max,Direxion Daily Mid Cap Bull 3X SharesEtf_Close_min,Direxion Daily Mid Cap Bull 3X SharesEtf_Close_volatility,Direxion Daily Mid Cap Bull 3X SharesEtf_Close_change
2018-01-14,50.83,50.83,50.83,0.0,0.0,52.16,52.16,52.16,0.0,0.0,50.74,50.74,50.74,0.0,0.0,52.16,52.16,52.16,0.0,0.0
2018-01-21,53.06,53.06,53.06,0.0,0.0,53.4,53.4,53.4,0.0,0.0,52.2,52.2,52.2,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2018-01-28,49.39,49.39,49.39,0.0,0.0,49.39,49.39,49.39,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2018-02-04,39.88,39.88,39.88,0.0,0.0,40.48,40.48,40.48,0.0,0.0,36.75,36.75,36.75,0.0,0.0,39.94,39.94,39.94,0.0,0.0
2018-02-11,45.04,45.04,45.04,0.0,0.0,46.24,46.24,46.24,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.63,45.63,45.63,0.0,0.0
2018-02-18,44.9,44.9,44.9,0.0,0.0,45.81,45.81,45.81,0.0,0.0,44.5,44.5,44.5,0.0,0.0,45.81,45.81,45.81,0.0,0.0
2018-02-25,41.72,41.72,41.72,0.0,0.0,44.14,44.14,44.14,0.0,0.0,41.32,41.32,41.32,0.0,0.0,43.93,43.93,43.93,0.0,0.0
2018-03-04,47.54,47.54,47.54,0.0,0.0,49.08,49.08,49.08,0.0,0.0,47.38,47.38,47.38,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-03-11,47.19,47.19,47.19,0.0,0.0,48.35,48.35,48.35,0.0,0.0,47.18,47.18,47.18,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2018-03-18,43.86,43.86,43.86,0.0,0.0,44.13,44.13,44.13,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-03-25,42.49,42.49,42.49,0.0,0.0,44.33,44.33,44.33,0.0,0.0,42.49,42.49,42.49,0.0,0.0,43.75,43.75,43.75,0.0,0.0
