Date,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Open_average,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Open_max,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Open_min,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Open_volatility,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Open_change,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_High_average,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_High_max,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_High_min,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_High_volatility,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_High_change,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Low_average,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Low_max,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Low_min,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Low_volatility,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Low_change,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Close_average,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Close_max,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Close_min,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Close_volatility,Deutsche X-trackers CSI 300 China A-Shares HedgedEtf_Close_change
2018-01-14,23.47,23.47,23.47,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2018-01-21,24.1,24.1,24.1,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2018-01-28,23.12,23.12,23.12,0.0,0.0,23.12,23.12,23.12,0.0,0.0,23.12,23.12,23.12,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2018-02-04,20.6,20.6,20.6,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.31,20.31,20.31,0.0,0.0,20.6,20.6,20.6,0.0,0.0
2018-02-11,22.39,22.39,22.39,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.39,22.39,22.39,0.0,0.0
2018-02-18,22.32,22.32,22.32,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.32,22.32,22.32,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2018-02-25,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0
2018-03-04,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2018-03-11,22.24,22.24,22.24,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.24,22.24,22.24,0.0,0.0
2018-03-18,21.2,21.2,21.2,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.07,21.07,21.07,0.0,0.0,21.1,21.1,21.1,0.0,0.0
