Date,iShares Morningstar Small-Cap GrowthEtf_Open_average,iShares Morningstar Small-Cap GrowthEtf_Open_max,iShares Morningstar Small-Cap GrowthEtf_Open_min,iShares Morningstar Small-Cap GrowthEtf_Open_volatility,iShares Morningstar Small-Cap GrowthEtf_Open_change,iShares Morningstar Small-Cap GrowthEtf_High_average,iShares Morningstar Small-Cap GrowthEtf_High_max,iShares Morningstar Small-Cap GrowthEtf_High_min,iShares Morningstar Small-Cap GrowthEtf_High_volatility,iShares Morningstar Small-Cap GrowthEtf_High_change,iShares Morningstar Small-Cap GrowthEtf_Low_average,iShares Morningstar Small-Cap GrowthEtf_Low_max,iShares Morningstar Small-Cap GrowthEtf_Low_min,iShares Morningstar Small-Cap GrowthEtf_Low_volatility,iShares Morningstar Small-Cap GrowthEtf_Low_change,iShares Morningstar Small-Cap GrowthEtf_Close_average,iShares Morningstar Small-Cap GrowthEtf_Close_max,iShares Morningstar Small-Cap GrowthEtf_Close_min,iShares Morningstar Small-Cap GrowthEtf_Close_volatility,iShares Morningstar Small-Cap GrowthEtf_Close_change
2018-01-14,183.8,183.8,183.8,0.0,0.0,185.61,185.61,185.61,0.0,0.0,183.8,183.8,183.8,0.0,0.0,185.61,185.61,185.61,0.0,0.0
2018-01-21,188.17,188.17,188.17,0.0,0.0,188.41,188.41,188.41,0.0,0.0,187.8,187.8,187.8,0.0,0.0,188.36,188.36,188.36,0.0,0.0
2018-01-28,184.21,184.21,184.21,0.0,0.0,184.43,184.43,184.43,0.0,0.0,183.72,183.72,183.72,0.0,0.0,183.97,183.97,183.97,0.0,0.0
2018-02-04,172.66,172.66,172.66,0.0,0.0,172.66,172.66,172.66,0.0,0.0,168.9,168.9,168.9,0.0,0.0,172.36,172.36,172.36,0.0,0.0
2018-02-11,181.14,181.14,181.14,0.0,0.0,183.55,183.55,183.55,0.0,0.0,181.14,181.14,181.14,0.0,0.0,182.76,182.76,182.76,0.0,0.0
2018-02-18,181.84,181.84,181.84,0.0,0.0,183.5,183.5,183.5,0.0,0.0,181.84,181.84,181.84,0.0,0.0,183.5,183.5,183.5,0.0,0.0
2018-02-25,177.17,177.17,177.17,0.0,0.0,182.06,182.06,182.06,0.0,0.0,177.17,177.17,177.17,0.0,0.0,182.06,182.06,182.06,0.0,0.0
2018-03-04,190.48,190.48,190.48,0.0,0.0,191.48,191.48,191.48,0.0,0.0,190.48,190.48,190.48,0.0,0.0,191.48,191.48,191.48,0.0,0.0
2018-03-11,191.51,191.51,191.51,0.0,0.0,191.51,191.51,191.51,0.0,0.0,190.68,190.68,190.68,0.0,0.0,190.86,190.86,190.86,0.0,0.0
2018-03-18,185.25,185.25,185.25,0.0,0.0,185.4,185.4,185.4,0.0,0.0,182.41,182.41,182.41,0.0,0.0,182.41,182.41,182.41,0.0,0.0
2018-03-25,184.07,184.07,184.07,0.0,0.0,185.54,185.54,185.54,0.0,0.0,184.07,184.07,184.07,0.0,0.0,185.54,185.54,185.54,0.0,0.0
2018-04-01,183.9,183.9,183.9,0.0,0.0,183.9,183.9,183.9,0.0,0.0,179.76,179.76,179.76,0.0,0.0,181.07,181.07,181.07,0.0,0.0
2018-04-08,187.72,187.72,187.72,0.0,0.0,187.72,187.72,187.72,0.0,0.0,185.9,185.9,185.9,0.0,0.0,186.0,186.0,186.0,0.0,0.0
2018-04-15,191.24,191.24,191.24,0.0,0.0,191.24,191.24,191.24,0.0,0.0,186.92,186.92,186.92,0.0,0.0,186.97,186.97,186.97,0.0,0.0
2018-04-22,184.42,184.42,184.42,0.0,0.0,185.05,185.05,185.05,0.0,0.0,184.42,184.42,184.42,0.0,0.0,184.77,184.77,184.77,0.0,0.0
2018-04-29,184.37,184.37,184.37,0.0,0.0,188.31,188.31,188.31,0.0,0.0,184.37,184.37,184.37,0.0,0.0,187.99,187.99,187.99,0.0,0.0
2018-05-06,195.89,195.89,195.89,0.0,0.0,195.89,195.89,195.89,0.0,0.0,193.37,193.37,193.37,0.0,0.0,194.31,194.31,194.31,0.0,0.0
2018-05-13,195.69,195.69,195.69,0.0,0.0,195.99,195.99,195.99,0.0,0.0,195.39,195.39,195.39,0.0,0.0,195.9,195.9,195.9,0.0,0.0
2018-05-20,194.62,194.62,194.62,0.0,0.0,194.9,194.9,194.9,0.0,0.0,194.52,194.52,194.52,0.0,0.0,194.52,194.52,194.52,0.0,0.0
2018-05-27,197.48,197.48,197.48,0.0,0.0,198.38,198.38,198.38,0.0,0.0,197.48,197.48,197.48,0.0,0.0,198.38,198.38,198.38,0.0,0.0
2018-06-03,199.27,199.27,199.27,0.0,0.0,199.27,199.27,199.27,0.0,0.0,199.14,199.14,199.14,0.0,0.0,199.14,199.14,199.14,0.0,0.0
2018-06-10,202.73,202.73,202.73,0.0,0.0,203.14,203.14,203.14,0.0,0.0,202.7,202.7,202.7,0.0,0.0,203.01,203.01,203.01,0.0,0.0
2018-06-17,203.76,203.76,203.76,0.0,0.0,204.4,204.4,204.4,0.0,0.0,203.35,203.35,203.35,0.0,0.0,203.35,203.35,203.35,0.0,0.0
2018-06-24,198.5,198.5,198.5,0.0,0.0,199.25,199.25,199.25,0.0,0.0,198.5,198.5,198.5,0.0,0.0,198.52,198.52,198.52,0.0,0.0
2018-07-01,204.58,204.58,204.58,0.0,0.0,204.58,204.58,204.58,0.0,0.0,202.16,202.16,202.16,0.0,0.0,204.55,204.55,204.55,0.0,0.0
2018-07-08,210.32,210.32,210.32,0.0,0.0,210.32,210.32,210.32,0.0,0.0,206.12,206.12,206.12,0.0,0.0,206.12,206.12,206.12,0.0,0.0
2018-07-15,207.01,207.01,207.01,0.0,0.0,208.12,208.12,208.12,0.0,0.0,207.01,207.01,207.01,0.0,0.0,207.4,207.4,207.4,0.0,0.0
2018-07-22,207.88,207.88,207.88,0.0,0.0,207.88,207.88,207.88,0.0,0.0,200.79,200.79,200.79,0.0,0.0,201.32,201.32,201.32,0.0,0.0
2018-07-29,205.46,205.46,205.46,0.0,0.0,205.46,205.46,205.46,0.0,0.0,201.52,201.52,201.52,0.0,0.0,202.28,202.28,202.28,0.0,0.0
