Date,ProShares Short VIX Short-Term FuturesEtf_Open_average,ProShares Short VIX Short-Term FuturesEtf_Open_max,ProShares Short VIX Short-Term FuturesEtf_Open_min,ProShares Short VIX Short-Term FuturesEtf_Open_volatility,ProShares Short VIX Short-Term FuturesEtf_Open_change,ProShares Short VIX Short-Term FuturesEtf_High_average,ProShares Short VIX Short-Term FuturesEtf_High_max,ProShares Short VIX Short-Term FuturesEtf_High_min,ProShares Short VIX Short-Term FuturesEtf_High_volatility,ProShares Short VIX Short-Term FuturesEtf_High_change,ProShares Short VIX Short-Term FuturesEtf_Low_average,ProShares Short VIX Short-Term FuturesEtf_Low_max,ProShares Short VIX Short-Term FuturesEtf_Low_min,ProShares Short VIX Short-Term FuturesEtf_Low_volatility,ProShares Short VIX Short-Term FuturesEtf_Low_change,ProShares Short VIX Short-Term FuturesEtf_Close_average,ProShares Short VIX Short-Term FuturesEtf_Close_max,ProShares Short VIX Short-Term FuturesEtf_Close_min,ProShares Short VIX Short-Term FuturesEtf_Close_volatility,ProShares Short VIX Short-Term FuturesEtf_Close_change
2018-01-14,531.52,531.52,531.52,0.0,0.0,533.2,533.2,533.2,0.0,0.0,520.48,520.48,520.48,0.0,0.0,531.08,531.08,531.08,0.0,0.0
2018-01-21,516.48,516.48,516.48,0.0,0.0,517.72,517.72,517.72,0.0,0.0,508.32,508.32,508.32,0.0,0.0,515.48,515.48,515.48,0.0,0.0
2018-01-28,472.0,472.0,472.0,0.0,0.0,472.35,472.35,472.35,0.0,0.0,412.44,412.44,412.44,0.0,0.0,422.4,422.4,422.4,0.0,0.0
2018-02-04,43.04,43.04,43.04,0.0,0.0,44.6,44.6,44.6,0.0,0.0,38.12,38.12,38.12,0.0,0.0,43.44,43.44,43.44,0.0,0.0
2018-02-11,50.36,50.36,50.36,0.0,0.0,53.04,53.04,53.04,0.0,0.0,49.88,49.88,49.88,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2018-02-18,50.0,50.0,50.0,0.0,0.0,52.72,52.72,52.72,0.0,0.0,49.64,49.64,49.64,0.0,0.0,52.72,52.72,52.72,0.0,0.0
2018-02-25,46.32,46.32,46.32,0.0,0.0,48.68,48.68,48.68,0.0,0.0,45.76,45.76,45.76,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2018-03-04,51.04,51.04,51.04,0.0,0.0,52.92,52.92,52.92,0.0,0.0,51.0,51.0,51.0,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2018-03-11,51.4,51.4,51.4,0.0,0.0,52.28,52.28,52.28,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2018-03-18,47.28,47.28,47.28,0.0,0.0,47.92,47.92,47.92,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2018-03-25,45.72,45.72,45.72,0.0,0.0,46.96,46.96,46.96,0.0,0.0,45.36,45.36,45.36,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2018-04-01,46.04,46.04,46.04,0.0,0.0,46.66,46.66,46.66,0.0,0.0,44.28,44.28,44.28,0.0,0.0,45.52,45.52,45.52,0.0,0.0
2018-04-08,47.28,47.28,47.28,0.0,0.0,47.68,47.68,47.68,0.0,0.0,46.8,46.8,46.8,0.0,0.0,47.56,47.56,47.56,0.0,0.0
2018-04-15,49.64,49.64,49.64,0.0,0.0,50.0,50.0,50.0,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2018-04-22,49.32,49.32,49.32,0.0,0.0,49.52,49.52,49.52,0.0,0.0,48.48,48.48,48.48,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2018-04-29,48.96,48.96,48.96,0.0,0.0,50.28,50.28,50.28,0.0,0.0,48.8,48.8,48.8,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-05-06,52.6,52.6,52.6,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.28,52.28,52.28,0.0,0.0,53.08,53.08,53.08,0.0,0.0
2018-05-13,53.32,53.32,53.32,0.0,0.0,53.52,53.52,53.52,0.0,0.0,52.8,52.8,52.8,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2018-05-20,54.0,54.0,54.0,0.0,0.0,54.6,54.6,54.6,0.0,0.0,53.76,53.76,53.76,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-05-27,52.8,52.8,52.8,0.0,0.0,53.2,53.2,53.2,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.72,52.72,52.72,0.0,0.0
2018-06-03,54.24,54.24,54.24,0.0,0.0,55.16,55.16,55.16,0.0,0.0,54.16,54.16,54.16,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2018-06-10,55.48,55.48,55.48,0.0,0.0,55.88,55.88,55.88,0.0,0.0,54.96,54.96,54.96,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2018-06-17,54.36,54.36,54.36,0.0,0.0,54.62,54.62,54.62,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2018-06-24,51.24,51.24,51.24,0.0,0.0,51.84,51.84,51.84,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-07-01,51.6,51.6,51.6,0.0,0.0,53.0,53.0,53.0,0.0,0.0,51.56,51.56,51.56,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2018-07-08,54.56,54.56,54.56,0.0,0.0,55.2,55.2,55.2,0.0,0.0,54.31,54.31,54.31,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-07-15,54.92,54.92,54.92,0.0,0.0,55.52,55.52,55.52,0.0,0.0,54.8,54.8,54.8,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2018-07-22,56.12,56.12,56.12,0.0,0.0,56.12,56.12,56.12,0.0,0.0,54.2,54.2,54.2,0.0,0.0,55.0,55.0,55.0,0.0,0.0
