Date,John Hancock Multifactor Mid CapEtf_Open_average,John Hancock Multifactor Mid CapEtf_Open_max,John Hancock Multifactor Mid CapEtf_Open_min,John Hancock Multifactor Mid CapEtf_Open_volatility,John Hancock Multifactor Mid CapEtf_Open_change,John Hancock Multifactor Mid CapEtf_High_average,John Hancock Multifactor Mid CapEtf_High_max,John Hancock Multifactor Mid CapEtf_High_min,John Hancock Multifactor Mid CapEtf_High_volatility,John Hancock Multifactor Mid CapEtf_High_change,John Hancock Multifactor Mid CapEtf_Low_average,John Hancock Multifactor Mid CapEtf_Low_max,John Hancock Multifactor Mid CapEtf_Low_min,John Hancock Multifactor Mid CapEtf_Low_volatility,John Hancock Multifactor Mid CapEtf_Low_change,John Hancock Multifactor Mid CapEtf_Close_average,John Hancock Multifactor Mid CapEtf_Close_max,John Hancock Multifactor Mid CapEtf_Close_min,John Hancock Multifactor Mid CapEtf_Close_volatility,John Hancock Multifactor Mid CapEtf_Close_change
2018-01-14,35.43,35.43,35.43,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-01-21,36.17,36.17,36.17,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2018-01-28,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.98,34.98,34.98,0.0,0.0
2018-02-04,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0,32.21,32.21,32.21,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-02-11,34.62,34.62,34.62,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-02-18,34.58,34.58,34.58,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-02-25,34.15,34.15,34.15,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.63,33.63,33.63,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2018-03-04,35.58,35.58,35.58,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2018-03-11,35.25,35.25,35.25,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-03-18,34.32,34.32,34.32,0.0,0.0,34.37,34.37,34.37,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.57,33.57,33.57,0.0,0.0
