Date,ACFNStock_Open_average,ACFNStock_Open_max,ACFNStock_Open_min,ACFNStock_Open_volatility,ACFNStock_Open_change,ACFNStock_High_average,ACFNStock_High_max,ACFNStock_High_min,ACFNStock_High_volatility,ACFNStock_High_change,ACFNStock_Low_average,ACFNStock_Low_max,ACFNStock_Low_min,ACFNStock_Low_volatility,ACFNStock_Low_change,ACFNStock_Close_average,ACFNStock_Close_max,ACFNStock_Close_min,ACFNStock_Close_volatility,ACFNStock_Close_change,ACFNStock_Volume_average,ACFNStock_Volume_max,ACFNStock_Volume_min,ACFNStock_Volume_volatility,ACFNStock_Volume_change
2018-01-14,0.23099999999999998,0.239,0.226,0.012999999999999984,0.00899999999999998,0.252,0.29,0.239,0.05099999999999999,0.05099999999999999,0.202,0.239,0.149,0.09,0.09,0.23750000000000002,0.26,0.23,0.03,0.03,114940,240722,39888,200834,145582
2018-01-21,0.2646,0.275,0.25,0.025000000000000022,0.025000000000000022,0.29560000000000003,0.32,0.278,0.04199999999999998,-0.04199999999999998,0.2554,0.26,0.25,0.010000000000000009,0.0010000000000000009,0.2682,0.28,0.258,0.02200000000000002,-0.016000000000000014,178314,261929,69613,192316,-177418
2018-01-28,0.2536,0.265,0.24100000000000002,0.023999999999999994,0.010000000000000009,0.26480000000000004,0.27,0.26,0.010000000000000009,-0.0050000000000000044,0.244,0.25,0.23,0.01999999999999999,0.0,0.255,0.265,0.25,0.015000000000000013,0.0,82884,126593,6700,119893,-485
2018-02-04,0.243,0.27,0.22,0.05000000000000002,-0.014999999999999986,0.27,0.3,0.23,0.06999999999999998,-0.01999999999999999,0.2168,0.221,0.213,0.008000000000000007,0.0020000000000000018,0.2482,0.3,0.22,0.07999999999999999,0.010000000000000009,45492,77721,1180,76541,43407
2018-02-11,0.239,0.255,0.215,0.04000000000000001,0.04000000000000001,0.2676,0.3,0.255,0.044999999999999984,0.0,0.2286,0.24600000000000002,0.215,0.031000000000000028,0.0050000000000000044,0.2498,0.26,0.24,0.020000000000000018,0.00899999999999998,72165,144908,7548,137360,70184
2018-02-18,0.23625,0.25,0.22,0.03,-0.010000000000000009,0.25775,0.29,0.24100000000000002,0.04899999999999996,0.03999999999999998,0.23374999999999999,0.24,0.22,0.01999999999999999,0.0,0.25125000000000003,0.28,0.24100000000000002,0.03900000000000001,0.038000000000000034,70059,193288,4876,188412,181597
2018-02-25,0.2848,0.294,0.27,0.023999999999999966,0.013999999999999957,0.2948,0.3,0.29,0.010000000000000009,0.0040000000000000036,0.2698,0.28,0.25,0.030000000000000027,-0.030000000000000027,0.281,0.29,0.27,0.019999999999999962,-0.0050000000000000044,45541,96853,15278,81575,18040
2018-03-04,0.277,0.29,0.27,0.019999999999999962,-0.0050000000000000044,0.286,0.29,0.28,0.009999999999999953,0.0,0.2716,0.275,0.268,0.007000000000000006,-0.007000000000000006,0.2776,0.29,0.268,0.021999999999999964,-0.021999999999999964,22204,40738,8745,31993,31993
2018-03-11,0.279,0.29,0.265,0.024999999999999967,0.024999999999999967,0.2888,0.29600000000000004,0.28,0.016000000000000014,0.0019999999999999463,0.2682,0.28,0.26,0.020000000000000018,0.006000000000000005,0.2828,0.29600000000000004,0.26,0.03600000000000003,-0.008000000000000007,31634,51079,22262,28817,9918
2018-03-18,0.2862,0.29,0.281,0.008999999999999952,-0.003999999999999948,0.293,0.3,0.285,0.015000000000000013,0.015000000000000013,0.273,0.281,0.262,0.019000000000000017,0.010000000000000009,0.2908,0.3,0.27899999999999997,0.02100000000000002,0.02100000000000002,35679,93539,11636,81903,-12608
2018-03-25,0.29,0.3,0.27,0.02999999999999997,0.02999999999999997,0.305,0.32,0.3,0.020000000000000018,0.020000000000000018,0.2855,0.3,0.262,0.03799999999999998,0.03799999999999998,0.3,0.32,0.29,0.030000000000000027,0.030000000000000027,149292,281485,15500,265985,265985
2018-04-01,0.363,0.39,0.32,0.07,0.05499999999999999,0.3856,0.39,0.38,0.010000000000000009,-0.007999999999999952,0.3546,0.376,0.32,0.055999999999999994,0.04099999999999998,0.3722,0.38,0.36,0.020000000000000018,0.0050000000000000044,98111,210599,11060,199539,-169979
2018-04-08,0.383,0.395,0.364,0.031000000000000028,0.0050000000000000044,0.392,0.4,0.38,0.020000000000000018,0.010000000000000009,0.3736,0.381,0.36200000000000004,0.01899999999999996,0.01899999999999996,0.3774,0.382,0.363,0.019000000000000017,0.018000000000000016,55942,78788,25325,53463,-38596
2018-04-15,0.398,0.41200000000000003,0.385,0.027000000000000024,-0.015000000000000013,0.4282,0.45,0.4,0.04999999999999999,0.027000000000000024,0.3842,0.395,0.38,0.015000000000000013,0.0050000000000000044,0.4096,0.425,0.4,0.024999999999999967,0.0,57358,114946,30125,84821,5964
