Date,SPDR Barclays Long Term TreasuryEtf_Open_average,SPDR Barclays Long Term TreasuryEtf_Open_max,SPDR Barclays Long Term TreasuryEtf_Open_min,SPDR Barclays Long Term TreasuryEtf_Open_volatility,SPDR Barclays Long Term TreasuryEtf_Open_change,SPDR Barclays Long Term TreasuryEtf_High_average,SPDR Barclays Long Term TreasuryEtf_High_max,SPDR Barclays Long Term TreasuryEtf_High_min,SPDR Barclays Long Term TreasuryEtf_High_volatility,SPDR Barclays Long Term TreasuryEtf_High_change,SPDR Barclays Long Term TreasuryEtf_Low_average,SPDR Barclays Long Term TreasuryEtf_Low_max,SPDR Barclays Long Term TreasuryEtf_Low_min,SPDR Barclays Long Term TreasuryEtf_Low_volatility,SPDR Barclays Long Term TreasuryEtf_Low_change,SPDR Barclays Long Term TreasuryEtf_Close_average,SPDR Barclays Long Term TreasuryEtf_Close_max,SPDR Barclays Long Term TreasuryEtf_Close_min,SPDR Barclays Long Term TreasuryEtf_Close_volatility,SPDR Barclays Long Term TreasuryEtf_Close_change
2018-01-14,35.53,35.53,35.53,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2018-01-21,35.66,35.66,35.66,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-01-28,34.57,34.57,34.57,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2018-02-04,34.05,34.05,34.05,0.0,0.0,34.29,34.29,34.29,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2018-02-11,34.28,34.28,34.28,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2018-02-18,33.95,33.95,33.95,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.92,33.92,33.92,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2018-02-25,34.2,34.2,34.2,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2018-03-04,33.97,33.97,33.97,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2018-03-11,34.52,34.52,34.52,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2018-03-18,34.49,34.49,34.49,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.61,34.61,34.61,0.0,0.0
