Date,ProShares UltraPro Short Dow 30Etf_Open_average,ProShares UltraPro Short Dow 30Etf_Open_max,ProShares UltraPro Short Dow 30Etf_Open_min,ProShares UltraPro Short Dow 30Etf_Open_volatility,ProShares UltraPro Short Dow 30Etf_Open_change,ProShares UltraPro Short Dow 30Etf_High_average,ProShares UltraPro Short Dow 30Etf_High_max,ProShares UltraPro Short Dow 30Etf_High_min,ProShares UltraPro Short Dow 30Etf_High_volatility,ProShares UltraPro Short Dow 30Etf_High_change,ProShares UltraPro Short Dow 30Etf_Low_average,ProShares UltraPro Short Dow 30Etf_Low_max,ProShares UltraPro Short Dow 30Etf_Low_min,ProShares UltraPro Short Dow 30Etf_Low_volatility,ProShares UltraPro Short Dow 30Etf_Low_change,ProShares UltraPro Short Dow 30Etf_Close_average,ProShares UltraPro Short Dow 30Etf_Close_max,ProShares UltraPro Short Dow 30Etf_Close_min,ProShares UltraPro Short Dow 30Etf_Close_volatility,ProShares UltraPro Short Dow 30Etf_Close_change
2018-01-14,67.08,67.08,67.08,0.0,0.0,67.6,67.6,67.6,0.0,0.0,66.64,66.64,66.64,0.0,0.0,66.68,66.68,66.68,0.0,0.0
2018-01-21,63.92,63.92,63.92,0.0,0.0,64.0,64.0,64.0,0.0,0.0,62.68,62.68,62.68,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2018-01-28,67.2,67.2,67.2,0.0,0.0,71.0,71.0,71.0,0.0,0.0,67.13,67.13,67.13,0.0,0.0,70.84,70.84,70.84,0.0,0.0
2018-02-04,81.48,81.48,81.48,0.0,0.0,89.52,89.52,89.52,0.0,0.0,78.61,78.61,78.61,0.0,0.0,80.56,80.56,80.56,0.0,0.0
2018-02-11,71.52,71.52,71.52,0.0,0.0,71.52,71.52,71.52,0.0,0.0,68.96,68.96,68.96,0.0,0.0,70.8,70.8,70.8,0.0,0.0
2018-02-18,71.84,71.84,71.84,0.0,0.0,72.4,72.4,72.4,0.0,0.0,69.84,69.84,69.84,0.0,0.0,69.84,69.84,69.84,0.0,0.0
2018-02-25,78.12,78.12,78.12,0.0,0.0,79.18,79.18,79.18,0.0,0.0,75.7,75.7,75.7,0.0,0.0,76.32,76.32,76.32,0.0,0.0
2018-03-04,71.24,71.24,71.24,0.0,0.0,71.74,71.74,71.74,0.0,0.0,68.88,68.88,68.88,0.0,0.0,69.0,69.0,69.0,0.0,0.0
2018-03-11,72.64,72.64,72.64,0.0,0.0,72.96,72.96,72.96,0.0,0.0,71.4,71.4,71.4,0.0,0.0,72.36,72.36,72.36,0.0,0.0
2018-03-18,80.36,80.36,80.36,0.0,0.0,85.49,85.49,85.49,0.0,0.0,79.36,79.36,79.36,0.0,0.0,85.24,85.24,85.24,0.0,0.0
