Date,Vanguard Mid-Cap GrowthEtf_Open_average,Vanguard Mid-Cap GrowthEtf_Open_max,Vanguard Mid-Cap GrowthEtf_Open_min,Vanguard Mid-Cap GrowthEtf_Open_volatility,Vanguard Mid-Cap GrowthEtf_Open_change,Vanguard Mid-Cap GrowthEtf_High_average,Vanguard Mid-Cap GrowthEtf_High_max,Vanguard Mid-Cap GrowthEtf_High_min,Vanguard Mid-Cap GrowthEtf_High_volatility,Vanguard Mid-Cap GrowthEtf_High_change,Vanguard Mid-Cap GrowthEtf_Low_average,Vanguard Mid-Cap GrowthEtf_Low_max,Vanguard Mid-Cap GrowthEtf_Low_min,Vanguard Mid-Cap GrowthEtf_Low_volatility,Vanguard Mid-Cap GrowthEtf_Low_change,Vanguard Mid-Cap GrowthEtf_Close_average,Vanguard Mid-Cap GrowthEtf_Close_max,Vanguard Mid-Cap GrowthEtf_Close_min,Vanguard Mid-Cap GrowthEtf_Close_volatility,Vanguard Mid-Cap GrowthEtf_Close_change
2018-01-14,132.82,132.82,132.82,0.0,0.0,133.55,133.55,133.55,0.0,0.0,132.82,132.82,132.82,0.0,0.0,133.55,133.55,133.55,0.0,0.0
2018-01-21,135.1,135.1,135.1,0.0,0.0,136.23,136.23,136.23,0.0,0.0,135.09,135.09,135.09,0.0,0.0,136.23,136.23,136.23,0.0,0.0
2018-01-28,133.16,133.16,133.16,0.0,0.0,133.17,133.17,133.17,0.0,0.0,131.2,131.2,131.2,0.0,0.0,131.33,131.33,131.33,0.0,0.0
2018-02-04,124.34,124.34,124.34,0.0,0.0,125.65,125.65,125.65,0.0,0.0,120.85,120.85,120.85,0.0,0.0,124.81,124.81,124.81,0.0,0.0
2018-02-11,130.35,130.35,130.35,0.0,0.0,131.5,131.5,131.5,0.0,0.0,130.29,130.29,130.29,0.0,0.0,130.64,130.64,130.64,0.0,0.0
2018-02-18,130.17,130.17,130.17,0.0,0.0,131.16,131.16,131.16,0.0,0.0,129.57,129.57,129.57,0.0,0.0,131.16,131.16,131.16,0.0,0.0
2018-02-25,127.47,127.47,127.47,0.0,0.0,129.98,129.98,129.98,0.0,0.0,127.11,127.11,127.11,0.0,0.0,129.82,129.82,129.82,0.0,0.0
2018-03-04,134.22,134.22,134.22,0.0,0.0,135.68,135.68,135.68,0.0,0.0,134.1,134.1,134.1,0.0,0.0,135.68,135.68,135.68,0.0,0.0
2018-03-11,134.46,134.46,134.46,0.0,0.0,135.06,135.06,135.06,0.0,0.0,134.44,134.44,134.44,0.0,0.0,134.77,134.77,134.77,0.0,0.0
2018-03-18,130.43,130.43,130.43,0.0,0.0,131.01,131.01,131.01,0.0,0.0,127.71,127.71,127.71,0.0,0.0,127.87,127.87,127.87,0.0,0.0
