Date,DB Gold Short Exp 15 Feb 2038Etf_Open_average,DB Gold Short Exp 15 Feb 2038Etf_Open_max,DB Gold Short Exp 15 Feb 2038Etf_Open_min,DB Gold Short Exp 15 Feb 2038Etf_Open_volatility,DB Gold Short Exp 15 Feb 2038Etf_Open_change,DB Gold Short Exp 15 Feb 2038Etf_High_average,DB Gold Short Exp 15 Feb 2038Etf_High_max,DB Gold Short Exp 15 Feb 2038Etf_High_min,DB Gold Short Exp 15 Feb 2038Etf_High_volatility,DB Gold Short Exp 15 Feb 2038Etf_High_change,DB Gold Short Exp 15 Feb 2038Etf_Low_average,DB Gold Short Exp 15 Feb 2038Etf_Low_max,DB Gold Short Exp 15 Feb 2038Etf_Low_min,DB Gold Short Exp 15 Feb 2038Etf_Low_volatility,DB Gold Short Exp 15 Feb 2038Etf_Low_change,DB Gold Short Exp 15 Feb 2038Etf_Close_average,DB Gold Short Exp 15 Feb 2038Etf_Close_max,DB Gold Short Exp 15 Feb 2038Etf_Close_min,DB Gold Short Exp 15 Feb 2038Etf_Close_volatility,DB Gold Short Exp 15 Feb 2038Etf_Close_change
2018-01-14,13.39,13.39,13.39,0.0,0.0,13.39,13.39,13.39,0.0,0.0,13.27,13.27,13.27,0.0,0.0,13.27,13.27,13.27,0.0,0.0
2018-01-21,13.2,13.2,13.2,0.0,0.0,13.23,13.23,13.23,0.0,0.0,13.08,13.08,13.08,0.0,0.0,13.23,13.23,13.23,0.0,0.0
2018-01-28,13.35,13.35,13.35,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.28,13.28,13.28,0.0,0.0,13.43,13.43,13.43,0.0,0.0
2018-02-04,13.51,13.51,13.51,0.0,0.0,13.54,13.54,13.54,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2018-02-11,13.19,13.19,13.19,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.22,13.22,13.22,0.0,0.0
2018-02-18,13.4,13.4,13.4,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.42,13.42,13.42,0.0,0.0
2018-02-25,13.45,13.45,13.45,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.45,13.45,13.45,0.0,0.0
2018-03-04,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0
2018-03-11,13.56,13.56,13.56,0.0,0.0,13.56,13.56,13.56,0.0,0.0,13.52,13.52,13.52,0.0,0.0,13.52,13.52,13.52,0.0,0.0
2018-03-18,13.25,13.25,13.25,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.29,13.29,13.29,0.0,0.0
2018-03-25,13.58,13.58,13.58,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.55,13.55,13.55,0.0,0.0
2018-04-01,13.48,13.48,13.48,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.42,13.42,13.42,0.0,0.0
2018-04-08,13.28,13.28,13.28,0.0,0.0,13.28,13.28,13.28,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.26,13.26,13.26,0.0,0.0
2018-04-15,13.34,13.34,13.34,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.34,13.34,13.34,0.0,0.0
2018-04-22,13.57,13.57,13.57,0.0,0.0,13.57,13.57,13.57,0.0,0.0,13.56,13.56,13.56,0.0,0.0,13.57,13.57,13.57,0.0,0.0
2018-04-29,13.58,13.58,13.58,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.61,13.61,13.61,0.0,0.0
2018-05-06,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2018-05-13,13.92,13.92,13.92,0.0,0.0,13.92,13.92,13.92,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.92,13.92,13.92,0.0,0.0
2018-05-20,13.78,13.78,13.78,0.0,0.0,13.78,13.78,13.78,0.0,0.0,13.78,13.78,13.78,0.0,0.0,13.78,13.78,13.78,0.0,0.0
2018-05-27,13.87,13.87,13.87,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.82,13.82,13.82,0.0,0.0,13.9,13.9,13.9,0.0,0.0
2018-06-03,13.81,13.81,13.81,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.8,13.8,13.8,0.0,0.0
2018-06-10,13.91,13.91,13.91,0.0,0.0,14.11,14.11,14.11,0.0,0.0,13.89,13.89,13.89,0.0,0.0,14.05,14.05,14.05,0.0,0.0
2018-06-17,14.2,14.2,14.2,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.15,14.15,14.15,0.0,0.0,14.16,14.16,14.16,0.0,0.0
2018-06-24,14.34,14.34,14.34,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.35,14.35,14.35,0.0,0.0
2018-07-01,14.32,14.32,14.32,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.32,14.32,14.32,0.0,0.0
2018-07-08,14.45,14.45,14.45,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.46,14.46,14.46,0.0,0.0
2018-07-15,14.7,14.7,14.7,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.65,14.65,14.65,0.0,0.0
2018-07-22,14.66,14.66,14.66,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.71,14.71,14.71,0.0,0.0
2018-07-29,14.79,14.79,14.79,0.0,0.0,14.98,14.98,14.98,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.85,14.85,14.85,0.0,0.0
2018-08-05,15.19,15.19,15.19,0.0,0.0,15.19,15.19,15.19,0.0,0.0,14.97,14.97,14.97,0.0,0.0,15.19,15.19,15.19,0.0,0.0
2018-08-12,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0
2018-08-19,15.16,15.16,15.16,0.0,0.0,15.16,15.16,15.16,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.97,14.97,14.97,0.0,0.0
2018-08-26,15.04,15.04,15.04,0.0,0.0,15.06,15.06,15.06,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2018-09-02,15.14,15.14,15.14,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2018-09-09,15.04,15.04,15.04,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2018-09-16,15.13,15.13,15.13,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2018-09-23,15.3,15.3,15.3,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.21,15.21,15.21,0.0,0.0
2018-09-30,15.07,15.07,15.07,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2018-10-07,14.87,14.87,14.87,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.87,14.87,14.87,0.0,0.0
2018-10-14,14.77,14.77,14.77,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2018-10-21,14.6,14.6,14.6,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.71,14.71,14.71,0.0,0.0
2018-10-28,14.74,14.74,14.74,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.75,14.75,14.75,0.0,0.0
2018-11-04,15.04,15.04,15.04,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.05,15.05,15.05,0.0,0.0
2018-11-11,14.9,14.9,14.9,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2018-11-18,14.85,14.85,14.85,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.87,14.87,14.87,0.0,0.0
2018-11-25,14.95,14.95,14.95,0.0,0.0,15.04,15.04,15.04,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.89,14.89,14.89,0.0,0.0
2018-12-02,14.66,14.66,14.66,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.63,14.63,14.63,0.0,0.0
