Date,Victory CEMP International Volatility WeightedEtf_Open_average,Victory CEMP International Volatility WeightedEtf_Open_max,Victory CEMP International Volatility WeightedEtf_Open_min,Victory CEMP International Volatility WeightedEtf_Open_volatility,Victory CEMP International Volatility WeightedEtf_Open_change,Victory CEMP International Volatility WeightedEtf_High_average,Victory CEMP International Volatility WeightedEtf_High_max,Victory CEMP International Volatility WeightedEtf_High_min,Victory CEMP International Volatility WeightedEtf_High_volatility,Victory CEMP International Volatility WeightedEtf_High_change,Victory CEMP International Volatility WeightedEtf_Low_average,Victory CEMP International Volatility WeightedEtf_Low_max,Victory CEMP International Volatility WeightedEtf_Low_min,Victory CEMP International Volatility WeightedEtf_Low_volatility,Victory CEMP International Volatility WeightedEtf_Low_change,Victory CEMP International Volatility WeightedEtf_Close_average,Victory CEMP International Volatility WeightedEtf_Close_max,Victory CEMP International Volatility WeightedEtf_Close_min,Victory CEMP International Volatility WeightedEtf_Close_volatility,Victory CEMP International Volatility WeightedEtf_Close_change
2018-01-14,42.61,42.61,42.61,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.61,42.61,42.61,0.0,0.0
2018-01-21,43.31,43.31,43.31,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.31,43.31,43.31,0.0,0.0
2018-01-28,41.98,41.98,41.98,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.95,41.95,41.95,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2018-02-04,39.1,39.1,39.1,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2018-02-11,41.35,41.35,41.35,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2018-02-18,41.37,41.37,41.37,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2018-02-25,40.15,40.15,40.15,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.32,40.32,40.32,0.0,0.0
2018-03-04,41.05,41.05,41.05,0.0,0.0,41.21,41.21,41.21,0.0,0.0,40.98,40.98,40.98,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-03-11,40.97,40.97,40.97,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.97,40.97,40.97,0.0,0.0
2018-03-18,39.93,39.93,39.93,0.0,0.0,39.93,39.93,39.93,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.92,39.92,39.92,0.0,0.0
