Date,TUPStock_Open_average,TUPStock_Open_max,TUPStock_Open_min,TUPStock_Open_volatility,TUPStock_Open_change,TUPStock_High_average,TUPStock_High_max,TUPStock_High_min,TUPStock_High_volatility,TUPStock_High_change,TUPStock_Low_average,TUPStock_Low_max,TUPStock_Low_min,TUPStock_Low_volatility,TUPStock_Low_change,TUPStock_Close_average,TUPStock_Close_max,TUPStock_Close_min,TUPStock_Close_volatility,TUPStock_Close_change,TUPStock_Volume_average,TUPStock_Volume_max,TUPStock_Volume_min,TUPStock_Volume_volatility,TUPStock_Volume_change
2018-01-14,63.432500000000005,64.7,62.38,2.3200000000000003,-2.3200000000000003,63.97,64.7,63.42,1.2800000000000011,-0.8200000000000003,62.4125,62.99,62.06,0.9299999999999997,-0.44000000000000483,63.095,63.71,62.12,1.5900000000000034,0.7100000000000009,388242,503144,258680,244464,-101678
2018-01-21,64.35,65.17,63.32,1.8500000000000014,1.1000000000000014,65.136,66.26,64.31,1.9500000000000028,1.9500000000000028,63.696,64.16,63.15,1.009999999999998,0.6799999999999997,64.426,65.44,63.81,1.6299999999999955,1.2000000000000028,430193,541712,347072,194640,-4296
2018-01-28,60.256,65.05,55.64,9.409999999999997,-9.409999999999997,61.312000000000005,66.23,56.82,9.410000000000004,-9.410000000000004,58.608000000000004,63.97,54.32,9.649999999999999,-9.649999999999999,59.376,64.06,54.55,9.510000000000005,-9.510000000000005,1419409,2680058,582203,2097855,343819
2018-02-04,51.938,53.89,50.5,3.3900000000000006,-1.1700000000000017,53.004,54.55,51.81,2.739999999999995,-1.1499999999999986,50.018,51.55,49.04,2.509999999999998,-2.509999999999998,50.722,51.64,49.43,2.210000000000001,-0.75,1363795,1632146,954860,677286,133300
2018-02-11,51.178,52.0,50.46,1.5399999999999991,0.5899999999999963,51.746,52.27,51.11,1.1600000000000037,0.509999999999998,50.571999999999996,51.26,50.03,1.2299999999999969,0.8799999999999955,51.31,51.87,50.92,0.9499999999999957,-0.14999999999999858,776442,885721,588098,297623,-297623
2018-02-18,50.7475,51.09,50.6,0.490000000000002,0.4000000000000057,51.2525,51.59,50.89,0.7000000000000028,0.6500000000000057,50.3225,50.82,49.9,0.9200000000000017,0.7000000000000028,50.7825,51.58,50.37,1.2100000000000009,1.2100000000000009,605766,825821,420484,405337,-254207
2018-02-25,50.586,52.31,48.9,3.4100000000000037,-2.719999999999999,51.282,52.57,49.66,2.9100000000000037,-2.9100000000000037,49.592,51.0,48.45,2.549999999999997,-2.549999999999997,50.182,52.22,49.05,3.1700000000000017,-2.6400000000000006,609256,735917,492484,243433,18818
2018-03-04,50.178,50.63,49.33,1.3000000000000043,1.1000000000000014,50.898,51.34,50.3,1.0400000000000063,0.7100000000000009,49.526,49.7,49.28,0.4200000000000017,0.4200000000000017,50.508,51.11,49.95,1.1599999999999966,0.5600000000000023,533993,599403,459398,140005,-19349
2018-03-11,50.135999999999996,51.61,48.5,3.1099999999999994,-2.490000000000002,50.594,52.0,48.91,3.0900000000000034,-2.6799999999999997,49.054,50.6,47.66,2.940000000000005,-2.1200000000000045,49.658,51.57,48.43,3.1400000000000006,-2.460000000000001,1885197,5023502,825485,4198017,4198017
2018-03-18,47.47,48.36,46.76,1.6000000000000014,-1.4099999999999966,47.854,48.47,47.43,1.0399999999999991,-1.0399999999999991,46.800000000000004,47.34,46.14,1.2000000000000028,-1.2000000000000028,47.068,47.91,46.21,1.6999999999999957,-1.6999999999999957,678599,800126,604302,195824,-181050
