Date,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_average,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_max,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_min,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_volatility,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_change,First Trust Developed Markets ex-US Small Cap AlphEtf_High_average,First Trust Developed Markets ex-US Small Cap AlphEtf_High_max,First Trust Developed Markets ex-US Small Cap AlphEtf_High_min,First Trust Developed Markets ex-US Small Cap AlphEtf_High_volatility,First Trust Developed Markets ex-US Small Cap AlphEtf_High_change,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_average,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_max,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_min,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_volatility,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_change,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_average,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_max,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_min,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_volatility,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_change
2018-01-14,46.74,46.74,46.74,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-01-21,48.1,48.1,48.1,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.06,48.06,48.06,0.0,0.0
2018-01-28,46.46,46.46,46.46,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.15,46.15,46.15,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2018-02-04,43.08,43.08,43.08,0.0,0.0,43.08,43.08,43.08,0.0,0.0,41.96,41.96,41.96,0.0,0.0,42.74,42.74,42.74,0.0,0.0
2018-02-11,44.34,44.34,44.34,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.19,44.19,44.19,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2018-02-18,45.07,45.07,45.07,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.07,45.07,45.07,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2018-02-25,43.2,43.2,43.2,0.0,0.0,44.27,44.27,44.27,0.0,0.0,42.94,42.94,42.94,0.0,0.0,43.44,43.44,43.44,0.0,0.0
2018-03-04,44.24,44.24,44.24,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.4,44.4,44.4,0.0,0.0
2018-03-11,44.65,44.65,44.65,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.65,44.65,44.65,0.0,0.0
2018-03-18,43.48,43.48,43.48,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.09,43.09,43.09,0.0,0.0
