Date,iShares Short Maturity Muni BondEtf_Open_average,iShares Short Maturity Muni BondEtf_Open_max,iShares Short Maturity Muni BondEtf_Open_min,iShares Short Maturity Muni BondEtf_Open_volatility,iShares Short Maturity Muni BondEtf_Open_change,iShares Short Maturity Muni BondEtf_High_average,iShares Short Maturity Muni BondEtf_High_max,iShares Short Maturity Muni BondEtf_High_min,iShares Short Maturity Muni BondEtf_High_volatility,iShares Short Maturity Muni BondEtf_High_change,iShares Short Maturity Muni BondEtf_Low_average,iShares Short Maturity Muni BondEtf_Low_max,iShares Short Maturity Muni BondEtf_Low_min,iShares Short Maturity Muni BondEtf_Low_volatility,iShares Short Maturity Muni BondEtf_Low_change,iShares Short Maturity Muni BondEtf_Close_average,iShares Short Maturity Muni BondEtf_Close_max,iShares Short Maturity Muni BondEtf_Close_min,iShares Short Maturity Muni BondEtf_Close_volatility,iShares Short Maturity Muni BondEtf_Close_change
2018-01-14,49.79,49.79,49.79,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-01-21,49.84,49.84,49.84,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-01-28,49.8,49.8,49.8,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-02-04,49.76,49.76,49.76,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-02-11,49.76,49.76,49.76,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2018-02-18,49.79,49.79,49.79,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-02-25,49.79,49.79,49.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-03-04,49.79,49.79,49.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2018-03-11,49.77,49.77,49.77,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-03-18,49.76,49.76,49.76,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.78,49.78,49.78,0.0,0.0
