Date,iShares MSCI PhilippinesEtf_Open_average,iShares MSCI PhilippinesEtf_Open_max,iShares MSCI PhilippinesEtf_Open_min,iShares MSCI PhilippinesEtf_Open_volatility,iShares MSCI PhilippinesEtf_Open_change,iShares MSCI PhilippinesEtf_High_average,iShares MSCI PhilippinesEtf_High_max,iShares MSCI PhilippinesEtf_High_min,iShares MSCI PhilippinesEtf_High_volatility,iShares MSCI PhilippinesEtf_High_change,iShares MSCI PhilippinesEtf_Low_average,iShares MSCI PhilippinesEtf_Low_max,iShares MSCI PhilippinesEtf_Low_min,iShares MSCI PhilippinesEtf_Low_volatility,iShares MSCI PhilippinesEtf_Low_change,iShares MSCI PhilippinesEtf_Close_average,iShares MSCI PhilippinesEtf_Close_max,iShares MSCI PhilippinesEtf_Close_min,iShares MSCI PhilippinesEtf_Close_volatility,iShares MSCI PhilippinesEtf_Close_change
2018-01-14,39.4,39.4,39.4,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2018-01-21,39.62,39.62,39.62,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2018-01-28,37.75,37.75,37.75,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-02-04,36.72,36.72,36.72,0.0,0.0,36.85,36.85,36.85,0.0,0.0,35.63,35.63,35.63,0.0,0.0,36.59,36.59,36.59,0.0,0.0
2018-02-11,37.11,37.11,37.11,0.0,0.0,37.42,37.42,37.42,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-02-18,36.84,36.84,36.84,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-02-25,35.71,35.71,35.71,0.0,0.0,36.24,36.24,36.24,0.0,0.0,35.62,35.62,35.62,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-03-04,36.11,36.11,36.11,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.09,36.09,36.09,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2018-03-11,35.54,35.54,35.54,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.45,35.45,35.45,0.0,0.0
2018-03-18,34.22,34.22,34.22,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0
