Date,ProShares Ultra MSCI Brazil CappedEtf_Open_average,ProShares Ultra MSCI Brazil CappedEtf_Open_max,ProShares Ultra MSCI Brazil CappedEtf_Open_min,ProShares Ultra MSCI Brazil CappedEtf_Open_volatility,ProShares Ultra MSCI Brazil CappedEtf_Open_change,ProShares Ultra MSCI Brazil CappedEtf_High_average,ProShares Ultra MSCI Brazil CappedEtf_High_max,ProShares Ultra MSCI Brazil CappedEtf_High_min,ProShares Ultra MSCI Brazil CappedEtf_High_volatility,ProShares Ultra MSCI Brazil CappedEtf_High_change,ProShares Ultra MSCI Brazil CappedEtf_Low_average,ProShares Ultra MSCI Brazil CappedEtf_Low_max,ProShares Ultra MSCI Brazil CappedEtf_Low_min,ProShares Ultra MSCI Brazil CappedEtf_Low_volatility,ProShares Ultra MSCI Brazil CappedEtf_Low_change,ProShares Ultra MSCI Brazil CappedEtf_Close_average,ProShares Ultra MSCI Brazil CappedEtf_Close_max,ProShares Ultra MSCI Brazil CappedEtf_Close_min,ProShares Ultra MSCI Brazil CappedEtf_Close_volatility,ProShares Ultra MSCI Brazil CappedEtf_Close_change
2018-01-14,93.24,93.24,93.24,0.0,0.0,93.89,93.89,93.89,0.0,0.0,93.24,93.24,93.24,0.0,0.0,93.47,93.47,93.47,0.0,0.0
2018-01-21,102.83,102.83,102.83,0.0,0.0,106.0,106.0,106.0,0.0,0.0,102.83,102.83,102.83,0.0,0.0,105.4,105.4,105.4,0.0,0.0
2018-01-28,98.51,98.51,98.51,0.0,0.0,98.81,98.81,98.81,0.0,0.0,96.69,96.69,96.69,0.0,0.0,98.01,98.01,98.01,0.0,0.0
2018-02-04,87.39,87.39,87.39,0.0,0.0,87.39,87.39,87.39,0.0,0.0,83.0,83.0,83.0,0.0,0.0,86.83,86.83,86.83,0.0,0.0
2018-02-11,95.37,95.37,95.37,0.0,0.0,99.18,99.18,99.18,0.0,0.0,94.96,94.96,94.96,0.0,0.0,97.21,97.21,97.21,0.0,0.0
2018-02-18,101.4,101.4,101.4,0.0,0.0,102.0,102.0,102.0,0.0,0.0,100.01,100.01,100.01,0.0,0.0,102.0,102.0,102.0,0.0,0.0
2018-02-25,95.09,95.09,95.09,0.0,0.0,97.48,97.48,97.48,0.0,0.0,92.75,92.75,92.75,0.0,0.0,97.48,97.48,97.48,0.0,0.0
2018-03-04,97.46,97.46,97.46,0.0,0.0,99.08,99.08,99.08,0.0,0.0,97.46,97.46,97.46,0.0,0.0,98.95,98.95,98.95,0.0,0.0
2018-03-11,92.91,92.91,92.91,0.0,0.0,93.93,93.93,93.93,0.0,0.0,92.49,92.49,92.49,0.0,0.0,92.49,92.49,92.49,0.0,0.0
2018-03-18,90.79,90.79,90.79,0.0,0.0,92.4,92.4,92.4,0.0,0.0,90.0,90.0,90.0,0.0,0.0,90.0,90.0,90.0,0.0,0.0
2018-03-25,89.26,89.26,89.26,0.0,0.0,93.67,93.67,93.67,0.0,0.0,89.26,89.26,89.26,0.0,0.0,93.25,93.25,93.25,0.0,0.0
2018-04-01,89.11,89.11,89.11,0.0,0.0,89.25,89.25,89.25,0.0,0.0,85.95,85.95,85.95,0.0,0.0,87.0,87.0,87.0,0.0,0.0
2018-04-08,85.6,85.6,85.6,0.0,0.0,85.6,85.6,85.6,0.0,0.0,83.03,83.03,83.03,0.0,0.0,83.73,83.73,83.73,0.0,0.0
2018-04-15,86.76,86.76,86.76,0.0,0.0,86.76,86.76,86.76,0.0,0.0,84.87,84.87,84.87,0.0,0.0,85.48,85.48,85.48,0.0,0.0
2018-04-22,85.93,85.93,85.93,0.0,0.0,86.49,86.49,86.49,0.0,0.0,85.05,85.05,85.05,0.0,0.0,85.72,85.72,85.72,0.0,0.0
2018-04-29,74.7,74.7,74.7,0.0,0.0,77.14,77.14,77.14,0.0,0.0,74.29,74.29,74.29,0.0,0.0,76.3,76.3,76.3,0.0,0.0
2018-05-06,80.3,80.3,80.3,0.0,0.0,80.66,80.66,80.66,0.0,0.0,76.53,76.53,76.53,0.0,0.0,76.7,76.7,76.7,0.0,0.0
2018-05-13,66.16,66.16,66.16,0.0,0.0,67.36,67.36,67.36,0.0,0.0,64.8,64.8,64.8,0.0,0.0,66.86,66.86,66.86,0.0,0.0
2018-05-20,66.28,66.28,66.28,0.0,0.0,66.28,66.28,66.28,0.0,0.0,63.0,63.0,63.0,0.0,0.0,63.09,63.09,63.09,0.0,0.0
2018-05-27,59.4,59.4,59.4,0.0,0.0,59.83,59.83,59.83,0.0,0.0,55.5,55.5,55.5,0.0,0.0,58.25,58.25,58.25,0.0,0.0
2018-06-03,51.62,51.62,51.62,0.0,0.0,53.82,53.82,53.82,0.0,0.0,48.83,48.83,48.83,0.0,0.0,52.74,52.74,52.74,0.0,0.0
2018-06-10,48.22,48.22,48.22,0.0,0.0,49.07,49.07,49.07,0.0,0.0,47.49,47.49,47.49,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-06-17,47.84,47.84,47.84,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.65,47.65,47.65,0.0,0.0
2018-06-24,47.91,47.91,47.91,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2018-07-01,47.9,47.9,47.9,0.0,0.0,50.61,50.61,50.61,0.0,0.0,47.9,47.9,47.9,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2018-07-08,53.0,53.0,53.0,0.0,0.0,53.0,53.0,53.0,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2018-07-15,58.18,58.18,58.18,0.0,0.0,58.92,58.92,58.92,0.0,0.0,57.49,57.49,57.49,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2018-07-22,61.59,61.59,61.59,0.0,0.0,61.59,61.59,61.59,0.0,0.0,61.12,61.12,61.12,0.0,0.0,61.53,61.53,61.53,0.0,0.0
2018-07-29,62.6,62.6,62.6,0.0,0.0,64.08,64.08,64.08,0.0,0.0,62.6,62.6,62.6,0.0,0.0,64.08,64.08,64.08,0.0,0.0
