Date,Fidelity MSCI Telecommunications ServicesEtf_Open_average,Fidelity MSCI Telecommunications ServicesEtf_Open_max,Fidelity MSCI Telecommunications ServicesEtf_Open_min,Fidelity MSCI Telecommunications ServicesEtf_Open_volatility,Fidelity MSCI Telecommunications ServicesEtf_Open_change,Fidelity MSCI Telecommunications ServicesEtf_High_average,Fidelity MSCI Telecommunications ServicesEtf_High_max,Fidelity MSCI Telecommunications ServicesEtf_High_min,Fidelity MSCI Telecommunications ServicesEtf_High_volatility,Fidelity MSCI Telecommunications ServicesEtf_High_change,Fidelity MSCI Telecommunications ServicesEtf_Low_average,Fidelity MSCI Telecommunications ServicesEtf_Low_max,Fidelity MSCI Telecommunications ServicesEtf_Low_min,Fidelity MSCI Telecommunications ServicesEtf_Low_volatility,Fidelity MSCI Telecommunications ServicesEtf_Low_change,Fidelity MSCI Telecommunications ServicesEtf_Close_average,Fidelity MSCI Telecommunications ServicesEtf_Close_max,Fidelity MSCI Telecommunications ServicesEtf_Close_min,Fidelity MSCI Telecommunications ServicesEtf_Close_volatility,Fidelity MSCI Telecommunications ServicesEtf_Close_change
2018-01-14,30.61,30.61,30.61,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-01-21,31.36,31.36,31.36,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-01-28,31.53,31.53,31.53,0.0,0.0,31.53,31.53,31.53,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-02-04,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.3,28.3,28.3,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-02-11,30.06,30.06,30.06,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-02-18,29.42,29.42,29.42,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-02-25,29.48,29.48,29.48,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.71,29.71,29.71,0.0,0.0
2018-03-04,30.58,30.58,30.58,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2018-03-11,29.58,29.58,29.58,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-03-18,28.73,28.73,28.73,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.22,28.22,28.22,0.0,0.0
2018-03-25,28.57,28.57,28.57,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2018-04-01,28.73,28.73,28.73,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2018-04-08,29.4,29.4,29.4,0.0,0.0,29.46,29.46,29.46,0.0,0.0,28.99,28.99,28.99,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2018-04-15,29.57,29.57,29.57,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-04-22,29.53,29.53,29.53,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2018-04-29,28.17,28.17,28.17,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-05-06,28.29,28.29,28.29,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2018-05-13,28.22,28.22,28.22,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.13,28.13,28.13,0.0,0.0
