Date,iShares North American Tech-Multimedia NetworkingEtf_Open_average,iShares North American Tech-Multimedia NetworkingEtf_Open_max,iShares North American Tech-Multimedia NetworkingEtf_Open_min,iShares North American Tech-Multimedia NetworkingEtf_Open_volatility,iShares North American Tech-Multimedia NetworkingEtf_Open_change,iShares North American Tech-Multimedia NetworkingEtf_High_average,iShares North American Tech-Multimedia NetworkingEtf_High_max,iShares North American Tech-Multimedia NetworkingEtf_High_min,iShares North American Tech-Multimedia NetworkingEtf_High_volatility,iShares North American Tech-Multimedia NetworkingEtf_High_change,iShares North American Tech-Multimedia NetworkingEtf_Low_average,iShares North American Tech-Multimedia NetworkingEtf_Low_max,iShares North American Tech-Multimedia NetworkingEtf_Low_min,iShares North American Tech-Multimedia NetworkingEtf_Low_volatility,iShares North American Tech-Multimedia NetworkingEtf_Low_change,iShares North American Tech-Multimedia NetworkingEtf_Close_average,iShares North American Tech-Multimedia NetworkingEtf_Close_max,iShares North American Tech-Multimedia NetworkingEtf_Close_min,iShares North American Tech-Multimedia NetworkingEtf_Close_volatility,iShares North American Tech-Multimedia NetworkingEtf_Close_change
2018-01-14,50.18,50.18,50.18,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2018-01-21,50.04,50.04,50.04,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-01-28,50.62,50.62,50.62,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2018-02-04,49.02,49.02,49.02,0.0,0.0,49.36,49.36,49.36,0.0,0.0,47.72,47.72,47.72,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-02-11,51.32,51.32,51.32,0.0,0.0,51.72,51.72,51.72,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2018-02-18,50.45,50.45,50.45,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.29,50.29,50.29,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-02-25,50.28,50.28,50.28,0.0,0.0,51.57,51.57,51.57,0.0,0.0,50.28,50.28,50.28,0.0,0.0,51.57,51.57,51.57,0.0,0.0
2018-03-04,53.69,53.69,53.69,0.0,0.0,54.3,54.3,54.3,0.0,0.0,53.69,53.69,53.69,0.0,0.0,54.28,54.28,54.28,0.0,0.0
2018-03-11,54.33,54.33,54.33,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.21,54.21,54.21,0.0,0.0
2018-03-18,52.57,52.57,52.57,0.0,0.0,52.88,52.88,52.88,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2018-03-25,50.79,50.79,50.79,0.0,0.0,51.51,51.51,51.51,0.0,0.0,50.57,50.57,50.57,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2018-04-01,51.67,51.67,51.67,0.0,0.0,51.67,51.67,51.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2018-04-08,52.92,52.92,52.92,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.26,52.26,52.26,0.0,0.0
2018-04-15,52.98,52.98,52.98,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2018-04-22,52.16,52.16,52.16,0.0,0.0,52.16,52.16,52.16,0.0,0.0,51.68,51.68,51.68,0.0,0.0,51.86,51.86,51.86,0.0,0.0
2018-04-29,50.83,50.83,50.83,0.0,0.0,51.38,51.38,51.38,0.0,0.0,50.83,50.83,50.83,0.0,0.0,51.34,51.34,51.34,0.0,0.0
2018-05-06,52.67,52.67,52.67,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2018-05-13,51.83,51.83,51.83,0.0,0.0,52.07,52.07,52.07,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-05-20,52.09,52.09,52.09,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2018-05-27,51.65,51.65,51.65,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.97,51.97,51.97,0.0,0.0
2018-06-03,52.41,52.41,52.41,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.61,52.61,52.61,0.0,0.0
2018-06-10,53.54,53.54,53.54,0.0,0.0,53.75,53.75,53.75,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.75,53.75,53.75,0.0,0.0
2018-06-17,53.11,53.11,53.11,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2018-06-24,52.28,52.28,52.28,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.33,52.33,52.33,0.0,0.0
2018-07-01,53.39,53.39,53.39,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.67,53.67,53.67,0.0,0.0
2018-07-08,54.7,54.7,54.7,0.0,0.0,54.91,54.91,54.91,0.0,0.0,53.92,53.92,53.92,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2018-07-15,53.72,53.72,53.72,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.33,53.33,53.33,0.0,0.0
2018-07-22,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.35,52.35,52.35,0.0,0.0
2018-07-29,52.11,52.11,52.11,0.0,0.0,52.23,52.23,52.23,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2018-08-05,53.02,53.02,53.02,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2018-08-12,52.84,52.84,52.84,0.0,0.0,53.52,53.52,53.52,0.0,0.0,52.84,52.84,52.84,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2018-08-19,54.85,54.85,54.85,0.0,0.0,55.54,55.54,55.54,0.0,0.0,54.85,54.85,54.85,0.0,0.0,55.54,55.54,55.54,0.0,0.0
2018-08-26,56.35,56.35,56.35,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.34,56.34,56.34,0.0,0.0
2018-09-02,55.08,55.08,55.08,0.0,0.0,55.43,55.43,55.43,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.73,54.73,54.73,0.0,0.0
2018-09-09,55.32,55.32,55.32,0.0,0.0,55.32,55.32,55.32,0.0,0.0,54.88,54.88,54.88,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-09-16,55.43,55.43,55.43,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-09-23,54.87,54.87,54.87,0.0,0.0,55.18,55.18,55.18,0.0,0.0,54.82,54.82,54.82,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-09-30,53.55,53.55,53.55,0.0,0.0,53.55,53.55,53.55,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.58,52.58,52.58,0.0,0.0
2018-10-07,49.84,49.84,49.84,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-10-14,51.35,51.35,51.35,0.0,0.0,51.62,51.62,51.62,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2018-10-21,49.39,49.39,49.39,0.0,0.0,49.88,49.88,49.88,0.0,0.0,48.54,48.54,48.54,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-10-28,52.01,52.01,52.01,0.0,0.0,52.5,52.5,52.5,0.0,0.0,51.52,51.52,51.52,0.0,0.0,52.11,52.11,52.11,0.0,0.0
2018-11-04,53.18,53.18,53.18,0.0,0.0,53.28,53.28,53.28,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2018-11-11,51.05,51.05,51.05,0.0,0.0,51.33,51.33,51.33,0.0,0.0,50.85,50.85,50.85,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2018-11-18,48.98,48.98,48.98,0.0,0.0,49.55,49.55,49.55,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2018-11-25,51.11,51.11,51.11,0.0,0.0,51.23,51.23,51.23,0.0,0.0,50.9,50.9,50.9,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2018-12-02,50.87,50.87,50.87,0.0,0.0,51.1,51.1,51.1,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-12-09,49.87,49.87,49.87,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2018-12-16,46.95,46.95,46.95,0.0,0.0,47.04,47.04,47.04,0.0,0.0,45.18,45.18,45.18,0.0,0.0,45.18,45.18,45.18,0.0,0.0
2018-12-23,46.78,46.78,46.78,0.0,0.0,47.46,47.46,47.46,0.0,0.0,46.39,46.39,46.39,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2018-12-30,47.34,47.34,47.34,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.34,47.34,47.34,0.0,0.0,47.5,47.5,47.5,0.0,0.0
2019-01-06,49.41,49.41,49.41,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2019-01-13,49.99,49.99,49.99,0.0,0.0,50.61,50.61,50.61,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2019-01-20,50.71,50.71,50.71,0.0,0.0,51.13,51.13,51.13,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.9,50.9,50.9,0.0,0.0
2019-01-27,51.23,51.23,51.23,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2019-02-03,51.84,51.84,51.84,0.0,0.0,52.56,52.56,52.56,0.0,0.0,51.84,51.84,51.84,0.0,0.0,52.55,52.55,52.55,0.0,0.0
2019-02-10,55.04,55.04,55.04,0.0,0.0,55.58,55.58,55.58,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.58,55.58,55.58,0.0,0.0
2019-02-17,56.33,56.33,56.33,0.0,0.0,57.25,57.25,57.25,0.0,0.0,56.33,56.33,56.33,0.0,0.0,57.19,57.19,57.19,0.0,0.0
2019-02-24,57.39,57.39,57.39,0.0,0.0,57.54,57.54,57.54,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.24,57.24,57.24,0.0,0.0
2019-03-03,54.38,54.38,54.38,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2019-03-10,56.11,56.11,56.11,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.11,56.11,56.11,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2019-03-17,56.56,56.56,56.56,0.0,0.0,56.76,56.76,56.76,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.26,55.26,55.26,0.0,0.0
2019-03-24,56.38,56.38,56.38,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.24,56.24,56.24,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2019-03-31,58.38,58.38,58.38,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.44,58.44,58.44,0.0,0.0
2019-04-07,59.53,59.53,59.53,0.0,0.0,59.9,59.9,59.9,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.9,59.9,59.9,0.0,0.0
2019-04-14,60.16,60.16,60.16,0.0,0.0,60.19,60.19,60.19,0.0,0.0,59.68,59.68,59.68,0.0,0.0,59.85,59.85,59.85,0.0,0.0
2019-04-21,59.54,59.54,59.54,0.0,0.0,59.54,59.54,59.54,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.26,59.26,59.26,0.0,0.0
2019-04-28,57.96,57.96,57.96,0.0,0.0,58.82,58.82,58.82,0.0,0.0,57.59,57.59,57.59,0.0,0.0,58.75,58.75,58.75,0.0,0.0
2019-05-05,55.17,55.17,55.17,0.0,0.0,55.48,55.48,55.48,0.0,0.0,54.21,54.21,54.21,0.0,0.0,55.41,55.41,55.41,0.0,0.0
2019-05-12,53.56,53.56,53.56,0.0,0.0,54.04,54.04,54.04,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.12,53.12,53.12,0.0,0.0
2019-05-19,52.64,52.64,52.64,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.39,52.39,52.39,0.0,0.0,52.69,52.69,52.69,0.0,0.0
2019-05-26,51.43,51.43,51.43,0.0,0.0,51.43,51.43,51.43,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.79,50.79,50.79,0.0,0.0
2019-06-02,53.81,53.81,53.81,0.0,0.0,54.23,54.23,54.23,0.0,0.0,53.63,53.63,53.63,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2019-06-09,53.83,53.83,53.83,0.0,0.0,53.83,53.83,53.83,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2019-06-16,54.61,54.61,54.61,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.14,54.14,54.14,0.0,0.0
2019-06-23,54.03,54.03,54.03,0.0,0.0,54.36,54.36,54.36,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2019-06-30,55.44,55.44,55.44,0.0,0.0,55.69,55.69,55.69,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.59,55.59,55.59,0.0,0.0
2019-07-07,55.92,55.92,55.92,0.0,0.0,56.59,56.59,56.59,0.0,0.0,55.92,55.92,55.92,0.0,0.0,56.46,56.46,56.46,0.0,0.0
2019-07-14,56.45,56.45,56.45,0.0,0.0,56.57,56.57,56.57,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.17,56.17,56.17,0.0,0.0
2019-07-21,56.89,56.89,56.89,0.0,0.0,57.33,57.33,57.33,0.0,0.0,56.86,56.86,56.86,0.0,0.0,57.32,57.32,57.32,0.0,0.0
2019-07-28,54.97,54.97,54.97,0.0,0.0,54.97,54.97,54.97,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2019-08-04,53.36,53.36,53.36,0.0,0.0,53.36,53.36,53.36,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2019-08-11,50.42,50.42,50.42,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2019-08-18,51.18,51.18,51.18,0.0,0.0,51.39,51.39,51.39,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0
