Date,ODA/PRICENPQ_USD - Value,ODA/PRICENPQ_USD - Not Found
1995-01-31,274.75,
1995-02-28,286.25,
1995-03-31,283.0,
1995-04-30,281.5,
1995-05-31,287.75,
1995-06-30,326.0,
1995-07-31,345.600006103516,
1995-08-31,340.666656494141,
1995-09-30,359.75,
1995-10-31,382.600006103516,
1995-11-30,340.5,
1995-12-31,341.25,
1996-01-31,364.399993896484,
1996-02-29,367.0,
1996-03-31,362.5,
1996-04-30,325.799987792969,
1996-05-31,332.25,
1996-06-30,341.5,
1996-07-31,358.0,
1996-08-31,335.5,
1996-09-30,328.399993896484,
1996-10-31,312.75,
1996-11-30,315.0,
1996-12-31,313.666656494141,
1997-01-31,356.0,
1997-02-28,347.0,
1997-03-31,323.399993896484,
1997-04-30,299.333343505859,
1997-05-31,324.5,
1997-06-30,323.200012207031,
1997-07-31,320.0,
1997-08-31,285.0,
1997-09-30,270.200012207031,
1997-10-31,265.75,
1997-11-30,251.75,
1997-12-31,263.5,
1998-01-31,293.5,
1998-02-28,297.0,
1998-03-31,295.0,
1998-04-30,311.0,
1998-05-31,318.5,
1998-06-30,331.0,
1998-07-31,323.0,
1998-08-31,323.0,
1998-09-30,322.0,
1998-10-31,298.25,
1998-11-30,270.333343505859,
1998-12-31,282.5,
1999-01-31,301.666656494141,
1999-02-28,280.0,
1999-03-31,256.2,
1999-04-30,235.5,
1999-05-31,244.25,
1999-06-30,254.75,
1999-07-31,255.75,
1999-08-31,251.0,
1999-09-30,233.0,
1999-10-31,217.0,
1999-11-30,227.5,
1999-12-31,231.0,
2000-01-31,247.5,
2000-02-29,243.0,
2000-03-31,228.8,
2000-04-30,217.0,
2000-05-31,198.782608695652,
2000-06-30,197.863636363636,
2000-07-31,191.0,
2000-08-31,187.086956521739,
2000-09-30,178.142857142857,
2000-10-31,186.727272727273,
2000-11-30,184.863636363636,
2000-12-31,183.571428571429,
2001-01-31,184.434782608696,
2001-02-28,185.1,
2001-03-31,177.090909090909,
2001-04-30,162.095238095238,
2001-05-31,164.260869565217,
2001-06-30,167.761904761905,
2001-07-31,169.727272727273,
2001-08-31,168.739130434783,
2001-09-30,173.0,
2001-10-31,170.869565217391,
2001-11-30,170.0,
2001-12-31,179.380952380952,
2002-01-31,191.130434782609,
2002-02-28,194.35,
2002-03-31,189.285714285714,
2002-04-30,189.5,
2002-05-31,198.304347826087,
2002-06-30,202.0,
2002-07-31,199.608695652174,
2002-08-31,191.318181818182,
2002-09-30,188.47619047619,
2002-10-31,185.478260869565,
2002-11-30,187.190476190476,
2002-12-31,185.272727272727,
2003-01-31,199.739130434783,
2003-02-28,198.75,
2003-03-31,196.952380952381,
2003-04-30,195.181818181818,
2003-05-31,197.727272727273,
2003-06-30,203.666666666667,
2003-07-31,199.478260869565,
2003-08-31,196.428571428571,
2003-09-30,202.863636363636,
2003-10-31,204.0,
2003-11-30,201.75,
2003-12-31,197.0,
2004-01-31,207.454545454545,
2004-02-29,213.25,
2004-03-31,240.347826086957,
2004-04-30,253.409090909091,
2004-05-31,251.571428571429,
2004-06-30,244.227272727273,
2004-07-31,240.318181818182,
2004-08-31,252.545454545455,
2004-09-30,252.0,
2004-10-31,253.523809523809,
2004-11-30,262.318181818182,
2004-12-31,278.434782608696,
2005-01-31,288.380952380952,
2005-02-28,292.35,
2005-03-31,295.0,
2005-04-30,299.142857142857,
2005-05-31,295.272727272727,
2005-06-30,287.045454545455,
2005-07-31,278.714285714286,
2005-08-31,283.478260869565,
2005-09-30,287.409090909091,
2005-10-31,290.714285714286,
2005-11-30,278.954545454545,
2005-12-31,277.272727272727,
2006-01-31,284.454545454545,
2006-02-28,296.4,
2006-03-31,297.739130434783,
2006-04-30,298.5,
2006-05-31,301.260869565217,
2006-06-30,305.590909090909,
2006-07-31,312.428571428571,
2006-08-31,313.391304347826,
2006-09-30,312.904761904762,
2006-10-31,309.636363636364,
2006-11-30,300.590909090909,
2006-12-31,309.285714285714,
2007-01-31,313.478260869565,
2007-02-28,316.05,
2007-03-31,326.181818181818,
2007-04-30,322.285714285714,
2007-05-31,320.608695652174,
2007-06-30,326.285714285714,
